COD_PROV,DEN_PROV,total_pop,male_pop,female_pop,m_0,f_0,t_0,m_1_4,f_1_4,t_1_4,m_5_9,f_5_9,t_5_9,m_10_14,f_10_14,t_10_14,m_15_19,f_15_19,t_15_19,m_20_24,f_20_24,t_20_24,m_25_29,f_25_29,t_25_29,m_30_34,f_30_34,t_30_34,m_35_39,f_35_39,t_35_39,m_40_44,f_40_44,t_40_44,m_45_49,f_45_49,t_45_49,m_50_54,f_50_54,t_50_54,m_55_59,f_55_59,t_55_59,m_60_64,f_60_64,t_60_64,m_65_69,f_65_69,t_65_69,m_70_74,f_70_74,t_70_74,m_75_79,f_75_79,t_75_79,m_80_84,f_80_84,t_80_84,m_85plus,f_85plus,t_85plus,cwr,old_dep,struct_dep,mean_age
1,Torino,1148687,560842,587845,8689,8452,17141,31922,30396,62318,40720,39171,79891,31268,29882,61150,49181,48939,98120,68162,55337,123499,51098,53478,104576,47101,52702,99803,41680,47747,89427,39839,45162,85001,34908,39169,74077,30158,33692,63850,25599,29405,55004,20827,24463,45290,16631,20308,36939,11933,14866,26799,7166,9108,16274,3048,4103,7151,912,1465,2377,261.9,10.7,37.0,33.0
2,Vercelli,359505,169874,189631,2685,2556,5241,10101,9977,20078,13488,12863,26351,9002,9010,18012,14287,16048,30335,15384,17388,32772,14810,16416,31226,12996,14979,27975,11295,14248,25543,11204,13916,25120,10015,12528,22543,9922,12186,22108,8832,10402,19234,7653,9378,17031,8861,6011,14872,4784,5745,10529,2771,3532,6303,1344,1779,3123,440,669,1109,272.3,14.2,41.6,34.4
3,Novara,389312,185548,203764,3215,3226,6441,12166,11628,23794,15491,15159,30650,11508,10937,22445,17371,18014,35385,18714,18836,37550,16123,17478,33601,13984,16314,30298,12082,14498,26580,11827,14196,26023,10364,12711,23075,10340,12072,22412,9133,10423,19556,7840,9195,17035,6468,7600,14068,4603,5618,10221,2736,3421,6157,1212,1791,3003,371,647,1018,304.4,12.7,43.4,33.0
4,Cuneo,619708,314804,304902,6436,6267,12733,23881,23601,47452,30396,29934,60330,23605,22565,46170,30510,29174,59684,37362,26688,64050,23726,23280,47006,20328,21963,42291,17569,19574,37143,17181,18835,36016,16215,17025,33240,15545,15592,31137,14483,14258,28741,12322,12346,24668,10481,9777,20258,7642,7108,14750,4561,4341,8902,1928,1924,3853,633,650,1284,431.4,12.1,53.4,30.5
6,Alessandria,755968,378796,377172,6108,5949,12057,23307,23242,46549,32142,31122,63264,24239,23467,47706,36222,34705,70927,40526,34129,74655,31304,30359,61663,26849,28758,55607,23345,25976,49321,23124,24995,48119,21829,23643,45472,20402,20902,41304,18779,17996,36775,16177,16164,32341,13976,14173,28149,10641,10775,21416,6566,6662,13228,2441,2977,5418,819,1178,1997,327.6,13.6,46.5,32.7
7,Aosta,226074,107474,118600,2052,2026,4078,7575,7545,15120,9936,9654,19590,7055,7019,14074,9731,10029,19760,10374,10085,20459,8675,9386,18061,7283,8534,15817,6505,7986,14491,6294,7912,14206,5881,7141,13022,5835,6806,12641,5502,6466,11968,4634,5707,10341,4169,4972,9141,2956,3628,6584,1840,2246,4086,851,1033,1884,326,425,751,356.0,14.9,50.0,33.1
8,Imperia,162353,82376,79977,1244,1254,2498,4496,4384,8880,6213,6151,12364,4490,4694,9184,6330,6320,12650,10592,6829,17421,6880,6758,13638,6116,6288,12404,5548,6016,11564,5213,5545,10758,4938,5097,10035,4637,4671,9308,4175,4219,8394,3707,3801,7508,3191,3157,6348,2248,2264,4512,1390,1457,2847,721,784,1505,247,288,535,301.4,13.9,42.8,33.9
9,Savona,220938,110247,110691,1860,1810,3670,7196,6822,14018,10127,9649,19776,7922,7516,15438,10194,10134,20328,11342,10124,21466,9053,9217,18270,8133,8769,16902,7270,8269,15539,7101,7706,14807,6455,6575,13030,5752,5745,11497,5043,5063,10106,4326,4343,8669,3424,3406,6830,2471,2600,5071,1623,1721,3344,691,832,1523,264,390,654,326.2,11.6,46.7,31.7
10,Genova,831269,402214,429055,6305,6233,12538,23785,23328,47113,31854,30908,62762,25887,25612,51499,35614,38109,73723,35039,40662,75701,36986,38645,75631,34147,37566,71713,31222,34980,66202,29215,32202,61417,26486,27364,53850,23021,23750,46771,19008,19801,38809,15583,16792,32375,12415,13625,26040,8071,9664,17735,4806,5890,10696,2018,2708,4726,752,1216,1968,268.5,10.3,39.4,32.5
11,La Spezia,221917,113813,108104,2033,2072,4105,7919,7745,15664,10785,10636,21421,8298,8254,16552,11609,10105,21714,18223,9745,27968,8895,8951,17846,7812,8799,16611,7277,8096,15373,6291,6838,13129,5091,5685,10776,4376,4867,9243,3994,4391,8385,3811,4093,7904,3236,3106,6342,2000,2271,4271,1291,1389,2680,626,771,1397,246,290,536,376.3,10.2,49.0,29.6
12,Varese,382322,179737,202585,3483,3306,6789,12976,12678,25654,16828,16625,33453,12532,12449,24981,18467,19971,38438,17526,20933,38459,16716,18947,35663,13904,16314,30218,11476,14349,25825,10875,13762,24637,10254,12425,22679,9629,10927,20556,7949,8666,16615,6160,7047,13207,4782,5725,10507,3327,4198,7525,1811,2545,4356,762,1250,2012,280,468,748,311.1,9.4,43.6,30.7
13,Como,487186,232912,254274,5152,4999,10151,18351,18155,36506,23395,23080,46475,16509,16413,32922,24132,25143,49275,21050,24992,46042,20511,22182,42693,17309,19915,37224,14396,17679,32075,13981,16691,30672,12834,15149,27983,12447,13422,25869,10060,11033,21093,8135,8775,16910,6320,7070,13390,4422,4922,9344,2595,3026,5621,1008,1243,2251,305,385,690,368.5,9.5,47.7,30.1
14,Sondrio,133726,64733,68993,1768,1713,3481,6163,6130,12293,7444,7406,14850,5345,5236,10581,6631,6127,12758,5404,5734,11138,4867,5153,10020,3810,4579,8389,3224,4044,7268,3109,3929,7038,3252,3765,7017,3519,3863,7382,2984,3222,6206,2578,2856,5434,1905,2179,4084,1306,1483,2789,892,963,1855,392,463,855,140,148,288,533.5,11.9,61.8,29.5
