compartimento,year,births,cbr
ABRUZZI E MOLISE,1863,47040,38.4
ABRUZZI E MOLISE,1864,44961,36.51
ABRUZZI E MOLISE,1865,46644,37.69
ABRUZZI E MOLISE,1866,46626,37.48
ABRUZZI E MOLISE,1867,48241,38.59
ABRUZZI E MOLISE,1868,43089,34.3
ABRUZZI E MOLISE,1869,47968,37.99
ABRUZZI E MOLISE,1870,46800,36.88
ABRUZZI E MOLISE,1871,46874,36.76
ABRUZZI E MOLISE,1872,47806,37.37
ABRUZZI E MOLISE,1873,49869,38.86
ABRUZZI E MOLISE,1874,46177,35.86
ABRUZZI E MOLISE,1875,48925,37.87
ABRUZZI E MOLISE,1876,51233,39.53
ABRUZZI E MOLISE,1877,51711,39.77
ABRUZZI E MOLISE,1878,49786,38.17
ABRUZZI E MOLISE,1879,54081,41.32
ABRUZZI E MOLISE,1880,44557,33.94
ABRUZZI E MOLISE,1881,53612,40.7
ABRUZZI E MOLISE,1891,53059,38.49
ABRUZZI E MOLISE,1894,53567,38.35
ABRUZZI E MOLISE,1901,47323,32.86
ABRUZZI E MOLISE,1911,42915,30.12
ABRUZZI E MOLISE,1921,50615,35.51
ABRUZZI E MOLISE,1931,45029,29.83
BASILICATA,1863,21451,43.21
BASILICATA,1864,20795,41.74
BASILICATA,1865,21308,42.62
BASILICATA,1866,22033,43.91
BASILICATA,1867,22013,43.72
BASILICATA,1868,20483,40.54
BASILICATA,1869,20266,39.97
BASILICATA,1870,20123,39.55
BASILICATA,1871,18951,37.12
BASILICATA,1872,22037,43.04
BASILICATA,1873,20868,40.65
BASILICATA,1874,19374,37.64
BASILICATA,1875,20942,40.57
BASILICATA,1876,21632,41.8
BASILICATA,1877,22584,43.52
BASILICATA,1878,21982,42.25
BASILICATA,1879,22587,43.29
BASILICATA,1880,20339,38.88
BASILICATA,1881,22959,43.77
BASILICATA,1891,21069,41.53
BASILICATA,1894,19480,38.79
BASILICATA,1901,16928,34.53
BASILICATA,1911,16884,35.95
BASILICATA,1921,17750,38.0
BASILICATA,1931,17806,35.28
CALABRIE,1863,45526,39.26
CALABRIE,1864,44060,37.79
CALABRIE,1865,45711,39.0
CALABRIE,1866,47104,39.98
CALABRIE,1867,43496,36.71
CALABRIE,1868,40903,34.35
CALABRIE,1869,43710,36.51
CALABRIE,1870,47003,39.06
CALABRIE,1871,44286,36.61
CALABRIE,1872,48207,39.69
CALABRIE,1873,47106,38.63
CALABRIE,1874,45027,36.78
CALABRIE,1875,45434,36.97
CALABRIE,1876,49556,40.17
CALABRIE,1877,48675,39.3
CALABRIE,1878,43812,35.23
CALABRIE,1879,47078,37.71
CALABRIE,1880,42350,33.8
CALABRIE,1881,47924,38.1
CALABRIE,1891,52698,40.12
CALABRIE,1894,51297,38.56
CALABRIE,1901,45221,33.03
CALABRIE,1911,48199,34.67
CALABRIE,1921,54785,37.03
CALABRIE,1931,54442,32.66
CAMPANIA,1863,101714,38.98
CAMPANIA,1864,100785,38.35
CAMPANIA,1865,102599,38.78
CAMPANIA,1866,101559,38.12
CAMPANIA,1867,100092,37.32
CAMPANIA,1868,90849,33.64
CAMPANIA,1869,100381,36.93
CAMPANIA,1870,99920,36.52
CAMPANIA,1871,98783,35.86
CAMPANIA,1872,107612,38.87
CAMPANIA,1873,100139,35.98
CAMPANIA,1874,95395,34.11
CAMPANIA,1875,105965,37.69
CAMPANIA,1876,109900,38.89
CAMPANIA,1877,108830,38.33
CAMPANIA,1878,100571,35.24
CAMPANIA,1879,109143,38.05
CAMPANIA,1880,96424,33.46
CAMPANIA,1881,109047,37.65
CAMPANIA,1891,117241,38.73
CAMPANIA,1894,112528,36.7
CAMPANIA,1901,97543,30.89
CAMPANIA,1911,102162,31.02
CAMPANIA,1921,120717,34.28
CAMPANIA,1931,110014,31.58
EMILIA,1863,80959,39.92
EMILIA,1864,74237,36.41
EMILIA,1865,76482,37.31
EMILIA,1866,77892,37.8
EMILIA,1867,72090,34.8
EMILIA,1868,73236,35.17
EMILIA,1869,74813,35.74
EMILIA,1870,75559,35.91
EMILIA,1871,73752,34.87
EMILIA,1872,73995,34.87
EMILIA,1873,72939,34.26
EMILIA,1874,69133,32.37
EMILIA,1875,77127,36.0
EMILIA,1876,83175,38.7
EMILIA,1877,76076,35.29
EMILIA,1878,72909,33.71
EMILIA,1879,80186,36.96
EMILIA,1880,69443,31.91
