COD_PROV,DEN_PROV,year,births,cbr
1,Torino,1863,33474,35.33
3,Novara,1863,22135,37.63
4,Cuneo,1863,22095,36.73
6,Alessandria,1863,25069,38.42
8,Porto Maurizio,1863,4162,33.97
10,Genova,1863,24620,37.12
13,Como,1863,17167,37.2
14,Sondrio,1863,3882,36.31
15,Milano,1863,39810,41.45
16,Bergamo,1863,13096,37.27
17,Brescia,1863,17261,35.95
18,Pavia,1863,17146,40.3
19,Cremona,1863,13774,41.36
20,Mantova,1863,6490,22.54
23,Verona,1863,12779,34.79
24,Vicenza,1863,12844,35.41
25,Belluno,1863,6328,36.11
26,Treviso,1863,12389,35.18
27,Venezia,1863,12139,35.97
28,Padova,1863,14117,38.74
29,Rovigo,1863,8579,42.75
30,Udine,1863,15882,33.01
33,Piacenza,1863,8488,38.58
34,Parma,1863,10091,39.16
35,Reggio nell'Emilia,1863,9729,41.85
36,Modena,1863,10868,41.28
37,Bologna,1863,15690,37.93
38,Ferrara,1863,9271,45.68
39,Ravenna,1863,7448,35.26
40,Forlì,1863,9374,41.32
41,Pesaro e Urbino,1863,7891,38.57
42,Ancona,1863,9921,38.68
43,Macerata,1863,8194,35.74
44,Ascoli Piceno,1863,6653,33.71
45,Massa e Carrara,1863,5487,37.97
46,Lucca,1863,10080,38.61
48,Firenze,1863,32232,45.36
49,Livorno,1863,4425,37.75
50,Pisa,1863,9880,39.9
51,Arezzo,1863,9497,42.67
52,Siena,1863,8146,41.47
53,Grosseto,1863,3919,38.51
54,Umbria,1863,18318,35.26
61,Caserta,1863,23779,36.15
62,Benevento,1863,8304,37.27
63,Napoli,1863,34511,39.4
64,Avellino,1863,14446,44.82
65,Salerno,1863,20674,38.95
66,Aquila degli Abruzzi,1863,11928,37.95
67,Teramo,1863,7740,33.19
69,Chieti,1863,12523,37.97
70,Campobasso,1863,14849,42.69
71,Foggia,1863,13302,42.25
72,Bari delle Puglie,1863,24508,43.36
75,Lecce,1863,17845,39.07
76,Potenza,1863,21451,43.21
78,Cosenza,1863,17608,40.63
79,Catanzaro,1863,15265,39.11
80,Reggio di Calabria,1863,12653,37.68
81,Trapani,1863,9661,44.08
82,Palermo,1863,22881,53.07
83,Messina,1863,15042,37.85
84,Girgenti,1863,11642,32.42
85,Caltanissetta,1863,9944,50.19
87,Catania,1863,18871,41.12
89,Siracusa,1863,11600,43.5
90,Sassari,1863,8869,40.05
92,Cagliari,1863,13201,35.08
1,Torino,1864,34610,36.41
3,Novara,1864,22292,37.6
4,Cuneo,1864,22260,36.88
6,Alessandria,1864,24703,37.64
8,Porto Maurizio,1864,4255,34.57
10,Genova,1864,24775,36.99
13,Como,1864,16406,35.4
14,Sondrio,1864,3963,36.92
15,Milano,1864,39075,40.43
16,Bergamo,1864,12965,36.69
17,Brescia,1864,17323,36.31
18,Pavia,1864,16957,39.59
19,Cremona,1864,12846,39.05
20,Mantova,1864,5888,20.44
23,Verona,1864,11279,30.7
24,Vicenza,1864,12188,33.6
25,Belluno,1864,6342,36.19
26,Treviso,1864,11867,33.7
27,Venezia,1864,11371,33.7
28,Padova,1864,12443,34.14
29,Rovigo,1864,7487,37.31
30,Udine,1864,14476,30.08
33,Piacenza,1864,7731,35.03
34,Parma,1864,9166,35.45
35,Reggio nell'Emilia,1864,8842,37.87
36,Modena,1864,9986,37.75
37,Bologna,1864,14452,34.67
38,Ferrara,1864,8197,40.08
39,Ravenna,1864,7464,35.14
40,Forlì,1864,8399,36.86
41,Pesaro e Urbino,1864,7645,37.17
42,Ancona,1864,9792,38.07
43,Macerata,1864,7857,34.13
44,Ascoli Piceno,1864,6983,35.25
45,Massa e Carrara,1864,5426,36.99
46,Lucca,1864,10008,37.98
48,Firenze,1864,29334,40.88
49,Livorno,1864,4339,36.98
50,Pisa,1864,8973,35.91
51,Arezzo,1864,8590,38.34
52,Siena,1864,7462,37.75
53,Grosseto,1864,3956,38.63
54,Umbria,1864,18636,35.62
61,Caserta,1864,24367,36.76
62,Benevento,1864,8129,36.3
63,Napoli,1864,34029,38.68
64,Avellino,1864,14100,42.84
65,Salerno,1864,20160,37.89
66,Aquila degli Abruzzi,1864,12104,38.22
67,Teramo,1864,7544,32.13
69,Chieti,1864,11321,34.19
70,Campobasso,1864,13992,40.11
71,Foggia,1864,12991,41.13
72,Bari delle Puglie,1864,24565,43.06
75,Lecce,1864,17579,38.13
76,Potenza,1864,20795,41.74
78,Cosenza,1864,16675,38.36
79,Catanzaro,1864,14495,36.88
80,Reggio di Calabria,1864,12890,38.13
81,Trapani,1864,9803,44.29
82,Palermo,1864,22901,50.39
83,Messina,1864,15012,37.66
84,Girgenti,1864,12006,34.28
85,Caltanissetta,1864,10059,49.77
87,Catania,1864,19573,42.23
89,Siracusa,1864,11908,44.09
90,Sassari,1864,9194,41.01
92,Cagliari,1864,13594,35.92
1,Torino,1865,34509,36.18
3,Novara,1865,23634,39.56
4,Cuneo,1865,22550,37.23
6,Alessandria,1865,24403,36.96
8,Porto Maurizio,1865,4255,34.41
10,Genova,1865,26596,39.33
13,Como,1865,17267,37.09
14,Sondrio,1865,4230,39.25
15,Milano,1865,40353,41.49
16,Bergamo,1865,13166,37.04
17,Brescia,1865,17470,36.86
18,Pavia,1865,17100,39.66
19,Cremona,1865,13479,41.48
20,Mantova,1865,1486,5.16
23,Verona,1865,12479,33.97
24,Vicenza,1865,13224,36.45
25,Belluno,1865,6499,37.09
26,Treviso,1865,12855,36.5
27,Venezia,1865,11713,34.71
28,Padova,1865,13738,37.7
29,Rovigo,1865,8034,40.04
30,Udine,1865,15819,32.87
33,Piacenza,1865,7672,34.65
34,Parma,1865,9239,35.62
35,Reggio nell'Emilia,1865,9200,39.23
36,Modena,1865,10592,39.84
37,Bologna,1865,14671,34.93
38,Ferrara,1865,8680,42.12
39,Ravenna,1865,7641,35.76
40,Forlì,1865,8787,38.39
41,Pesaro e Urbino,1865,7757,37.52
42,Ancona,1865,9831,38.11
43,Macerata,1865,7942,34.35
44,Ascoli Piceno,1865,6456,32.48
45,Massa e Carrara,1865,5675,38.12
46,Lucca,1865,10496,39.46
48,Firenze,1865,31044,42.85
49,Livorno,1865,4416,37.59
50,Pisa,1865,9578,37.98
51,Arezzo,1865,9147,40.55
52,Siena,1865,7893,39.68
53,Grosseto,1865,3994,38.76
54,Umbria,1865,17779,33.74
61,Caserta,1865,25128,37.63
62,Benevento,1865,8084,35.91
63,Napoli,1865,34869,39.46
64,Avellino,1865,14316,42.6
65,Salerno,1865,20202,37.88
66,Aquila degli Abruzzi,1865,11819,37.05
67,Teramo,1865,7570,32.02
69,Chieti,1865,12429,37.4
70,Campobasso,1865,14826,42.38
71,Foggia,1865,12873,40.63
72,Bari delle Puglie,1865,25063,43.53
75,Lecce,1865,18635,40.05
