year,age_group,age_lo,age_hi,count,unit,source,notes
1931,-15,,14,54,effettive,"ED 1934 - Mov. stato civile - Anno 1931, Prospetto XLI","parti legittimi, madri di eta nota; tavola gia a classi 5-anni; totale legittimi 993554 (somma classi=993554)"
1931,15-20,15,20,59125,effettive,"ED 1934 - Mov. stato civile - Anno 1931, Prospetto XLI","parti legittimi, madri di eta nota; tavola gia a classi 5-anni; totale legittimi 993554 (somma classi=993554)"
1931,21-24,21,24,197976,effettive,"ED 1934 - Mov. stato civile - Anno 1931, Prospetto XLI","parti legittimi, madri di eta nota; tavola gia a classi 5-anni; totale legittimi 993554 (somma classi=993554)"
1931,25-29,25,29,278477,effettive,"ED 1934 - Mov. stato civile - Anno 1931, Prospetto XLI","parti legittimi, madri di eta nota; tavola gia a classi 5-anni; totale legittimi 993554 (somma classi=993554)"
1931,30-34,30,34,228981,effettive,"ED 1934 - Mov. stato civile - Anno 1931, Prospetto XLI","parti legittimi, madri di eta nota; tavola gia a classi 5-anni; totale legittimi 993554 (somma classi=993554)"
1931,35-39,35,39,154605,effettive,"ED 1934 - Mov. stato civile - Anno 1931, Prospetto XLI","parti legittimi, madri di eta nota; tavola gia a classi 5-anni; totale legittimi 993554 (somma classi=993554)"
1931,40-44,40,44,66935,effettive,"ED 1934 - Mov. stato civile - Anno 1931, Prospetto XLI","parti legittimi, madri di eta nota; tavola gia a classi 5-anni; totale legittimi 993554 (somma classi=993554)"
1931,45-49,45,49,7127,effettive,"ED 1934 - Mov. stato civile - Anno 1931, Prospetto XLI","parti legittimi, madri di eta nota; tavola gia a classi 5-anni; totale legittimi 993554 (somma classi=993554)"
1931,50-w,50,,274,effettive,"ED 1934 - Mov. stato civile - Anno 1931, Prospetto XLI","parti legittimi, madri di eta nota; tavola gia a classi 5-anni; totale legittimi 993554 (somma classi=993554)"
1932,-15,,14,35,effettive,"ED 1935 - Mov. stato civile - Anno 1932, Prospetto XXXIII","parti legittimi, madri di eta nota; ricostruito da tavola per singolo anno di eta (OCR); somma classi=958390 = totale stampato 958390 (scarto 0)"
1932,15-20,15,20,54188,effettive,"ED 1935 - Mov. stato civile - Anno 1932, Prospetto XXXIII","parti legittimi, madri di eta nota; ricostruito da tavola per singolo anno di eta (OCR); somma classi=958390 = totale stampato 958390 (scarto 0)"
1932,21-24,21,24,191060,effettive,"ED 1935 - Mov. stato civile - Anno 1932, Prospetto XXXIII","parti legittimi, madri di eta nota; ricostruito da tavola per singolo anno di eta (OCR); somma classi=958390 = totale stampato 958390 (scarto 0)"
1932,25-29,25,29,272841,effettive,"ED 1935 - Mov. stato civile - Anno 1932, Prospetto XXXIII","parti legittimi, madri di eta nota; ricostruito da tavola per singolo anno di eta (OCR); somma classi=958390 = totale stampato 958390 (scarto 0)"
1932,30-34,30,34,219729,effettive,"ED 1935 - Mov. stato civile - Anno 1932, Prospetto XXXIII","parti legittimi, madri di eta nota; ricostruito da tavola per singolo anno di eta (OCR); somma classi=958390 = totale stampato 958390 (scarto 0)"
1932,35-39,35,39,150200,effettive,"ED 1935 - Mov. stato civile - Anno 1932, Prospetto XXXIII","parti legittimi, madri di eta nota; ricostruito da tavola per singolo anno di eta (OCR); somma classi=958390 = totale stampato 958390 (scarto 0)"
1932,40-44,40,44,63507,effettive,"ED 1935 - Mov. stato civile - Anno 1932, Prospetto XXXIII","parti legittimi, madri di eta nota; ricostruito da tavola per singolo anno di eta (OCR); somma classi=958390 = totale stampato 958390 (scarto 0)"
1932,45-49,45,49,6635,effettive,"ED 1935 - Mov. stato civile - Anno 1932, Prospetto XXXIII","parti legittimi, madri di eta nota; ricostruito da tavola per singolo anno di eta (OCR); somma classi=958390 = totale stampato 958390 (scarto 0)"
1932,50-w,50,,195,effettive,"ED 1935 - Mov. stato civile - Anno 1932, Prospetto XXXIII","parti legittimi, madri di eta nota; ricostruito da tavola per singolo anno di eta (OCR); somma classi=958390 = totale stampato 958390 (scarto 0)"
1933,-15,,14,39,effettive,"ED 1935 - Mov. stato civile - Anno 1933, Prospetto XXXV","parti legittimi, madri di eta nota; ricostruito da tavola per singolo anno di eta (OCR); somma classi=963959 = totale stampato 963959 (scarto 0)"
1933,15-20,15,20,52992,effettive,"ED 1935 - Mov. stato civile - Anno 1933, Prospetto XXXV","parti legittimi, madri di eta nota; ricostruito da tavola per singolo anno di eta (OCR); somma classi=963959 = totale stampato 963959 (scarto 0)"
1933,21-24,21,24,190407,effettive,"ED 1935 - Mov. stato civile - Anno 1933, Prospetto XXXV","parti legittimi, madri di eta nota; ricostruito da tavola per singolo anno di eta (OCR); somma classi=963959 = totale stampato 963959 (scarto 0)"
1933,25-29,25,29,277640,effettive,"ED 1935 - Mov. stato civile - Anno 1933, Prospetto XXXV","parti legittimi, madri di eta nota; ricostruito da tavola per singolo anno di eta (OCR); somma classi=963959 = totale stampato 963959 (scarto 0)"
