year,interval_group,value,unit,source
1930,9-10 mesi,19.38,percent_postnuziali,"ED 1937 - Mov. stato civile - Anno 1936, Prospetto 46 (% primi parti da concepimenti POST-nuziali; esclusi <9 mesi/antenuziali)"
1930,10-11 mesi,13.23,percent_postnuziali,"ED 1937 - Mov. stato civile - Anno 1936, Prospetto 46 (% primi parti da concepimenti POST-nuziali; esclusi <9 mesi/antenuziali)"
1930,11-12 mesi,9.83,percent_postnuziali,"ED 1937 - Mov. stato civile - Anno 1936, Prospetto 46 (% primi parti da concepimenti POST-nuziali; esclusi <9 mesi/antenuziali)"
1930,1-2 anni,37.75,percent_postnuziali,"ED 1937 - Mov. stato civile - Anno 1936, Prospetto 46 (% primi parti da concepimenti POST-nuziali; esclusi <9 mesi/antenuziali)"
1930,2-3 anni,9.43,percent_postnuziali,"ED 1937 - Mov. stato civile - Anno 1936, Prospetto 46 (% primi parti da concepimenti POST-nuziali; esclusi <9 mesi/antenuziali)"
1930,3-4 anni,4.1,percent_postnuziali,"ED 1937 - Mov. stato civile - Anno 1936, Prospetto 46 (% primi parti da concepimenti POST-nuziali; esclusi <9 mesi/antenuziali)"
1930,4-5 anni,2.04,percent_postnuziali,"ED 1937 - Mov. stato civile - Anno 1936, Prospetto 46 (% primi parti da concepimenti POST-nuziali; esclusi <9 mesi/antenuziali)"
1930,5-10 anni,3.64,percent_postnuziali,"ED 1937 - Mov. stato civile - Anno 1936, Prospetto 46 (% primi parti da concepimenti POST-nuziali; esclusi <9 mesi/antenuziali)"
1930,10-15 anni,0.48,percent_postnuziali,"ED 1937 - Mov. stato civile - Anno 1936, Prospetto 46 (% primi parti da concepimenti POST-nuziali; esclusi <9 mesi/antenuziali)"
1930,15-20 anni,0.1,percent_postnuziali,"ED 1937 - Mov. stato civile - Anno 1936, Prospetto 46 (% primi parti da concepimenti POST-nuziali; esclusi <9 mesi/antenuziali)"
1930,20-w,,percent_postnuziali,"ED 1937 - Mov. stato civile - Anno 1936, Prospetto 46 (% primi parti da concepimenti POST-nuziali; esclusi <9 mesi/antenuziali)"
1931,9-10 mesi,18.42,percent_postnuziali,"ED 1937 - Mov. stato civile - Anno 1936, Prospetto 46 (% primi parti da concepimenti POST-nuziali; esclusi <9 mesi/antenuziali)"
1931,10-11 mesi,14.03,percent_postnuziali,"ED 1937 - Mov. stato civile - Anno 1936, Prospetto 46 (% primi parti da concepimenti POST-nuziali; esclusi <9 mesi/antenuziali)"
1931,11-12 mesi,9.76,percent_postnuziali,"ED 1937 - Mov. stato civile - Anno 1936, Prospetto 46 (% primi parti da concepimenti POST-nuziali; esclusi <9 mesi/antenuziali)"
1931,1-2 anni,38.67,percent_postnuziali,"ED 1937 - Mov. stato civile - Anno 1936, Prospetto 46 (% primi parti da concepimenti POST-nuziali; esclusi <9 mesi/antenuziali)"
1931,2-3 anni,9.2,percent_postnuziali,"ED 1937 - Mov. stato civile - Anno 1936, Prospetto 46 (% primi parti da concepimenti POST-nuziali; esclusi <9 mesi/antenuziali)"
1931,3-4 anni,3.87,percent_postnuziali,"ED 1937 - Mov. stato civile - Anno 1936, Prospetto 46 (% primi parti da concepimenti POST-nuziali; esclusi <9 mesi/antenuziali)"
1931,4-5 anni,1.97,percent_postnuziali,"ED 1937 - Mov. stato civile - Anno 1936, Prospetto 46 (% primi parti da concepimenti POST-nuziali; esclusi <9 mesi/antenuziali)"
1931,5-10 anni,3.24,percent_postnuziali,"ED 1937 - Mov. stato civile - Anno 1936, Prospetto 46 (% primi parti da concepimenti POST-nuziali; esclusi <9 mesi/antenuziali)"
1931,10-15 anni,0.69,percent_postnuziali,"ED 1937 - Mov. stato civile - Anno 1936, Prospetto 46 (% primi parti da concepimenti POST-nuziali; esclusi <9 mesi/antenuziali)"
1931,15-20 anni,0.12,percent_postnuziali,"ED 1937 - Mov. stato civile - Anno 1936, Prospetto 46 (% primi parti da concepimenti POST-nuziali; esclusi <9 mesi/antenuziali)"
1931,20-w,0.04,percent_postnuziali,"ED 1937 - Mov. stato civile - Anno 1936, Prospetto 46 (% primi parti da concepimenti POST-nuziali; esclusi <9 mesi/antenuziali)"
1932,9-10 mesi,17.52,percent_postnuziali,"ED 1937 - Mov. stato civile - Anno 1936, Prospetto 46 (% primi parti da concepimenti POST-nuziali; esclusi <9 mesi/antenuziali)"
1932,10-11 mesi,12.92,percent_postnuziali,"ED 1937 - Mov. stato civile - Anno 1936, Prospetto 46 (% primi parti da concepimenti POST-nuziali; esclusi <9 mesi/antenuziali)"
1932,11-12 mesi,9.36,percent_postnuziali,"ED 1937 - Mov. stato civile - Anno 1936, Prospetto 46 (% primi parti da concepimenti POST-nuziali; esclusi <9 mesi/antenuziali)"
1932,1-2 anni,39.46,percent_postnuziali,"ED 1937 - Mov. stato civile - Anno 1936, Prospetto 46 (% primi parti da concepimenti POST-nuziali; esclusi <9 mesi/antenuziali)"
1932,2-3 anni,10.5,percent_postnuziali,"ED 1937 - Mov. stato civile - Anno 1936, Prospetto 46 (% primi parti da concepimenti POST-nuziali; esclusi <9 mesi/antenuziali)"
1932,3-4 anni,4.09,percent_postnuziali,"ED 1937 - Mov. stato civile - Anno 1936, Prospetto 46 (% primi parti da concepimenti POST-nuziali; esclusi <9 mesi/antenuziali)"
1932,4-5 anni,2.06,percent_postnuziali,"ED 1937 - Mov. stato civile - Anno 1936, Prospetto 46 (% primi parti da concepimenti POST-nuziali; esclusi <9 mesi/antenuziali)"
1932,5-10 anni,3.31,percent_postnuziali,"ED 1937 - Mov. stato civile - Anno 1936, Prospetto 46 (% primi parti da concepimenti POST-nuziali; esclusi <9 mesi/antenuziali)"
1932,10-15 anni,0.7,percent_postnuziali,"ED 1937 - Mov. stato civile - Anno 1936, Prospetto 46 (% primi parti da concepimenti POST-nuziali; esclusi <9 mesi/antenuziali)"
1932,15-20 anni,0.07,percent_postnuziali,"ED 1937 - Mov. stato civile - Anno 1936, Prospetto 46 (% primi parti da concepimenti POST-nuziali; esclusi <9 mesi/antenuziali)"
1932,20-w,0.02,percent_postnuziali,"ED 1937 - Mov. stato civile - Anno 1936, Prospetto 46 (% primi parti da concepimenti POST-nuziali; esclusi <9 mesi/antenuziali)"
1933,9-10 mesi,18.56,percent_postnuziali,"ED 1937 - Mov. stato civile - Anno 1936, Prospetto 46 (% primi parti da concepimenti POST-nuziali; esclusi <9 mesi/antenuziali)"
1933,10-11 mesi,12.67,percent_postnuziali,"ED 1937 - Mov. stato civile - Anno 1936, Prospetto 46 (% primi parti da concepimenti POST-nuziali; esclusi <9 mesi/antenuziali)"
1933,11-12 mesi,9.36,percent_postnuziali,"ED 1937 - Mov. stato civile - Anno 1936, Prospetto 46 (% primi parti da concepimenti POST-nuziali; esclusi <9 mesi/antenuziali)"
1933,1-2 anni,37.85,percent_postnuziali,"ED 1937 - Mov. stato civile - Anno 1936, Prospetto 46 (% primi parti da concepimenti POST-nuziali; esclusi <9 mesi/antenuziali)"
1933,2-3 anni,10.43,percent_postnuziali,"ED 1937 - Mov. stato civile - Anno 1936, Prospetto 46 (% primi parti da concepimenti POST-nuziali; esclusi <9 mesi/antenuziali)"
1933,3-4 anni,4.64,percent_postnuziali,"ED 1937 - Mov. stato civile - Anno 1936, Prospetto 46 (% primi parti da concepimenti POST-nuziali; esclusi <9 mesi/antenuziali)"
1933,4-5 anni,2.18,percent_postnuziali,"ED 1937 - Mov. stato civile - Anno 1936, Prospetto 46 (% primi parti da concepimenti POST-nuziali; esclusi <9 mesi/antenuziali)"
1933,5-10 anni,3.41,percent_postnuziali,"ED 1937 - Mov. stato civile - Anno 1936, Prospetto 46 (% primi parti da concepimenti POST-nuziali; esclusi <9 mesi/antenuziali)"
1933,10-15 anni,0.79,percent_postnuziali,"ED 1937 - Mov. stato civile - Anno 1936, Prospetto 46 (% primi parti da concepimenti POST-nuziali; esclusi <9 mesi/antenuziali)"
1933,15-20 anni,0.07,percent_postnuziali,"ED 1937 - Mov. stato civile - Anno 1936, Prospetto 46 (% primi parti da concepimenti POST-nuziali; esclusi <9 mesi/antenuziali)"
