compartimento,year,sex,age_group,age_lo,age_hi,count,unit,source,notes
Piemonte,1890,M,nato 1872 e dopo,0,18,69,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Piemonte,1890,M,nato 1870-71,19,20,517,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Piemonte,1890,M,nato 1868-69,21,22,1543,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Piemonte,1890,M,nato 1866-67,23,24,3333,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Piemonte,1890,M,nato 1864-65,25,26,3813,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Piemonte,1890,M,nato 1862-63,27,28,2614,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Piemonte,1890,M,nato 1860-61,29,30,1822,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Piemonte,1890,M,nato 1855-59,31,35,2769,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Piemonte,1890,M,nato 1850-54,36,40,1366,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Piemonte,1890,M,nato 1845-49,41,45,812,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Piemonte,1890,M,nato 1840-44,46,50,510,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Piemonte,1890,M,nato 1835-39,51,55,325,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Piemonte,1890,M,nato 1830-34,56,60,241,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Piemonte,1890,M,nato 1825-29,61,65,143,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Piemonte,1890,M,nato prima del 1825,65,,150,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Piemonte,1890,M,ignota,,,50,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Liguria,1890,M,nato 1872 e dopo,0,18,23,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Liguria,1890,M,nato 1870-71,19,20,135,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Liguria,1890,M,nato 1868-69,21,22,434,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Liguria,1890,M,nato 1866-67,23,24,1017,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Liguria,1890,M,nato 1864-65,25,26,1320,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Liguria,1890,M,nato 1862-63,27,28,966,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Liguria,1890,M,nato 1860-61,29,30,641,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Liguria,1890,M,nato 1855-59,31,35,1050,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Liguria,1890,M,nato 1850-54,36,40,518,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Liguria,1890,M,nato 1845-49,41,45,294,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Liguria,1890,M,nato 1840-44,46,50,167,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Liguria,1890,M,nato 1835-39,51,55,96,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Liguria,1890,M,nato 1830-34,56,60,55,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Liguria,1890,M,nato 1825-29,61,65,56,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Liguria,1890,M,nato prima del 1825,65,,38,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Liguria,1890,M,ignota,,,16,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Lombardia,1890,M,nato 1872 e dopo,0,18,36,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Lombardia,1890,M,nato 1870-71,19,20,281,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Lombardia,1890,M,nato 1868-69,21,22,1851,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Lombardia,1890,M,nato 1866-67,23,24,4805,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Lombardia,1890,M,nato 1864-65,25,26,5892,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Lombardia,1890,M,nato 1862-63,27,28,4234,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Lombardia,1890,M,nato 1860-61,29,30,2708,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Lombardia,1890,M,nato 1855-59,31,35,3605,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Lombardia,1890,M,nato 1850-54,36,40,1598,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Lombardia,1890,M,nato 1845-49,41,45,945,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Lombardia,1890,M,nato 1840-44,46,50,575,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Lombardia,1890,M,nato 1835-39,51,55,341,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Lombardia,1890,M,nato 1830-34,56,60,199,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Lombardia,1890,M,nato 1825-29,61,65,123,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Lombardia,1890,M,nato prima del 1825,65,,96,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Lombardia,1890,M,ignota,,,66,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Veneto,1890,M,nato 1872 e dopo,0,18,23,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Veneto,1890,M,nato 1870-71,19,20,299,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Veneto,1890,M,nato 1868-69,21,22,1514,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
Veneto,1890,M,nato 1866-67,23,24,3220,effettive,"ED_1892 Anno 1890, TAVOLA III C (RIASSUNTO per compartimenti, per anno di nascita)",
