compartimento,year,marriages,nuptiality
ABRUZZI E MOLISE,1863,11270,9.2
ABRUZZI E MOLISE,1864,10394,8.44
ABRUZZI E MOLISE,1865,11950,9.65
ABRUZZI E MOLISE,1866,9388,7.55
ABRUZZI E MOLISE,1867,9430,7.54
ABRUZZI E MOLISE,1868,9972,7.94
ABRUZZI E MOLISE,1869,10822,8.57
ABRUZZI E MOLISE,1870,9580,7.55
ABRUZZI E MOLISE,1871,11106,8.71
ABRUZZI E MOLISE,1872,10189,7.97
ABRUZZI E MOLISE,1873,11807,9.2
ABRUZZI E MOLISE,1874,10854,8.43
ABRUZZI E MOLISE,1875,12193,9.44
ABRUZZI E MOLISE,1876,11522,8.89
ABRUZZI E MOLISE,1877,12002,9.23
ABRUZZI E MOLISE,1878,11569,8.87
ABRUZZI E MOLISE,1879,11469,8.77
ABRUZZI E MOLISE,1880,10039,7.65
ABRUZZI E MOLISE,1881,13105,9.95
ABRUZZI E MOLISE,1882,10516,9.86
ABRUZZI E MOLISE,1883,7080,7.28
ABRUZZI E MOLISE,1885,12186,9.08
ABRUZZI E MOLISE,1887,1801,1.33
ABRUZZI E MOLISE,1890,11459,8.35
ABRUZZI E MOLISE,1891,11836,8.59
ABRUZZI E MOLISE,1894,11974,8.57
ABRUZZI E MOLISE,1897,25481,18.0
ABRUZZI E MOLISE,1898,14817,14.36
ABRUZZI E MOLISE,1900,2387,2.24
ABRUZZI E MOLISE,1901,11482,7.97
ABRUZZI E MOLISE,1911,10587,7.43
ABRUZZI E MOLISE,1921,16602,11.65
ABRUZZI E MOLISE,1931,10789,7.14
BASILICATA,1863,4940,9.95
BASILICATA,1864,4684,9.4
BASILICATA,1865,5236,10.47
BASILICATA,1866,4126,8.22
BASILICATA,1867,4765,9.46
BASILICATA,1868,4642,9.19
BASILICATA,1869,4814,9.49
BASILICATA,1870,3886,7.64
BASILICATA,1871,4315,8.45
BASILICATA,1872,4995,9.76
BASILICATA,1873,5177,10.08
BASILICATA,1874,4736,9.2
BASILICATA,1875,5002,9.69
BASILICATA,1876,5300,10.24
BASILICATA,1877,5564,10.72
BASILICATA,1878,4945,9.5
BASILICATA,1879,4791,9.18
BASILICATA,1880,4556,8.71
BASILICATA,1881,5436,10.36
BASILICATA,1882,5122,9.8
BASILICATA,1883,3727,7.15
BASILICATA,1885,4103,7.93
BASILICATA,1887,626,1.22
BASILICATA,1890,4292,8.43
BASILICATA,1891,4479,8.83
BASILICATA,1894,4524,9.01
BASILICATA,1897,266,0.54
BASILICATA,1900,4019,8.17
BASILICATA,1901,3548,7.24
BASILICATA,1911,3788,8.06
BASILICATA,1921,5885,12.6
BASILICATA,1931,3824,7.58
CALABRIE,1863,9265,7.99
CALABRIE,1864,9244,7.93
CALABRIE,1865,11576,9.87
