province,year,marriages,COD_PROV,DEN_PROV,source,validated
Alessandria,1863,5947,6,Alessandria,TAVOLA_VI_1881,OK
Ancona,1863,1900,42,Ancona,TAVOLA_VI_1881,OK
Aquila degli Abruzzi,1863,2676,66,Aquila degli Abruzzi,TAVOLA_VI_1881,OK
Arezzo,1863,1904,51,Arezzo,TAVOLA_VI_1881,OK
Ascoli Piceno,1863,1316,44,Ascoli Piceno,TAVOLA_VI_1881,OK
Aveilino,1863,3371,64,Avellino,TAVOLA_VI_1881,OK
Bari delle Puglie,1863,4374,72,Bari delle Puglie,TAVOLA_VI_1881,OK
Belluno,1863,1304,25,Belluno,TAVOLA_VI_1881,OK
Benevento,1863,2135,62,Benevento,TAVOLA_VI_1881,OK
Bergamo,1863,2794,16,Bergamo,TAVOLA_VI_1881,OK
Bologna,1863,3086,37,Bologna,TAVOLA_VI_1881,OK
Brescia,1863,4187,17,Brescia,TAVOLA_VI_1881,OK
Cagliari,1863,3137,92,Cagliari,TAVOLA_VI_1881,OK
Caltanissetta,1863,1460,85,Caltanissetta,TAVOLA_VI_1881,OK
Campobasso,1863,3472,70,Campobasso,TAVOLA_VI_1881,OK
Caserta,1863,5982,61,Caserta,TAVOLA_VI_1881,OK
Catania,1863,2909,87,Catania,TAVOLA_VI_1881,OK
Catanzaro,1863,3147,79,Catanzaro,TAVOLA_VI_1881,OK
Chieti,1863,3162,69,Chieti,TAVOLA_VI_1881,OK
Como,1863,3346,13,Como,TAVOLA_VI_1881,OK
Cosenza,1863,3732,78,Cosenza,TAVOLA_VI_1881,OK
Cremona,1863,3112,19,Cremona,TAVOLA_VI_1881,OK
Cuneo,1863,5218,4,Cuneo,TAVOLA_VI_1881,OK
Ferrara,1863,1590,38,Ferrara,TAVOLA_VI_1881,OK
Firenze,1863,6829,48,Firenze,TAVOLA_VI_1881,OK
Foggia,1863,2839,71,Foggia,TAVOLA_VI_1881,OK
Forlì,1863,1585,40,Forlì,TAVOLA_VI_1881,OK
Genova,1863,6269,10,Genova,TAVOLA_VI_1881,OK
Girgenti,1863,1647,84,Girgenti,TAVOLA_VI_1881,OK
Grosseto,1863,851,53,Grosseto,TAVOLA_VI_1881,OK
Lecce,1863,3648,75,Lecce,TAVOLA_VI_1881,OK
Livorno,1863,1064,49,Livorno,TAVOLA_VI_1881,OK
Lucca,1863,2246,46,Lucca,TAVOLA_VI_1881,OK
Macerata,1863,1592,43,Macerata,TAVOLA_VI_1881,OK
Mantova,1863,1539,20,Mantova,TAVOLA_VI_1881,OK
Massa e Carrara,1863,1223,45,Massa e Carrara,TAVOLA_VI_1881,OK
Messina,1863,2624,83,Messina,TAVOLA_VI_1881,OK
Milano,1863,7587,15,Milano,TAVOLA_VI_1881,OK
Modena,1863,1969,36,Modena,TAVOLA_VI_1881,OK
Napoli,1863,6922,63,Napoli,TAVOLA_VI_1881,OK
Novara,1863,4880,3,Novara,TAVOLA_VI_1881,OK
Padova,1863,2961,28,Padova,TAVOLA_VI_1881,OK
Palermo,1863,3720,82,Palermo,TAVOLA_VI_1881,OK
Parma,1863,1943,34,Parma,TAVOLA_VI_1881,OK
Pavia,1863,3807,18,Pavia,TAVOLA_VI_1881,OK
Perugia,1863,3295,54,Umbria,TAVOLA_VI_1881,OK
Pesaro e Urbino,1863,1370,41,Pesaro e Urbino,TAVOLA_VI_1881,OK
Piacenza,1863,1671,33,Piacenza,TAVOLA_VI_1881,OK
Pisa,1863,2129,50,Pisa,TAVOLA_VI_1881,OK
Porto Maurizio,1863,1115,8,Porto Maurizio,TAVOLA_VI_1881,OK
Potenza,1863,4940,76,Potenza,TAVOLA_VI_1881,OK
Ravenna,1863,1470,39,Ravenna,TAVOLA_VI_1881,OK
Reggio di Calabria,1863,2386,80,Reggio di Calabria,TAVOLA_VI_1881,OK
Reggio nell' Emilia,1863,1773,35,Reggio nell'Emilia,TAVOLA_VI_1881,OK
Rovigo,1863,1736,29,Rovigo,TAVOLA_VI_1881,OK
Salerno,1863,4502,65,Salerno,TAVOLA_VI_1881,OK
Sassari,1863,2091,90,Sassari,TAVOLA_VI_1881,OK
Siena,1863,1724,52,Siena,TAVOLA_VI_1881,OK
Siracusa,1863,1549,89,Siracusa,TAVOLA_VI_1881,OK
Sondrio,1863,864,14,Sondrio,TAVOLA_VI_1881,OK
Teramo,1863,1960,67,Teramo,TAVOLA_VI_1881,OK
Torino,1863,7986,1,Torino,TAVOLA_VI_1881,OK
Trapani,1863,1489,81,Trapani,TAVOLA_VI_1881,OK
Treviso,1863,2723,26,Treviso,TAVOLA_VI_1881,OK
Udine,1863,3465,30,Udine,TAVOLA_VI_1881,OK
Venezia,1863,2491,27,Venezia,TAVOLA_VI_1881,OK
Verona,1863,2816,23,Verona,TAVOLA_VI_1881,OK
Vicenza,1863,3054,24,Vicenza,TAVOLA_VI_1881,OK
Alessandria,1864,5991,6,Alessandria,TAVOLA_VI_1881,OK
Ancona,1864,2048,42,Ancona,TAVOLA_VI_1881,OK
Aquila degli Abruzzi,1864,2719,66,Aquila degli Abruzzi,TAVOLA_VI_1881,OK
Arezzo,1864,1769,51,Arezzo,TAVOLA_VI_1881,OK
Ascoli Piceno,1864,1270,44,Ascoli Piceno,TAVOLA_VI_1881,OK
Aveilino,1864,3196,64,Avellino,TAVOLA_VI_1881,OK
Bari delle Puglie,1864,4311,72,Bari delle Puglie,TAVOLA_VI_1881,OK
Belluno,1864,1281,25,Belluno,TAVOLA_VI_1881,OK
Benevento,1864,1890,62,Benevento,TAVOLA_VI_1881,OK
Bergamo,1864,2752,16,Bergamo,TAVOLA_VI_1881,OK
Bologna,1864,2987,37,Bologna,TAVOLA_VI_1881,OK
Brescia,1864,4137,17,Brescia,TAVOLA_VI_1881,OK
Cagliari,1864,3334,92,Cagliari,TAVOLA_VI_1881,OK
Caltanissetta,1864,1665,85,Caltanissetta,TAVOLA_VI_1881,OK
Campobasso,1864,3118,70,Campobasso,TAVOLA_VI_1881,OK
Caserta,1864,5312,61,Caserta,TAVOLA_VI_1881,OK
Catania,1864,3255,87,Catania,TAVOLA_VI_1881,OK
Catanzaro,1864,3138,79,Catanzaro,TAVOLA_VI_1881,OK
Chieti,1864,2857,69,Chieti,TAVOLA_VI_1881,OK
Como,1864,3348,13,Como,TAVOLA_VI_1881,OK
Cosenza,1864,3501,78,Cosenza,TAVOLA_VI_1881,OK
Cremona,1864,2904,19,Cremona,TAVOLA_VI_1881,OK
Cuneo,1864,5172,4,Cuneo,TAVOLA_VI_1881,OK
Ferrara,1864,1655,38,Ferrara,TAVOLA_VI_1881,OK
Firenze,1864,6069,48,Firenze,TAVOLA_VI_1881,OK
Foggia,1864,2813,71,Foggia,TAVOLA_VI_1881,OK
Forlì,1864,1573,40,Forlì,TAVOLA_VI_1881,OK
Genova,1864,6147,10,Genova,TAVOLA_VI_1881,OK
Girgenti,1864,1965,84,Girgenti,TAVOLA_VI_1881,OK
Grosseto,1864,801,53,Grosseto,TAVOLA_VI_1881,OK
Lecce,1864,3608,75,Lecce,TAVOLA_VI_1881,OK
Livorno,1864,1013,49,Livorno,TAVOLA_VI_1881,OK
Lucca,1864,2097,46,Lucca,TAVOLA_VI_1881,OK
Macerata,1864,1540,43,Macerata,TAVOLA_VI_1881,OK
Mantova,1864,1430,20,Mantova,TAVOLA_VI_1881,OK
Massa e Carrara,1864,1160,45,Massa e Carrara,TAVOLA_VI_1881,OK
Messina,1864,2785,83,Messina,TAVOLA_VI_1881,OK
Milano,1864,7367,15,Milano,TAVOLA_VI_1881,OK
Modena,1864,2164,36,Modena,TAVOLA_VI_1881,OK
Napoli,1864,6888,63,Napoli,TAVOLA_VI_1881,OK
Novara,1864,5090,3,Novara,TAVOLA_VI_1881,OK
Padova,1864,2811,28,Padova,TAVOLA_VI_1881,OK
Palermo,1864,4175,82,Palermo,TAVOLA_VI_1881,OK
Parma,1864,1827,34,Parma,TAVOLA_VI_1881,OK
Pavia,1864,3910,18,Pavia,TAVOLA_VI_1881,OK
Perugia,1864,3674,54,Umbria,TAVOLA_VI_1881,OK
Pesaro e Urbino,1864,1426,41,Pesaro e Urbino,TAVOLA_VI_1881,OK
Piacenza,1864,1442,33,Piacenza,TAVOLA_VI_1881,OK
Pisa,1864,1801,50,Pisa,TAVOLA_VI_1881,OK
Porto Maurizio,1864,1164,8,Porto Maurizio,TAVOLA_VI_1881,OK
Potenza,1864,4684,76,Potenza,TAVOLA_VI_1881,OK
Ravenna,1864,1447,39,Ravenna,TAVOLA_VI_1881,OK
Reggio di Calabria,1864,2605,80,Reggio di Calabria,TAVOLA_VI_1881,OK
Reggio nell' Emilia,1864,1809,35,Reggio nell'Emilia,TAVOLA_VI_1881,OK
Rovigo,1864,1488,29,Rovigo,TAVOLA_VI_1881,OK
Salerno,1864,3470,65,Salerno,TAVOLA_VI_1881,OK
Sassari,1864,2127,90,Sassari,TAVOLA_VI_1881,OK
Siena,1864,1588,52,Siena,TAVOLA_VI_1881,OK
Siracusa,1864,1864,89,Siracusa,TAVOLA_VI_1881,OK
Sondrio,1864,855,14,Sondrio,TAVOLA_VI_1881,OK
Teramo,1864,1700,67,Teramo,TAVOLA_VI_1881,OK
Torino,1864,7896,1,Torino,TAVOLA_VI_1881,OK
Trapani,1864,1563,81,Trapani,TAVOLA_VI_1881,OK
Treviso,1864,2755,26,Treviso,TAVOLA_VI_1881,OK
Udine,1864,3234,30,Udine,TAVOLA_VI_1881,OK
Venezia,1864,2493,27,Venezia,TAVOLA_VI_1881,OK
Verona,1864,2896,23,Verona,TAVOLA_VI_1881,OK
Vicenza,1864,2989,24,Vicenza,TAVOLA_VI_1881,OK
Alessandria,1865,7054,6,Alessandria,TAVOLA_VI_1881,OK
Ancona,1865,2094,42,Ancona,TAVOLA_VI_1881,OK
Aquila degli Abruzzi,1865,2665,66,Aquila degli Abruzzi,TAVOLA_VI_1881,OK
Arezzo,1865,2073,51,Arezzo,TAVOLA_VI_1881,OK
Ascoli Piceno,1865,1456,44,Ascoli Piceno,TAVOLA_VI_1881,OK
Aveilino,1865,3340,64,Avellino,TAVOLA_VI_1881,OK
Bari delle Puglie,1865,5676,72,Bari delle Puglie,TAVOLA_VI_1881,OK
Belluno,1865,1365,25,Belluno,TAVOLA_VI_1881,OK
Benevento,1865,2256,62,Benevento,TAVOLA_VI_1881,OK
Bergamo,1865,3390,16,Bergamo,TAVOLA_VI_1881,OK
Bologna,1865,3349,37,Bologna,TAVOLA_VI_1881,OK
Brescia,1865,4820,17,Brescia,TAVOLA_VI_1881,OK
Cagliari,1865,3819,92,Cagliari,TAVOLA_VI_1881,OK
Caltanissetta,1865,1635,85,Caltanissetta,TAVOLA_VI_1881,OK
Campobasso,1865,3579,70,Campobasso,TAVOLA_VI_1881,OK
Caserta,1865,6250,61,Caserta,TAVOLA_VI_1881,OK
Catania,1865,3324,87,Catania,TAVOLA_VI_1881,OK
Catanzaro,1865,4134,79,Catanzaro,TAVOLA_VI_1881,OK
Chieti,1865,3454,69,Chieti,TAVOLA_VI_1881,OK
Como,1865,4235,13,Como,TAVOLA_VI_1881,OK
Cosenza,1865,4418,78,Cosenza,TAVOLA_VI_1881,OK
Cremona,1865,3556,19,Cremona,TAVOLA_VI_1881,OK
Cuneo,1865,6154,4,Cuneo,TAVOLA_VI_1881,OK
Ferrara,1865,2077,38,Ferrara,TAVOLA_VI_1881,OK
