COD_PROV,DEN_PROV,year,marriages,nuptiality
1,Torino,1863,7986,12.39
3,Novara,1863,4880,14.8
4,Cuneo,1863,5218,15.71
6,Alessandria,1863,5947,19.58
8,Porto Maurizio,1863,1115,5.38
10,Genova,1863,6269,19.67
13,Como,1863,3346,5.45
14,Sondrio,1863,864,3.21
15,Milano,1863,7587,12.73
16,Bergamo,1863,2794,7.33
17,Brescia,1863,4187,10.66
18,Pavia,1863,3807,8.95
19,Cremona,1863,3112,9.34
20,Mantova,1863,1539,5.34
23,Verona,1863,2816,7.67
24,Vicenza,1863,3054,8.42
25,Belluno,1863,1304,7.44
26,Treviso,1863,2723,7.73
27,Venezia,1863,2491,7.38
28,Padova,1863,2961,8.13
29,Rovigo,1863,1736,8.65
30,Udine,1863,3465,7.2
33,Piacenza,1863,1671,7.6
34,Parma,1863,1943,7.35
35,Reggio nell'Emilia,1863,1773,7.63
36,Modena,1863,1969,7.2
37,Bologna,1863,3086,7.46
38,Ferrara,1863,1590,7.83
39,Ravenna,1863,1470,6.65
40,Forlì,1863,1585,6.99
41,Pesaro e Urbino,1863,1370,6.7
42,Ancona,1863,1900,7.41
43,Macerata,1863,1592,6.72
44,Ascoli Piceno,1863,1316,6.67
45,Massa e Carrara,1863,1223,8.46
46,Lucca,1863,2246,8.6
48,Firenze,1863,6829,9.61
49,Livorno,1863,1064,9.08
50,Pisa,1863,2129,8.6
51,Arezzo,1863,1904,8.11
52,Siena,1863,1724,7.62
53,Grosseto,1863,851,8.36
54,Umbria,1863,3295,6.34
61,Caserta,1863,5982,8.58
62,Benevento,1863,2135,9.58
63,Napoli,1863,6922,7.9
64,Avellino,1863,3371,8.94
65,Salerno,1863,4502,8.48
66,Aquila degli Abruzzi,1863,2676,8.51
67,Teramo,1863,1960,6.89
69,Chieti,1863,3162,9.59
70,Campobasso,1863,3472,9.98
71,Foggia,1863,2839,8.22
72,Bari delle Puglie,1863,4374,7.74
75,Lecce,1863,3648,7.99
76,Potenza,1863,4940,9.68
78,Cosenza,1863,3732,8.61
79,Catanzaro,1863,3147,8.06
80,Reggio di Calabria,1863,2386,7.11
81,Trapani,1863,1489,6.79
82,Palermo,1863,3720,6.02
83,Messina,1863,2624,6.6
84,Girgenti,1863,1647,5.72
85,Caltanissetta,1863,1460,7.37
87,Catania,1863,2909,6.34
89,Siracusa,1863,1549,5.81
90,Sassari,1863,2091,9.44
92,Cagliari,1863,3137,8.34
1,Torino,1864,7896,11.52
3,Novara,1864,5090,13.88
4,Cuneo,1864,5172,14.06
6,Alessandria,1864,5991,17.06
8,Porto Maurizio,1864,1164,5.9
10,Genova,1864,6147,16.69
13,Como,1864,3348,5.61
14,Sondrio,1864,855,3.43
15,Milano,1864,7367,11.37
16,Bergamo,1864,2752,7.25
17,Brescia,1864,4137,10.33
18,Pavia,1864,3910,9.13
19,Cremona,1864,2904,8.83
20,Mantova,1864,1430,4.97
23,Verona,1864,2896,7.88
24,Vicenza,1864,2989,8.24
25,Belluno,1864,1281,7.31
26,Treviso,1864,2755,7.82
27,Venezia,1864,2493,7.39
28,Padova,1864,2811,7.71
29,Rovigo,1864,1488,7.42
30,Udine,1864,3234,6.72
33,Piacenza,1864,1442,6.53
34,Parma,1864,1827,6.91
35,Reggio nell'Emilia,1864,1809,7.75
36,Modena,1864,2164,7.91
37,Bologna,1864,2987,7.17
38,Ferrara,1864,1655,8.09
39,Ravenna,1864,1447,6.55
40,Forlì,1864,1573,6.9
41,Pesaro e Urbino,1864,1426,6.93
42,Ancona,1864,2048,7.96
43,Macerata,1864,1540,6.5
44,Ascoli Piceno,1864,1270,6.41
45,Massa e Carrara,1864,1160,7.91
46,Lucca,1864,2097,7.96
48,Firenze,1864,6069,8.46
49,Livorno,1864,1013,8.63
50,Pisa,1864,1801,7.21
51,Arezzo,1864,1769,7.54
52,Siena,1864,1588,7.1
53,Grosseto,1864,801,7.82
54,Umbria,1864,3674,7.02
61,Caserta,1864,5312,7.62
62,Benevento,1864,1890,8.44
63,Napoli,1864,6888,7.83
64,Avellino,1864,3196,8.47
65,Salerno,1864,3470,6.52
66,Aquila degli Abruzzi,1864,2719,8.59
67,Teramo,1864,1700,6.08
69,Chieti,1864,2857,8.63
70,Campobasso,1864,3118,8.94
71,Foggia,1864,2813,8.21
72,Bari delle Puglie,1864,4311,7.56
75,Lecce,1864,3608,7.83
76,Potenza,1864,4684,9.17
78,Cosenza,1864,3501,8.05
79,Catanzaro,1864,3138,7.98
80,Reggio di Calabria,1864,2605,7.71
81,Trapani,1864,1563,7.06
82,Palermo,1864,4175,6.76
83,Messina,1864,2785,6.99
84,Girgenti,1864,1965,6.83
85,Caltanissetta,1864,1665,8.24
87,Catania,1864,3255,7.02
89,Siracusa,1864,1864,6.9
90,Sassari,1864,2127,9.49
92,Cagliari,1864,3334,8.81
1,Torino,1865,9159,12.61
3,Novara,1865,6575,16.29
4,Cuneo,1865,6154,15.25
6,Alessandria,1865,7054,17.7
8,Porto Maurizio,1865,1351,7.22
10,Genova,1865,7751,18.55
13,Como,1865,4235,7.3
14,Sondrio,1865,997,4.35
15,Milano,1865,8880,12.7
16,Bergamo,1865,3390,8.97
17,Brescia,1865,4820,11.8
18,Pavia,1865,4379,10.16
19,Cremona,1865,3556,10.94
20,Mantova,1865,347,1.2
23,Verona,1865,2943,8.01
24,Vicenza,1865,2933,8.09
25,Belluno,1865,1365,7.79
26,Treviso,1865,2738,7.77
27,Venezia,1865,2404,7.12
28,Padova,1865,2940,8.07
29,Rovigo,1865,1694,8.44
30,Udine,1865,3438,7.14
33,Piacenza,1865,1674,7.56
34,Parma,1865,2003,7.58
35,Reggio nell'Emilia,1865,1866,7.96
36,Modena,1865,2331,8.52
37,Bologna,1865,3349,7.97
