province,year,emigrants,emig_eur,emig_trans,COD_PROV,DEN_PROV,source,validated
Alessandria,1911,7212,2579,4633,6,Alessandria,ASI1912,OK
Ancona,1911,4587,2378,2209,42,Ancona,ASI1912,OK
Aquila degli Abruzzi,1911,9567,3182,6385,66,Aquila degli Abruzzi,ASI1912,OK
Arezzo,1911,5472,5130,342,51,Arezzo,ASI1912,OK
Ascoli Piceno,1911,3247,1111,2136,44,Ascoli Piceno,ASI1912,OK
Avellino,1911,11434,158,11276,64,Avellino,ASI1912,OK_corrected
Bari delle Puglie,1911,12351,1395,10956,72,Bari delle Puglie,ASI1912,OK
Belluno,1911,16811,15404,1407,25,Belluno,ASI1912,OK
Benevento,1911,5718,35,5683,62,Benevento,ASI1912,OK
Bergamo,1911,16847,14705,2142,16,Bergamo,ASI1912,OK
Bologna,1911,6312,5505,807,37,Bologna,ASI1912,OK
Brescia,1911,9497,8190,1307,17,Brescia,ASI1912,OK
Cagliari,1911,2700,2211,489,92,Cagliari,ASI1912,OK
Caltanissetta,1911,4945,197,4748,85,Caltanissetta,ASI1912,OK
Campobasso,1911,8791,198,8593,70,Campobasso,ASI1912,OK
Caserta,1911,16218,1334,14884,61,Caserta,ASI1912,OK
Catania,1911,8295,571,7724,87,Catania,ASI1912,OK
Catanzaro,1911,9616,128,9488,79,Catanzaro,ASI1912,OK
Chieti,1911,7279,276,7003,69,Chieti,ASI1912,OK
Como,1911,15244,13146,2098,13,Como,ASI1912,OK
Cosenza,1911,13819,276,13543,78,Cosenza,ASI1912,OK
Cremona,1911,2309,2003,306,19,Cremona,ASI1912,OK
Cuneo,1911,7767,4950,2817,4,Cuneo,ASI1912,OK
Ferrara,1911,1881,1483,398,38,Ferrara,ASI1912,OK
Firenze,1911,12883,11533,1350,48,Firenze,ASI1912,OK
Foggia,1911,5163,751,4412,71,Foggia,ASI1912,OK_corrected
Forlì,1911,6449,5634,815,40,Forlì,ASI1912,OK
Genova,1911,6093,1532,4561,10,Genova,ASI1912,OK_corrected
Girgenti,1911,7265,341,6924,84,Girgenti,ASI1912,OK
Grosseto,1911,736,459,277,53,Grosseto,ASI1912,OK
Lecce,1911,2804,1235,1569,75,Lecce,ASI1912,OK
Livorno,1911,1101,833,268,49,Livorno,ASI1912,OK
Lucca,1911,9130,3279,5851,46,Lucca,ASI1912,OK
Macerata,1911,3039,980,2059,43,Macerata,ASI1912,OK
Mantova,1911,3184,2433,751,20,Mantova,ASI1912,OK
Massa e Carrara,1911,4587,2512,2075,45,Massa e Carrara,ASI1912,OK
Messina,1911,8697,485,8212,83,Messina,ASI1912,OK
Milano,1911,8554,5859,2695,15,Milano,ASI1912,OK
Modena,1911,4074,3076,998,36,Modena,ASI1912,OK
Napoli,1911,8440,2075,6365,63,Napoli,ASI1912,OK
Novara,1911,18346,15447,2899,3,Novara,ASI1912,OK
Padova,1911,6548,5926,622,28,Padova,ASI1912,OK
Palermo,1911,10584,713,9871,82,Palermo,ASI1912,OK
Parma,1911,5359,3834,1525,34,Parma,ASI1912,OK
Pavia,1911,3428,1424,2004,18,Pavia,ASI1912,OK
Perugia,1911,12098,9123,2975,54,Umbria,ASI1912,OK
Pesaro e Urbino,1911,6359,4800,1559,41,Pesaro e Urbino,ASI1912,OK
Piacenza,1911,3498,2004,1494,33,Piacenza,ASI1912,OK
Pisa,1911,2574,1669,905,50,Pisa,ASI1912,OK
Porto Maurizio,1911,959,794,165,8,Porto Maurizio,ASI1912,OK
Potenza,1911,10426,351,10075,76,Potenza,ASI1912,OK_corrected
Ravenna,1911,1904,1728,176,39,Ravenna,ASI1912,OK
Reggio di Calabria,1911,6947,515,6432,80,Reggio di Calabria,ASI1912,OK
Reggio nell'Emilia,1911,2982,2441,541,35,Reggio nell'Emilia,ASI1912,OK
Roma,1911,9121,1651,7470,58,Roma,ASI1912,OK
Rovigo,1911,1818,1261,557,29,Rovigo,ASI1912,OK
Salerno,1911,12339,553,11786,65,Salerno,ASI1912,OK
Sassari,1911,2659,1829,830,90,Sassari,ASI1912,OK_corrected
Siena,1911,959,773,186,52,Siena,ASI1912,OK
Siracusa,1911,6409,1117,5292,89,Siracusa,ASI1912,OK
Sondrio,1911,6006,4912,1094,14,Sondrio,ASI1912,OK
Teramo,1911,6388,718,5670,67,Teramo,ASI1912,OK
Torino,1911,19010,12801,6209,1,Torino,ASI1912,OK
Trapani,1911,4594,780,3814,81,Trapani,ASI1912,OK
Treviso,1911,11109,9186,1923,26,Treviso,ASI1912,OK
Udine,1911,36494,33575,2919,30,Udine,ASI1912,OK
Venezia,1911,3993,3474,519,27,Venezia,ASI1912,OK
Verona,1911,9743,8548,1195,23,Verona,ASI1912,OK
Vicenza,1911,11072,9556,1516,24,Vicenza,ASI1912,OK
Alessandria,1912,11424,2367,9057,6,Alessandria,ASI1913,OK
Ancona,1912,7240,3553,3687,42,Ancona,ASI1913,OK
Aquila degli Abruzzi,1912,14471,4400,10071,66,Aquila degli Abruzzi,ASI1913,OK
Arezzo,1912,5576,5016,560,51,Arezzo,ASI1913,OK
Ascoli Piceno,1912,7206,1893,5313,44,Ascoli Piceno,ASI1913,OK
Avellino,1912,12202,241,11961,64,Avellino,ASI1913,OK
Bari delle Puglie,1912,16494,2462,14032,72,Bari delle Puglie,ASI1913,OK
Belluno,1912,17121,15652,1469,25,Belluno,ASI1913,OK
Benevento,1912,7443,50,7393,62,Benevento,ASI1913,OK
Bergamo,1912,15986,14953,1033,16,Bergamo,ASI1913,OK
Bologna,1912,5864,5101,763,37,Bologna,ASI1913,OK
Brescia,1912,10240,8960,1280,17,Brescia,ASI1913,OK
Cagliari,1912,3841,2630,1211,92,Cagliari,ASI1913,OK
Caltanissetta,1912,10625,439,10186,85,Caltanissetta,ASI1913,OK
Campobasso,1912,11010,249,10761,70,Campobasso,ASI1913,OK
Caserta,1912,24419,2485,21934,61,Caserta,ASI1913,OK
Catania,1912,15754,746,15008,87,Catania,ASI1913,OK
Catanzaro,1912,15885,266,15619,79,Catanzaro,ASI1913,OK
Chieti,1912,10830,253,10577,69,Chieti,ASI1913,OK
Como,1912,16412,13993,2419,13,Como,ASI1913,OK_corrected
Cosenza,1912,17076,252,16824,78,Cosenza,ASI1913,OK
Cremona,1912,3028,2663,365,19,Cremona,ASI1913,OK
Cuneo,1912,8782,4967,3815,4,Cuneo,ASI1913,OK
Ferrara,1912,1703,1290,413,38,Ferrara,ASI1913,OK
Firenze,1912,13191,11604,1587,48,Firenze,ASI1913,OK
Foggia,1912,9460,476,8984,71,Foggia,ASI1913,OK
Forlì,1912,8202,6401,1801,40,Forlì,ASI1913,OK
Genova,1912,7706,2192,5514,10,Genova,ASI1913,OK
Girgenti,1912,13312,901,12411,84,Girgenti,ASI1913,OK
Grosseto,1912,1188,526,662,53,Grosseto,ASI1913,OK
Lecce,1912,3235,1406,1829,75,Lecce,ASI1913,OK
Livorno,1912,1254,991,263,49,Livorno,ASI1913,OK
Lucca,1912,9850,3082,6768,46,Lucca,ASI1913,OK
Macerata,1912,8596,1849,6747,43,Macerata,ASI1913,OK_corrected
Mantova,1912,3571,2450,1121,20,Mantova,ASI1913,OK
Massa e Carrara,1912,4953,2669,2284,45,Massa e Carrara,ASI1913,OK
Messina,1912,14287,917,13370,83,Messina,ASI1913,OK
Milano,1912,12812,9216,3596,15,Milano,ASI1913,OK
Modena,1912,4505,3092,1413,36,Modena,ASI1913,OK
Napoli,1912,8274,2116,6158,63,Napoli,ASI1913,OK
Novara,1912,22796,17550,5246,3,Novara,ASI1913,OK
Padova,1912,8368,6072,2296,28,Padova,ASI1913,OK
Palermo,1912,14922,439,14483,82,Palermo,ASI1913,OK
Parma,1912,6262,4516,1746,34,Parma,ASI1913,OK
Pavia,1912,7162,1578,5584,18,Pavia,ASI1913,OK
Perugia,1912,14041,11063,2978,54,Umbria,ASI1913,OK
