COD_PROV,year,emigrants,emig_rate
66,1911,32025,22.47
67,1911,32025,22.47
68,1911,32025,22.47
69,1911,32025,22.47
70,1911,32025,22.47
66,1912,46502,32.63
67,1912,46502,32.63
68,1912,46502,32.63
69,1912,46502,32.63
70,1912,46502,32.63
66,1913,62038,43.53
67,1913,62038,43.53
68,1913,62038,43.53
69,1913,62038,43.53
70,1913,62038,43.53
66,1914,24095,16.91
67,1914,24095,16.91
68,1914,24095,16.91
69,1914,24095,16.91
70,1914,24095,16.91
66,1915,9324,6.54
67,1915,9324,6.54
68,1915,9324,6.54
69,1915,9324,6.54
70,1915,9324,6.54
66,1916,14297,10.03
67,1916,14297,10.03
68,1916,14297,10.03
69,1916,14297,10.03
70,1916,14297,10.03
66,1919,10286,7.22
67,1919,10286,7.22
68,1919,10286,7.22
69,1919,10286,7.22
70,1919,10286,7.22
66,1920,49795,34.94
67,1920,49795,34.94
68,1920,49795,34.94
69,1920,49795,34.94
70,1920,49795,34.94
66,1921,10499,7.36
67,1921,10499,7.36
68,1921,10499,7.36
69,1921,10499,7.36
70,1921,10499,7.36
76,1911,10426,22.2
77,1911,10426,22.2
76,1912,14868,31.67
77,1912,14868,31.67
76,1913,16153,34.43
77,1913,16153,34.43
76,1914,6563,14.0
77,1914,6563,14.0
76,1915,2503,5.34
77,1915,2503,5.34
76,1916,3238,6.91
77,1916,3238,6.91
76,1919,4047,8.65
77,1919,4047,8.65
76,1920,12324,26.37
77,1920,12324,26.37
76,1921,5594,11.98
77,1921,5594,11.98
78,1911,30382,21.85
79,1911,30382,21.85
80,1911,30382,21.85
78,1912,47323,33.82
79,1912,47323,33.82
80,1912,47323,33.82
78,1913,55910,39.71
79,1913,55910,39.71
80,1913,55910,39.71
78,1914,24196,17.08
79,1914,24196,17.08
80,1914,24196,17.08
78,1915,6489,4.55
79,1915,6489,4.55
80,1915,6489,4.55
78,1916,7086,4.94
79,1916,7086,4.94
80,1916,7086,4.94
78,1919,12159,8.32
79,1919,12159,8.32
80,1919,12159,8.32
78,1920,51666,35.13
79,1920,51666,35.13
80,1920,51666,35.13
78,1921,17037,11.52
79,1921,17037,11.52
80,1921,17037,11.52
61,1911,54149,16.44
62,1911,54149,16.44
63,1911,54149,16.44
64,1911,54149,16.44
65,1911,54149,16.44
61,1912,66939,20.19
62,1912,66939,20.19
63,1912,66939,20.19
64,1912,66939,20.19
65,1912,66939,20.19
61,1913,78633,23.56
62,1913,78633,23.56
63,1913,78633,23.56
64,1913,78633,23.56
65,1913,78633,23.56
61,1914,41039,12.21
62,1914,41039,12.21
63,1914,41039,12.21
64,1914,41039,12.21
65,1914,41039,12.21
61,1915,14542,4.3
62,1915,14542,4.3
63,1915,14542,4.3
64,1915,14542,4.3
65,1915,14542,4.3
61,1916,13625,4.0
62,1916,13625,4.0
63,1916,13625,4.0
64,1916,13625,4.0
65,1916,13625,4.0
61,1919,28874,8.31
62,1919,28874,8.31
63,1919,28874,8.31
64,1919,28874,8.31
65,1919,28874,8.31
61,1920,82779,23.66
62,1920,82779,23.66
63,1920,82779,23.66
64,1920,82779,23.66
65,1920,82779,23.66
61,1921,17221,4.89
62,1921,17221,4.89
63,1921,17221,4.89
64,1921,17221,4.89
65,1921,17221,4.89
33,1911,32459,12.11
34,1911,32459,12.11
35,1911,32459,12.11
36,1911,32459,12.11
37,1911,32459,12.11
38,1911,32459,12.11
39,1911,32459,12.11
40,1911,32459,12.11
33,1912,35763,13.22
34,1912,35763,13.22
35,1912,35763,13.22
36,1912,35763,13.22
37,1912,35763,13.22
38,1912,35763,13.22
39,1912,35763,13.22
40,1912,35763,13.22
33,1913,39134,14.33
34,1913,39134,14.33
35,1913,39134,14.33
36,1913,39134,14.33
37,1913,39134,14.33
38,1913,39134,14.33
39,1913,39134,14.33
40,1913,39134,14.33
33,1914,22850,8.29
34,1914,22850,8.29
35,1914,22850,8.29
36,1914,22850,8.29
37,1914,22850,8.29
38,1914,22850,8.29
39,1914,22850,8.29
40,1914,22850,8.29
33,1915,7684,2.76
34,1915,7684,2.76
35,1915,7684,2.76
36,1915,7684,2.76
37,1915,7684,2.76
38,1915,7684,2.76
39,1915,7684,2.76
40,1915,7684,2.76
33,1916,5640,2.01
34,1916,5640,2.01
35,1916,5640,2.01
36,1916,5640,2.01
37,1916,5640,2.01
38,1916,5640,2.01
39,1916,5640,2.01
40,1916,5640,2.01
33,1919,13568,4.71
34,1919,13568,4.71
35,1919,13568,4.71
36,1919,13568,4.71
37,1919,13568,4.71
38,1919,13568,4.71
39,1919,13568,4.71
40,1919,13568,4.71
33,1920,17719,6.09
34,1920,17719,6.09
35,1920,17719,6.09
36,1920,17719,6.09
37,1920,17719,6.09
38,1920,17719,6.09
39,1920,17719,6.09
40,1920,17719,6.09
33,1921,5592,1.91
34,1921,5592,1.91
35,1921,5592,1.91
36,1921,5592,1.91
37,1921,5592,1.91
38,1921,5592,1.91
39,1921,5592,1.91
40,1921,5592,1.91
56,1911,9121,6.96
57,1911,9121,6.96
58,1911,9121,6.96
59,1911,9121,6.96
60,1911,9121,6.96
56,1912,17873,13.45
57,1912,17873,13.45
58,1912,17873,13.45
59,1912,17873,13.45
60,1912,17873,13.45
56,1913,25962,19.27
57,1913,25962,19.27
58,1913,25962,19.27
59,1913,25962,19.27
60,1913,25962,19.27
56,1914,9640,7.05
57,1914,9640,7.05
58,1914,9640,7.05
59,1914,9640,7.05
60,1914,9640,7.05
56,1915,3761,2.71
57,1915,3761,2.71
58,1915,3761,2.71
59,1915,3761,2.71
60,1915,3761,2.71
56,1916,3480,2.48
57,1916,3480,2.48
58,1916,3480,2.48
59,1916,3480,2.48
60,1916,3480,2.48
56,1919,2807,1.92
57,1919,2807,1.92
