compartimento,year,births,deaths_u5,u5mr,source
ABRUZZI E MOLISE,1890,53203,17261,324.44,Raftakis manual
BASILICATA,1890,19427,7999,411.75,Raftakis manual
CALABRIE,1890,48481,15779,325.47,Raftakis manual
CAMPANIA,1890,110701,38839,350.85,Raftakis manual
EMILIA,1890,83327,28508,342.12,Raftakis manual
LAZIO,1890,37183,11732,315.52,Raftakis manual
LIGURIA,1890,30645,7896,257.66,Raftakis manual
LOMBARDIA,1890,137122,47772,348.39,Raftakis manual
MARCHE,1890,36360,11843,325.72,Raftakis manual
PIEMONTE,1890,101622,29375,289.06,Raftakis manual
PUGLIE,1890,71333,27406,384.2,Raftakis manual
SARDEGNA,1890,24241,7464,307.91,Raftakis manual
SICILIA,1890,125772,47830,380.29,Raftakis manual
TOSCANA,1890,79651,24941,313.13,Raftakis manual
UMBRIA,1890,21247,6664,313.64,Raftakis manual
VENETO,1890,102788,27776,270.23,Raftakis manual
ABRUZZI E MOLISE,1895,52862,17606,333.1,Raftakis manual
BASILICATA,1895,19321,7682,397.6,Raftakis manual
CALABRIE,1895,50576,17835,352.6,Raftakis manual
CAMPANIA,1895,112163,38897,346.8,Raftakis manual
EMILIA,1895,84040,26719,317.9,Raftakis manual
LAZIO,1895,36367,10885,299.3,Raftakis manual
LIGURIA,1895,30718,7977,259.7,Raftakis manual
LOMBARDIA,1895,140194,46076,328.7,Raftakis manual
MARCHE,1895,37770,10344,273.9,Raftakis manual
PIEMONTE,1895,100044,27223,272.1,Raftakis manual
PUGLIE,1895,72502,31425,433.4,Raftakis manual
SARDEGNA,1895,24440,7454,305.0,Raftakis manual
SICILIA,1895,119174,49492,415.3,Raftakis manual
TOSCANA,1895,82037,21702,264.5,Raftakis manual
UMBRIA,1895,21867,5830,266.6,Raftakis manual
VENETO,1895,108028,28850,267.1,Raftakis manual
ABRUZZI E MOLISE,1896,50179,18175,362.2,Raftakis manual
BASILICATA,1896,19989,8796,440.0,Raftakis manual
CALABRIE,1896,54744,16899,308.7,Raftakis manual
CAMPANIA,1896,111819,38399,343.4,Raftakis manual
EMILIA,1896,80378,23892,297.2,Raftakis manual
LAZIO,1896,36545,11179,305.9,Raftakis manual
LIGURIA,1896,30236,7749,256.3,Raftakis manual
