COD_PROV,year,u5mr
1,1890,289.06
2,1890,289.06
3,1890,289.06
4,1890,289.06
5,1890,289.06
6,1890,289.06
7,1890,289.06
8,1890,257.66
9,1890,257.66
10,1890,257.66
11,1890,257.66
12,1890,348.39
13,1890,348.39
14,1890,348.39
15,1890,348.39
16,1890,348.39
17,1890,348.39
18,1890,348.39
19,1890,348.39
20,1890,348.39
23,1890,270.23
24,1890,270.23
25,1890,270.23
26,1890,270.23
27,1890,270.23
28,1890,270.23
29,1890,270.23
30,1890,270.23
33,1890,342.12
34,1890,342.12
35,1890,342.12
36,1890,342.12
37,1890,342.12
38,1890,342.12
39,1890,342.12
40,1890,342.12
41,1890,325.72
42,1890,325.72
43,1890,325.72
44,1890,325.72
45,1890,313.13
46,1890,313.13
47,1890,313.13
48,1890,313.13
49,1890,313.13
50,1890,313.13
51,1890,313.13
52,1890,313.13
53,1890,313.13
54,1890,313.64
55,1890,313.64
56,1890,315.52
57,1890,315.52
58,1890,315.52
59,1890,315.52
60,1890,315.52
61,1890,350.85
62,1890,350.85
63,1890,350.85
64,1890,350.85
65,1890,350.85
66,1890,324.44
67,1890,324.44
68,1890,324.44
69,1890,324.44
70,1890,324.44
71,1890,384.2
72,1890,384.2
73,1890,384.2
74,1890,384.2
75,1890,384.2
76,1890,411.75
77,1890,411.75
78,1890,325.47
79,1890,325.47
80,1890,325.47
81,1890,380.29
82,1890,380.29
83,1890,380.29
84,1890,380.29
85,1890,380.29
86,1890,380.29
87,1890,380.29
88,1890,380.29
89,1890,380.29
90,1890,307.91
91,1890,307.91
92,1890,307.91
1,1895,258.67
2,1895,258.67
3,1895,258.67
4,1895,258.67
5,1895,258.67
6,1895,258.67
7,1895,258.67
8,1895,246.86
9,1895,246.86
10,1895,246.86
11,1895,246.86
12,1895,312.43
13,1895,312.43
14,1895,312.43
15,1895,312.43
16,1895,312.43
17,1895,312.43
18,1895,312.43
19,1895,312.43
20,1895,312.43
23,1895,253.87
24,1895,253.87
25,1895,253.87
26,1895,253.87
27,1895,253.87
28,1895,253.87
29,1895,253.87
30,1895,253.87
33,1895,302.23
34,1895,302.23
35,1895,302.23
36,1895,302.23
37,1895,302.23
38,1895,302.23
39,1895,302.23
40,1895,302.23
41,1895,260.34
42,1895,260.34
43,1895,260.34
44,1895,260.34
45,1895,251.48
46,1895,251.48
47,1895,251.48
48,1895,251.48
49,1895,251.48
50,1895,251.48
51,1895,251.48
52,1895,251.48
53,1895,251.48
54,1895,253.45
55,1895,253.45
56,1895,284.53
57,1895,284.53
58,1895,284.53
59,1895,284.53
60,1895,284.53
61,1895,329.67
62,1895,329.67
63,1895,329.67
64,1895,329.67
65,1895,329.67
66,1895,316.61
67,1895,316.61
68,1895,316.61
69,1895,316.61
70,1895,316.61
71,1895,412.03
72,1895,412.03
73,1895,412.03
74,1895,412.03
75,1895,412.03
76,1895,377.96
77,1895,377.96
78,1895,335.23
79,1895,335.23
80,1895,335.23
81,1895,394.79
82,1895,394.79
83,1895,394.79
84,1895,394.79
85,1895,394.79
86,1895,394.79
87,1895,394.79
88,1895,394.79
89,1895,394.79
90,1895,289.93
91,1895,289.93
92,1895,289.93
1,1896,238.1
2,1896,238.1
3,1896,238.1
4,1896,238.1
5,1896,238.1
6,1896,238.1
7,1896,238.1
8,1896,246.71
9,1896,246.71
10,1896,246.71
11,1896,246.71
12,1896,266.09
13,1896,266.09
14,1896,266.09
15,1896,266.09
16,1896,266.09
17,1896,266.09
18,1896,266.09
19,1896,266.09
20,1896,266.09
23,1896,233.8
24,1896,233.8
25,1896,233.8
26,1896,233.8
27,1896,233.8
28,1896,233.8
29,1896,233.8
30,1896,233.8
33,1896,286.15
34,1896,286.15
35,1896,286.15
36,1896,286.15
37,1896,286.15
38,1896,286.15
39,1896,286.15
40,1896,286.15
41,1896,300.94
42,1896,300.94
43,1896,300.94
44,1896,300.94
45,1896,262.21
46,1896,262.21
47,1896,262.21
48,1896,262.21
49,1896,262.21
50,1896,262.21
51,1896,262.21
52,1896,262.21
53,1896,262.21
54,1896,292.74
55,1896,292.74
56,1896,294.47
57,1896,294.47
58,1896,294.47
59,1896,294.47
60,1896,294.47
61,1896,330.58
62,1896,330.58
63,1896,330.58
64,1896,330.58
65,1896,330.58
66,1896,348.68
67,1896,348.68
68,1896,348.68
69,1896,348.68
70,1896,348.68
71,1896,377.1
72,1896,377.1
73,1896,377.1
74,1896,377.1
75,1896,377.1
76,1896,423.62
77,1896,423.62
78,1896,297.17
79,1896,297.17
80,1896,297.17
81,1896,345.17
82,1896,345.17
83,1896,345.17
84,1896,345.17
85,1896,345.17
86,1896,345.17
87,1896,345.17
88,1896,345.17
89,1896,345.17
90,1896,245.84
91,1896,245.84
92,1896,245.84
1,1897,227.55
2,1897,227.55
3,1897,227.55
4,1897,227.55
5,1897,227.55
6,1897,227.55
7,1897,227.55
8,1897,230.58
9,1897,230.58
10,1897,230.58
11,1897,230.58
12,1897,262.67
13,1897,262.67
14,1897,262.67
15,1897,262.67
16,1897,262.67
17,1897,262.67
18,1897,262.67
19,1897,262.67
20,1897,262.67
23,1897,211.33
24,1897,211.33
25,1897,211.33
26,1897,211.33
27,1897,211.33
28,1897,211.33
29,1897,211.33
30,1897,211.33
33,1897,255.86
34,1897,255.86
35,1897,255.86
36,1897,255.86
37,1897,255.86
38,1897,255.86
39,1897,255.86
40,1897,255.86
41,1897,264.37
42,1897,264.37
43,1897,264.37
44,1897,264.37
45,1897,242.26
46,1897,242.26
47,1897,242.26
48,1897,242.26
49,1897,242.26
50,1897,242.26
51,1897,242.26
52,1897,242.26
53,1897,242.26
54,1897,253.45
55,1897,253.45
56,1897,254.27
57,1897,254.27
58,1897,254.27
59,1897,254.27
60,1897,254.27
61,1897,292.44
62,1897,292.44
63,1897,292.44
64,1897,292.44
65,1897,292.44
66,1897,325.39
67,1897,325.39
68,1897,325.39
69,1897,325.39
70,1897,325.39
71,1897,341.11
72,1897,341.11
73,1897,341.11
74,1897,341.11
75,1897,341.11
76,1897,324.81
77,1897,324.81
78,1897,266.98
79,1897,266.98
80,1897,266.98
81,1897,291.83
82,1897,291.83
83,1897,291.83
84,1897,291.83
85,1897,291.83
86,1897,291.83
87,1897,291.83
88,1897,291.83
89,1897,291.83
90,1897,269.27
91,1897,269.27
92,1897,269.27
1,1898,244.78
2,1898,244.78
3,1898,244.78
4,1898,244.78
5,1898,244.78
6,1898,244.78
7,1898,244.78
8,1898,224.09
9,1898,224.09
10,1898,224.09
11,1898,224.09
12,1898,302.18
13,1898,302.18
14,1898,302.18
15,1898,302.18
16,1898,302.18
17,1898,302.18
18,1898,302.18
19,1898,302.18
20,1898,302.18
23,1898,225.38
24,1898,225.38
25,1898,225.38
26,1898,225.38
27,1898,225.38
28,1898,225.38
29,1898,225.38
30,1898,225.38
33,1898,309.06
34,1898,309.06
35,1898,309.06
36,1898,309.06
37,1898,309.06
38,1898,309.06
39,1898,309.06
40,1898,309.06
41,1898,297.95
42,1898,297.95
43,1898,297.95
44,1898,297.95
45,1898,265.69
46,1898,265.69
47,1898,265.69
48,1898,265.69
49,1898,265.69
50,1898,265.69
51,1898,265.69
52,1898,265.69
53,1898,265.69
54,1898,291.41
55,1898,291.41
56,1898,272.12
57,1898,272.12
58,1898,272.12
59,1898,272.12
60,1898,272.12
61,1898,293.77
62,1898,293.77
63,1898,293.77
64,1898,293.77
65,1898,293.77
66,1898,330.66
67,1898,330.66
68,1898,330.66
69,1898,330.66
70,1898,330.66
71,1898,381.87
72,1898,381.87
73,1898,381.87
74,1898,381.87
75,1898,381.87
76,1898,344.54
77,1898,344.54
78,1898,281.23
79,1898,281.23
80,1898,281.23
81,1898,336.45
82,1898,336.45
83,1898,336.45
84,1898,336.45
85,1898,336.45
86,1898,336.45
87,1898,336.45
88,1898,336.45
89,1898,336.45
90,1898,288.86
91,1898,288.86
92,1898,288.86
1,1899,217.2
2,1899,217.2
3,1899,217.2
4,1899,217.2
5,1899,217.2
6,1899,217.2
7,1899,217.2
8,1899,217.62
9,1899,217.62
10,1899,217.62
11,1899,217.62
12,1899,258.02
13,1899,258.02
14,1899,258.02
15,1899,258.02
16,1899,258.02
17,1899,258.02
18,1899,258.02
19,1899,258.02
20,1899,258.02
23,1899,221.49
24,1899,221.49
25,1899,221.49
26,1899,221.49
27,1899,221.49
28,1899,221.49
29,1899,221.49
30,1899,221.49
33,1899,251.37
34,1899,251.37
35,1899,251.37
36,1899,251.37
37,1899,251.37
38,1899,251.37
39,1899,251.37
40,1899,251.37
41,1899,254.1
42,1899,254.1
43,1899,254.1
44,1899,254.1
45,1899,233.78
46,1899,233.78
47,1899,233.78
48,1899,233.78
49,1899,233.78
50,1899,233.78
51,1899,233.78
52,1899,233.78
53,1899,233.78
54,1899,232.14
55,1899,232.14
56,1899,248.89
57,1899,248.89
58,1899,248.89
59,1899,248.89
60,1899,248.89
61,1899,278.76
62,1899,278.76
63,1899,278.76
64,1899,278.76
65,1899,278.76
66,1899,301.12
67,1899,301.12
68,1899,301.12
69,1899,301.12
70,1899,301.12
71,1899,334.78
72,1899,334.78
73,1899,334.78
74,1899,334.78
75,1899,334.78
76,1899,283.47
77,1899,283.47
78,1899,264.79
79,1899,264.79
80,1899,264.79
81,1899,335.66
82,1899,335.66
83,1899,335.66
84,1899,335.66
85,1899,335.66
86,1899,335.66
87,1899,335.66
88,1899,335.66
89,1899,335.66
90,1899,322.71
91,1899,322.71
92,1899,322.71
1,1900,261.91
2,1900,261.91
3,1900,261.91
4,1900,261.91
5,1900,261.91
6,1900,261.91
7,1900,261.91
8,1900,248.52
9,1900,248.52
10,1900,248.52
11,1900,248.52
12,1900,282.99
13,1900,282.99
14,1900,282.99
15,1900,282.99
16,1900,282.99
17,1900,282.99
18,1900,282.99
19,1900,282.99
20,1900,282.99
23,1900,230.08
24,1900,230.08
25,1900,230.08
26,1900,230.08
27,1900,230.08
28,1900,230.08
29,1900,230.08
30,1900,230.08
33,1900,287.39
34,1900,287.39
35,1900,287.39
36,1900,287.39
37,1900,287.39
38,1900,287.39
39,1900,287.39
40,1900,287.39
41,1900,306.12
42,1900,306.12
43,1900,306.12
44,1900,306.12
45,1900,255.4
46,1900,255.4
47,1900,255.4
48,1900,255.4
49,1900,255.4
50,1900,255.4
51,1900,255.4
52,1900,255.4
53,1900,255.4
54,1900,280.56
55,1900,280.56
56,1900,317.65
57,1900,317.65
58,1900,317.65
59,1900,317.65
60,1900,317.65
61,1900,313.17
62,1900,313.17
63,1900,313.17
64,1900,313.17
65,1900,313.17
66,1900,293.87
67,1900,293.87
68,1900,293.87
69,1900,293.87
70,1900,293.87
71,1900,343.97
72,1900,343.97
73,1900,343.97
74,1900,343.97
75,1900,343.97
76,1900,371.92
77,1900,371.92
78,1900,336.8
79,1900,336.8
80,1900,336.8
81,1900,380.97
82,1900,380.97
83,1900,380.97
84,1900,380.97
85,1900,380.97
86,1900,380.97
87,1900,380.97
88,1900,380.97
89,1900,380.97
90,1900,315.51
91,1900,315.51
92,1900,315.51
1,1901,211.05
2,1901,211.05
3,1901,211.05
4,1901,211.05
5,1901,211.05
6,1901,211.05
7,1901,211.05
8,1901,222.09
9,1901,222.09
10,1901,222.09
11,1901,222.09
12,1901,285.72
13,1901,285.72
14,1901,285.72
15,1901,285.72
16,1901,285.72
17,1901,285.72
18,1901,285.72
19,1901,285.72
20,1901,285.72
23,1901,219.75
24,1901,219.75
25,1901,219.75
26,1901,219.75
27,1901,219.75
28,1901,219.75
29,1901,219.75
30,1901,219.75
33,1901,255.49
34,1901,255.49
35,1901,255.49
36,1901,255.49
37,1901,255.49
38,1901,255.49
39,1901,255.49
40,1901,255.49
41,1901,248.32
42,1901,248.32
43,1901,248.32
44,1901,248.32
45,1901,231.72
46,1901,231.72
47,1901,231.72
48,1901,231.72
49,1901,231.72
50,1901,231.72
51,1901,231.72
52,1901,231.72
53,1901,231.72
54,1901,288.98
55,1901,288.98
56,1901,271.1
57,1901,271.1
58,1901,271.1
59,1901,271.1
60,1901,271.1
61,1901,317.8
62,1901,317.8
63,1901,317.8
64,1901,317.8
65,1901,317.8
66,1901,294.82
67,1901,294.82
68,1901,294.82
69,1901,294.82
70,1901,294.82
71,1901,380.07
72,1901,380.07
73,1901,380.07
74,1901,380.07
75,1901,380.07
76,1901,326.8
77,1901,326.8
78,1901,294.53
79,1901,294.53
80,1901,294.53
81,1901,326.43
82,1901,326.43
83,1901,326.43
84,1901,326.43
85,1901,326.43
86,1901,326.43
87,1901,326.43
88,1901,326.43
89,1901,326.43
90,1901,247.44
91,1901,247.44
92,1901,247.44
1,1902,236.01
2,1902,236.01
3,1902,236.01
4,1902,236.01
5,1902,236.01
6,1902,236.01
7,1902,236.01
8,1902,244.57
9,1902,244.57
10,1902,244.57
11,1902,244.57
12,1902,282.85
13,1902,282.85
14,1902,282.85
15,1902,282.85
16,1902,282.85
17,1902,282.85
18,1902,282.85
19,1902,282.85
20,1902,282.85
23,1902,217.2
24,1902,217.2
25,1902,217.2
26,1902,217.2
27,1902,217.2
28,1902,217.2
29,1902,217.2
30,1902,217.2
33,1902,271.94
34,1902,271.94
35,1902,271.94
36,1902,271.94
37,1902,271.94
38,1902,271.94
39,1902,271.94
40,1902,271.94
41,1902,278.52
42,1902,278.52
43,1902,278.52
44,1902,278.52
45,1902,259.21
46,1902,259.21
47,1902,259.21
48,1902,259.21
49,1902,259.21
50,1902,259.21
51,1902,259.21
52,1902,259.21
53,1902,259.21
54,1902,244.0
55,1902,244.0
56,1902,335.77
57,1902,335.77
58,1902,335.77
59,1902,335.77
60,1902,335.77
61,1902,305.53
62,1902,305.53
63,1902,305.53
64,1902,305.53
65,1902,305.53
66,1902,312.72
67,1902,312.72
68,1902,312.72
69,1902,312.72
70,1902,312.72
71,1902,396.82
72,1902,396.82
73,1902,396.82
74,1902,396.82
75,1902,396.82
76,1902,398.97
77,1902,398.97
78,1902,311.46
79,1902,311.46
80,1902,311.46
81,1902,348.56
82,1902,348.56
83,1902,348.56
84,1902,348.56
85,1902,348.56
86,1902,348.56
87,1902,348.56
88,1902,348.56
89,1902,348.56
90,1902,240.21
91,1902,240.21
92,1902,240.21
1,1903,234.15
2,1903,234.15
3,1903,234.15
4,1903,234.15
5,1903,234.15
6,1903,234.15
7,1903,234.15
8,1903,207.59
9,1903,207.59
10,1903,207.59
11,1903,207.59
12,1903,276.14
13,1903,276.14
14,1903,276.14
