COD_PROV,year,sex,age_group,deaths
1,1868,F,0,388
1,1868,F,1_4,1019
1,1868,F,85plus,10724
1,1868,M,0,519
1,1868,M,1_4,934
1,1868,M,85plus,10353
1,1868,T,0,907
1,1868,T,1_4,1953
1,1868,T,85plus,21067
1,1869,F,0,532
1,1869,F,1_4,886
1,1869,F,85plus,9668
1,1869,M,0,585
1,1869,M,1_4,878
1,1869,M,85plus,9345
1,1869,T,0,1117
1,1869,T,1_4,1764
1,1869,T,85plus,19013
1,1870,F,0,486
1,1870,F,1_4,1178
1,1870,F,85plus,10694
1,1870,M,0,599
1,1870,M,1_4,1147
1,1870,M,85plus,10442
1,1870,T,0,1085
1,1870,T,1_4,2325
1,1870,T,85plus,21136
1,1871,F,0,468
1,1871,F,15_19,5807
1,1871,F,1_4,836
1,1871,F,5_9,4921
1,1871,F,85plus,10210
1,1871,M,0,590
1,1871,M,15_19,6427
1,1871,M,1_4,901
1,1871,M,5_9,5607
1,1871,M,85plus,10000
1,1871,T,0,1058
1,1871,T,15_19,12234
1,1871,T,1_4,1737
1,1871,T,5_9,10528
1,1871,T,85plus,20130
1,1872,F,0,464
1,1872,F,15_19,5828
1,1872,F,1_4,916
1,1872,F,5_9,5467
1,1872,F,85plus,9611
1,1872,M,0,578
1,1872,M,15_19,6494
1,1872,M,1_4,1026
1,1872,M,5_9,6240
1,1872,M,85plus,9458
1,1872,T,0,1042
1,1872,T,15_19,12322
1,1872,T,1_4,1942
1,1872,T,5_9,11707
1,1872,T,85plus,19055
1,1873,F,0,456
1,1873,F,15_19,6428
1,1873,F,1_4,1213
1,1873,F,5_9,6073
1,1873,F,85plus,10233
1,1873,M,0,562
1,1873,M,15_19,6816
1,1873,M,1_4,1238
1,1873,M,5_9,6577
1,1873,M,85plus,9923
1,1873,T,0,1018
1,1873,T,15_19,13244
1,1873,T,1_4,2431
1,1873,T,5_9,12650
1,1873,T,85plus,20156
1,1874,F,0,423
1,1874,F,15_19,5104
1,1874,F,1_4,840
1,1874,F,5_9,4825
1,1874,F,85plus,9302
1,1874,M,0,508
1,1874,M,15_19,5575
1,1874,M,1_4,788
1,1874,M,5_9,5345
1,1874,M,85plus,8919
1,1874,T,0,931
1,1874,T,15_19,10679
1,1874,T,1_4,1628
1,1874,T,5_9,10170
1,1874,T,85plus,18221
