COD_PROV,year,e0_T,e0_M,e0_F
1,1871,34.29,34.06,34.55
3,1871,34.29,34.06,34.55
4,1871,34.29,34.06,34.55
6,1871,34.29,34.06,34.55
8,1871,35.93,35.37,36.52
10,1871,35.93,35.37,36.52
13,1871,32.96,32.88,33.09
14,1871,32.96,32.88,33.09
15,1871,32.96,32.88,33.09
16,1871,32.96,32.88,33.09
17,1871,32.96,32.88,33.09
18,1871,32.96,32.88,33.09
19,1871,32.96,32.88,33.09
20,1871,32.96,32.88,33.09
23,1871,33.68,33.28,34.13
24,1871,33.68,33.28,34.13
25,1871,33.68,33.28,34.13
26,1871,33.68,33.28,34.13
27,1871,33.68,33.28,34.13
28,1871,33.68,33.28,34.13
29,1871,33.68,33.28,34.13
30,1871,33.68,33.28,34.13
33,1871,30.23,30.0,30.49
34,1871,30.23,30.0,30.49
35,1871,30.23,30.0,30.49
36,1871,30.23,30.0,30.49
37,1871,30.23,30.0,30.49
38,1871,30.23,30.0,30.49
39,1871,30.23,30.0,30.49
40,1871,30.23,30.0,30.49
41,1871,33.57,33.45,33.67
42,1871,33.57,33.45,33.67
43,1871,33.57,33.45,33.67
44,1871,33.57,33.45,33.67
45,1871,32.39,32.39,32.39
46,1871,32.39,32.39,32.39
48,1871,32.39,32.39,32.39
49,1871,32.39,32.39,32.39
50,1871,32.39,32.39,32.39
51,1871,32.39,32.39,32.39
52,1871,32.39,32.39,32.39
53,1871,32.39,32.39,32.39
54,1871,37.29,37.56,37.03
58,1871,24.81,23.87,25.97
61,1871,25.77,24.63,26.99
62,1871,25.77,24.63,26.99
63,1871,25.77,24.63,26.99
64,1871,25.77,24.63,26.99
65,1871,25.77,24.63,26.99
66,1871,27.52,27.04,27.96
67,1871,27.52,27.04,27.96
69,1871,27.52,27.04,27.96
70,1871,27.52,27.04,27.96
71,1871,24.17,23.05,25.38
72,1871,24.17,23.05,25.38
75,1871,24.17,23.05,25.38
76,1871,24.09,23.04,25.24
78,1871,33.93,32.06,35.88
79,1871,33.93,32.06,35.88
79,1871,33.93,32.06,35.88
80,1871,33.93,32.06,35.88
81,1871,33.02,31.03,35.18
82,1871,33.02,31.03,35.18
83,1871,33.02,31.03,35.18
84,1871,33.02,31.03,35.18
85,1871,33.02,31.03,35.18
87,1871,33.02,31.03,35.18
89,1871,33.02,31.03,35.18
90,1871,26.01,25.08,27.07
92,1871,26.01,25.08,27.07
1,1881,36.66,36.57,36.95
3,1881,36.66,36.57,36.95
4,1881,36.66,36.57,36.95
6,1881,36.66,36.57,36.95
8,1881,36.63,36.3,36.82
10,1881,36.63,36.3,36.82
13,1881,35.06,35.4,34.81
14,1881,35.06,35.4,34.81
15,1881,35.06,35.4,34.81
16,1881,35.06,35.4,34.81
17,1881,35.06,35.4,34.81
18,1881,35.06,35.4,34.81
19,1881,35.06,35.4,34.81
20,1881,35.06,35.4,34.81
23,1881,38.11,37.95,38.45
24,1881,38.11,37.95,38.45
25,1881,38.11,37.95,38.45
26,1881,38.11,37.95,38.45
27,1881,38.11,37.95,38.45
28,1881,38.11,37.95,38.45
29,1881,38.11,37.95,38.45
30,1881,38.11,37.95,38.45
33,1881,34.16,34.46,34.17
34,1881,34.16,34.46,34.17
35,1881,34.16,34.46,34.17
36,1881,34.16,34.46,34.17
37,1881,34.16,34.46,34.17
38,1881,34.16,34.46,34.17
39,1881,34.16,34.46,34.17
40,1881,34.16,34.46,34.17
41,1881,35.05,35.09,35.03
42,1881,35.05,35.09,35.03
43,1881,35.05,35.09,35.03
44,1881,35.05,35.09,35.03
45,1881,35.33,35.49,35.17
46,1881,35.33,35.49,35.17
48,1881,35.33,35.49,35.17
49,1881,35.33,35.49,35.17
50,1881,35.33,35.49,35.17
51,1881,35.33,35.49,35.17
52,1881,35.33,35.49,35.17
53,1881,35.33,35.49,35.17
54,1881,35.96,36.27,35.65
58,1881,28.48,27.46,29.65
61,1881,30.58,29.89,31.29
62,1881,30.58,29.89,31.29
63,1881,30.58,29.89,31.29
64,1881,30.58,29.89,31.29
65,1881,30.58,29.89,31.29
66,1881,33.48,32.88,33.92
67,1881,33.48,32.88,33.92
69,1881,33.48,32.88,33.92
70,1881,33.48,32.88,33.92
71,1881,30.68,30.45,31.4
72,1881,30.68,30.45,31.4
75,1881,30.68,30.45,31.4
76,1881,28.69,27.87,29.37
78,1881,30.36,29.84,30.86
79,1881,30.36,29.84,30.86
80,1881,30.36,29.84,30.86
81,1881,32.54,32.33,32.99
82,1881,32.54,32.33,32.99
83,1881,32.54,32.33,32.99
84,1881,32.54,32.33,32.99
85,1881,32.54,32.33,32.99
87,1881,32.54,32.33,32.99
89,1881,32.54,32.33,32.99
90,1881,35.57,35.1,36.41
92,1881,35.57,35.1,36.41
1,1901,47.06,46.69,47.48
3,1901,47.06,46.69,47.48
4,1901,47.06,46.69,47.48
6,1901,47.06,46.69,47.48
8,1901,46.64,45.71,47.61
10,1901,46.64,45.71,47.61
13,1901,40.86,40.89,40.87
14,1901,40.86,40.89,40.87
15,1901,40.86,40.89,40.87
16,1901,40.86,40.89,40.87
17,1901,40.86,40.89,40.87
18,1901,40.86,40.89,40.87
19,1901,40.86,40.89,40.87
20,1901,40.86,40.89,40.87
23,1901,47.33,46.82,47.87
24,1901,47.33,46.82,47.87
25,1901,47.33,46.82,47.87
26,1901,47.33,46.82,47.87
27,1901,47.33,46.82,47.87
28,1901,47.33,46.82,47.87
29,1901,47.33,46.82,47.87
30,1901,47.33,46.82,47.87
33,1901,44.5,44.36,44.68
34,1901,44.5,44.36,44.68
35,1901,44.5,44.36,44.68
36,1901,44.5,44.36,44.68
37,1901,44.5,44.36,44.68
38,1901,44.5,44.36,44.68
39,1901,44.5,44.36,44.68
40,1901,44.5,44.36,44.68
41,1901,46.76,46.79,46.71
42,1901,46.76,46.79,46.71
43,1901,46.76,46.79,46.71
44,1901,46.76,46.79,46.71
45,1901,46.42,46.12,46.75
46,1901,46.42,46.12,46.75
48,1901,46.42,46.12,46.75
49,1901,46.42,46.12,46.75
50,1901,46.42,46.12,46.75
51,1901,46.42,46.12,46.75
52,1901,46.42,46.12,46.75
53,1901,46.42,46.12,46.75
54,1901,44.94,46.15,43.71
58,1901,43.36,42.88,43.87
61,1901,41.59,40.98,42.18
62,1901,41.59,40.98,42.18
63,1901,41.59,40.98,42.18
64,1901,41.59,40.98,42.18
65,1901,41.59,40.98,42.18
66,1901,44.65,45.0,44.3
67,1901,44.65,45.0,44.3
69,1901,44.65,45.0,44.3
70,1901,44.65,45.0,44.3
71,1901,37.86,36.99,38.78
72,1901,37.86,36.99,38.78
75,1901,37.86,36.99,38.78
76,1901,40.58,39.42,41.62
78,1901,42.91,42.8,42.91
79,1901,42.91,42.8,42.91
80,1901,42.91,42.8,42.91
81,1901,40.97,41.03,40.89
82,1901,40.97,41.03,40.89
83,1901,40.97,41.03,40.89
84,1901,40.97,41.03,40.89
85,1901,40.97,41.03,40.89
87,1901,40.97,41.03,40.89
89,1901,40.97,41.03,40.89
90,1901,42.48,42.16,42.82
92,1901,42.48,42.16,42.82
1,1911,48.25,47.77,48.77
3,1911,48.25,47.77,48.77
4,1911,48.25,47.77,48.77
6,1911,48.25,47.77,48.77
8,1911,46.9,46.71,47.09
10,1911,46.9,46.71,47.09
13,1911,42.6,42.04,43.21
14,1911,42.6,42.04,43.21
15,1911,42.6,42.04,43.21
16,1911,42.6,42.04,43.21
17,1911,42.6,42.04,43.21
18,1911,42.6,42.04,43.21
19,1911,42.6,42.04,43.21
20,1911,42.6,42.04,43.21
23,1911,48.0,47.14,48.87
24,1911,48.0,47.14,48.87
25,1911,48.0,47.14,48.87
26,1911,48.0,47.14,48.87
27,1911,48.0,47.14,48.87
28,1911,48.0,47.14,48.87
29,1911,48.0,47.14,48.87
30,1911,48.0,47.14,48.87
33,1911,47.98,47.5,48.51
34,1911,47.98,47.5,48.51
35,1911,47.98,47.5,48.51
36,1911,47.98,47.5,48.51
37,1911,47.98,47.5,48.51
38,1911,47.98,47.5,48.51
39,1911,47.98,47.5,48.51
40,1911,47.98,47.5,48.51
41,1911,49.1,48.83,49.35
42,1911,49.1,48.83,49.35
43,1911,49.1,48.83,49.35
44,1911,49.1,48.83,49.35
45,1911,48.47,48.39,48.58
46,1911,48.47,48.39,48.58
48,1911,48.47,48.39,48.58
49,1911,48.47,48.39,48.58
50,1911,48.47,48.39,48.58
51,1911,48.47,48.39,48.58
52,1911,48.47,48.39,48.58
53,1911,48.47,48.39,48.58
54,1911,49.17,49.43,48.91
58,1911,45.13,44.29,45.96
61,1911,39.07,38.54,39.58
62,1911,39.07,38.54,39.58
63,1911,39.07,38.54,39.58
64,1911,39.07,38.54,39.58
65,1911,39.07,38.54,39.58
66,1911,45.8,45.85,45.69
67,1911,45.8,45.85,45.69
69,1911,45.8,45.85,45.69
70,1911,45.8,45.85,45.69
71,1911,40.46,40.61,40.34
72,1911,40.46,40.61,40.34
75,1911,40.46,40.61,40.34
76,1911,42.28,42.6,42.03
78,1911,44.57,44.85,44.23
79,1911,44.57,44.85,44.23
80,1911,44.57,44.85,44.23
81,1911,39.83,40.58,39.09
82,1911,39.83,40.58,39.09
83,1911,39.83,40.58,39.09
84,1911,39.83,40.58,39.09
85,1911,39.83,40.58,39.09
87,1911,39.83,40.58,39.09
89,1911,39.83,40.58,39.09
90,1911,43.56,43.6,43.6
92,1911,43.56,43.6,43.6
1,1921,51.75,50.35,53.22
3,1921,51.75,50.35,53.22
4,1921,51.75,50.35,53.22
6,1921,51.75,50.35,53.22
8,1921,52.94,51.58,54.36
10,1921,52.94,51.58,54.36
13,1921,46.83,46.0,47.71
14,1921,46.83,46.0,47.71
15,1921,46.83,46.0,47.71
16,1921,46.83,46.0,47.71
17,1921,46.83,46.0,47.71
18,1921,46.83,46.0,47.71
19,1921,46.83,46.0,47.71
20,1921,46.83,46.0,47.71
23,1921,50.7,49.21,52.26
24,1921,50.7,49.21,52.26
25,1921,50.7,49.21,52.26
26,1921,50.7,49.21,52.26
27,1921,50.7,49.21,52.26
28,1921,50.7,49.21,52.26
29,1921,50.7,49.21,52.26
30,1921,50.7,49.21,52.26
33,1921,50.9,49.63,52.27
