COD_PROV,DEN_PROV,year,imr
1,Torino,1868,208.3
1,Torino,1869,152.1
1,Torino,1870,241.4
1,Torino,1871,205.2
1,Torino,1872,201.5
1,Torino,1873,205.5
1,Torino,1874,187.7
1,Torino,1875,183.6
1,Torino,1876,185.2
1,Torino,1877,191.7
1,Torino,1878,190.3
1,Torino,1879,185.8
1,Torino,1880,179.6
1,Torino,1881,233.5
1,Torino,1931,91.0
1,Torino,1936,68.0
2,Vercelli,1931,75.0
2,Vercelli,1936,72.0
3,Novara,1867,206.9
3,Novara,1868,210.5
3,Novara,1869,210.4
3,Novara,1872,198.5
3,Novara,1873,203.0
3,Novara,1874,199.7
3,Novara,1875,191.1
3,Novara,1876,210.1
3,Novara,1877,181.6
3,Novara,1878,185.6
3,Novara,1879,196.6
3,Novara,1880,202.9
3,Novara,1881,187.1
3,Novara,1931,97.0
3,Novara,1936,70.0
4,Cuneo,1867,233.1
4,Cuneo,1868,232.8
4,Cuneo,1869,213.0
4,Cuneo,1870,220.0
4,Cuneo,1871,225.1
4,Cuneo,1872,211.3
4,Cuneo,1873,211.2
4,Cuneo,1874,201.3
4,Cuneo,1875,196.2
4,Cuneo,1876,205.2
4,Cuneo,1877,229.3
4,Cuneo,1878,175.0
4,Cuneo,1879,201.7
4,Cuneo,1880,190.4
4,Cuneo,1881,177.5
4,Cuneo,1931,111.0
4,Cuneo,1936,89.0
6,Alessandria,1870,212.6
6,Alessandria,1871,201.1
6,Alessandria,1872,204.0
6,Alessandria,1873,193.7
6,Alessandria,1874,202.5
6,Alessandria,1875,186.4
6,Alessandria,1876,191.3
6,Alessandria,1877,188.4
6,Alessandria,1878,318.8
6,Alessandria,1879,188.0
6,Alessandria,1880,197.2
6,Alessandria,1881,168.6
6,Alessandria,1931,75.0
6,Alessandria,1936,58.0
7,Aosta,1931,108.0
7,Aosta,1936,92.0
8,Porto Maurizio,1868,239.6
8,Porto Maurizio,1869,223.2
8,Porto Maurizio,1870,127.7
8,Porto Maurizio,1871,149.3
8,Porto Maurizio,1875,195.8
8,Porto Maurizio,1876,214.4
8,Porto Maurizio,1877,437.4
8,Porto Maurizio,1878,267.6
8,Porto Maurizio,1880,211.3
8,Porto Maurizio,1881,204.2
8,Imperia,1931,78.0
8,Imperia,1936,66.0
9,Savona,1931,67.0
