COD_PROV,DEN_PROV,sex,age_group,age_lo,ax,mx,qx,lx,dx,Lx,Tx,ex
6,Alessandria,T,0,0,0.3058,0.225379,0.194888,100000.0,19488.8,86471.1,3768072.5,37.68
6,Alessandria,T,1_4,1,1.5,0.049981,0.177718,80511.2,14308.3,286274.0,3681601.4,45.73
6,Alessandria,T,5_9,5,2.5,0.009401,0.045927,66202.9,3040.5,323413.1,3395327.4,51.29
6,Alessandria,T,10_14,10,2.5,0.00531,0.0262,63162.4,1654.9,311674.6,3071914.3,48.64
6,Alessandria,T,15_19,15,2.5,0.006143,0.03025,61507.5,1860.6,302886.0,2760239.7,44.88
6,Alessandria,T,20_24,20,2.5,0.009045,0.044223,59646.9,2637.8,291640.1,2457353.6,41.2
6,Alessandria,T,25_29,25,2.5,0.009017,0.044091,57009.1,2513.6,278761.7,2165713.5,37.99
6,Alessandria,T,30_34,30,2.5,0.00819,0.040128,54495.5,2186.8,267010.7,1886951.8,34.63
6,Alessandria,T,35_39,35,2.5,0.009035,0.044177,52308.7,2310.9,255766.4,1619941.1,30.97
6,Alessandria,T,40_44,40,2.5,0.00933,0.045587,49997.9,2279.2,244291.2,1364174.7,27.28
6,Alessandria,T,45_49,45,2.5,0.011951,0.058023,47718.6,2768.8,231671.1,1119883.5,23.47
6,Alessandria,T,50_54,50,2.5,0.015725,0.075653,44949.8,3400.6,216247.7,888212.3,19.76
6,Alessandria,T,55_59,55,2.5,0.022549,0.106726,41549.3,4434.4,196660.3,671964.6,16.17
6,Alessandria,T,60_64,60,2.5,0.034095,0.157087,37114.9,5830.3,170998.6,475304.3,12.81
6,Alessandria,T,65_69,65,2.5,0.060752,0.26371,31284.6,8250.0,135797.8,304305.7,9.73
6,Alessandria,T,70_74,70,2.5,0.097553,0.392132,23034.5,9032.6,92591.3,168507.9,7.32
6,Alessandria,T,75_79,75,2.5,0.155025,0.558624,14002.0,7821.8,50455.2,75916.6,5.42
6,Alessandria,T,80_84,80,2.5,0.218555,0.706663,6180.1,4367.3,19982.5,25461.4,4.12
6,Alessandria,T,85plus,85,3.0222,0.330882,1.0,1812.9,1812.9,5478.9,5478.9,3.02
6,Alessandria,M,0,0,0.2992,0.245069,0.209146,100000.0,20914.6,85342.0,3795866.7,37.96
6,Alessandria,M,1_4,1,1.5,0.050164,0.178295,79085.4,14100.5,281090.2,3710524.7,46.92
6,Alessandria,M,5_9,5,2.5,0.009196,0.044944,64984.9,2920.7,317622.5,3429434.5,52.77
6,Alessandria,M,10_14,10,2.5,0.004876,0.024088,62064.1,1495.0,306583.3,3111812.0,50.14
6,Alessandria,M,15_19,15,2.5,0.005263,0.025975,60569.2,1573.3,298912.6,2805228.7,46.31
6,Alessandria,M,20_24,20,2.5,0.008583,0.042012,58995.9,2478.5,288783.1,2506316.1,42.48
6,Alessandria,M,25_29,25,2.5,0.006986,0.034332,56517.4,1940.3,277736.0,2217533.0,39.24
6,Alessandria,M,30_34,30,2.5,0.006052,0.029809,54577.0,1626.9,268818.0,1939797.0,35.54
6,Alessandria,M,35_39,35,2.5,0.00723,0.03551,52950.2,1880.2,260050.3,1670979.0,31.56
6,Alessandria,M,40_44,40,2.5,0.008454,0.041397,51069.9,2114.1,250064.3,1410928.7,27.63
6,Alessandria,M,45_49,45,2.5,0.011837,0.057486,48955.8,2814.3,237743.4,1160864.4,23.71
6,Alessandria,M,50_54,50,2.5,0.016046,0.077135,46141.5,3559.2,221809.9,923121.0,20.01
6,Alessandria,M,55_59,55,2.5,0.022299,0.105608,42582.4,4497.0,201669.4,701311.2,16.47
6,Alessandria,M,60_64,60,2.5,0.031783,0.147217,38085.4,5606.8,176409.8,499641.7,13.12
6,Alessandria,M,65_69,65,2.5,0.057037,0.249595,32478.6,8106.5,142126.5,323231.9,9.95
