compartimento,year,sex,age_group,age_lo,ax,mx,qx,lx,dx,Lx,Tx,ex
ABRUZZI E MOLISE,1901,T,0,0,0.3064,0.180467,0.16039,100000.0,16039.0,88874.9,4465048.9,44.65
ABRUZZI E MOLISE,1901,T,1_4,1,1.5,0.042092,0.152337,83961.0,12790.4,303868.1,4376174.0,52.12
ABRUZZI E MOLISE,1901,T,5_9,5,2.5,0.005256,0.025938,71170.6,1846.0,351238.0,4072305.9,57.22
ABRUZZI E MOLISE,1901,T,10_14,10,2.5,0.003413,0.016919,69324.6,1172.9,343690.7,3721068.0,53.68
ABRUZZI E MOLISE,1901,T,15_19,15,2.5,0.004317,0.021352,68151.7,1455.2,337120.5,3377377.3,49.56
ABRUZZI E MOLISE,1901,T,20_24,20,2.5,0.005638,0.027799,66696.5,1854.1,328847.3,3040256.7,45.58
ABRUZZI E MOLISE,1901,T,25_29,25,2.5,0.006266,0.030845,64842.4,2000.0,319212.0,2711409.4,41.82
ABRUZZI E MOLISE,1901,T,30_34,30,2.5,0.006217,0.030607,62842.4,1923.4,309403.3,2392197.4,38.07
ABRUZZI E MOLISE,1901,T,35_39,35,2.5,0.006554,0.032241,60919.0,1964.1,299684.6,2082794.1,34.19
ABRUZZI E MOLISE,1901,T,40_44,40,2.5,0.007328,0.035983,58954.9,2121.4,289471.1,1783109.5,30.25
ABRUZZI E MOLISE,1901,T,45_49,45,2.5,0.00838,0.041043,56833.5,2332.6,278336.2,1493638.4,26.28
ABRUZZI E MOLISE,1901,T,50_54,50,2.5,0.010719,0.052195,54500.9,2844.7,265393.0,1215302.2,22.3
ABRUZZI E MOLISE,1901,T,55_59,55,2.5,0.014813,0.071419,51656.3,3689.2,249058.2,949909.2,18.39
ABRUZZI E MOLISE,1901,T,60_64,60,2.5,0.025394,0.119391,47967.0,5726.8,225518.0,700851.0,14.61
ABRUZZI E MOLISE,1901,T,65_69,65,2.5,0.041189,0.18672,42240.2,7887.1,191483.2,475333.0,11.25
ABRUZZI E MOLISE,1901,T,70_74,70,2.5,0.077153,0.323389,34353.1,11109.4,143992.0,283849.8,8.26
ABRUZZI E MOLISE,1901,T,75_79,75,2.5,0.120462,0.462903,23243.7,10759.6,89319.5,139857.9,6.02
ABRUZZI E MOLISE,1901,T,80_84,80,2.5,0.223754,0.717443,12484.1,8956.6,40029.0,50538.4,4.05
ABRUZZI E MOLISE,1901,T,85plus,85,2.9793,0.335648,1.0,3527.5,3527.5,10509.4,10509.4,2.98
ABRUZZI E MOLISE,1901,M,0,0,0.2992,0.181744,0.16121,100000.0,16121.0,88701.6,4499908.4,45.0
ABRUZZI E MOLISE,1901,M,1_4,1,1.5,0.040687,0.147724,83879.0,12390.9,304538.9,4411206.7,52.59
ABRUZZI E MOLISE,1901,M,5_9,5,2.5,0.00483,0.023863,71488.1,1705.9,353175.7,4106667.9,57.45
ABRUZZI E MOLISE,1901,M,10_14,10,2.5,0.003488,0.01729,69782.2,1206.5,345894.6,3753492.1,53.79
ABRUZZI E MOLISE,1901,M,15_19,15,2.5,0.004381,0.021668,68575.7,1485.9,339163.6,3407597.5,49.69
ABRUZZI E MOLISE,1901,M,20_24,20,2.5,0.005953,0.029329,67089.8,1967.7,330529.6,3068434.0,45.74
ABRUZZI E MOLISE,1901,M,25_29,25,2.5,0.006106,0.03007,65122.1,1958.2,320714.9,2737904.3,42.04
ABRUZZI E MOLISE,1901,M,30_34,30,2.5,0.005884,0.028995,63163.9,1831.4,311240.7,2417189.5,38.27
ABRUZZI E MOLISE,1901,M,35_39,35,2.5,0.006221,0.03063,61332.4,1878.6,301965.6,2105948.8,34.34
ABRUZZI E MOLISE,1901,M,40_44,40,2.5,0.006847,0.03366,59453.8,2001.2,292266.2,1803983.1,30.34
ABRUZZI E MOLISE,1901,M,45_49,45,2.5,0.009404,0.045941,57452.6,2639.4,280664.6,1511717.0,26.31
ABRUZZI E MOLISE,1901,M,50_54,50,2.5,0.011363,0.055247,54813.2,3028.2,266495.4,1231052.4,22.46
ABRUZZI E MOLISE,1901,M,55_59,55,2.5,0.015391,0.074105,51785.0,3837.5,249331.0,964557.0,18.63
ABRUZZI E MOLISE,1901,M,60_64,60,2.5,0.026053,0.122298,47947.4,5863.9,225077.4,715226.0,14.92
ABRUZZI E MOLISE,1901,M,65_69,65,2.5,0.038499,0.175595,42083.5,7389.7,191943.5,490148.7,11.65
ABRUZZI E MOLISE,1901,M,70_74,70,2.5,0.069604,0.296437,34693.9,10284.5,147757.9,298205.2,8.6
ABRUZZI E MOLISE,1901,M,75_79,75,2.5,0.115715,0.448756,24409.3,10953.8,94662.0,150447.3,6.16
ABRUZZI E MOLISE,1901,M,80_84,80,2.5,0.21603,0.701363,13455.5,9437.2,43684.5,55785.3,4.15
ABRUZZI E MOLISE,1901,M,85plus,85,3.0114,0.332071,1.0,4018.3,4018.3,12100.8,12100.8,3.01
ABRUZZI E MOLISE,1901,F,0,0,0.3141,0.179118,0.15952,100000.0,15952.0,89058.7,4430067.9,44.3
ABRUZZI E MOLISE,1901,F,1_4,1,1.5,0.043557,0.15712,84048.0,13205.6,303177.9,4341009.2,51.65
ABRUZZI E MOLISE,1901,F,5_9,5,2.5,0.005706,0.028126,70842.4,1992.5,349230.4,4037831.3,57.0
ABRUZZI E MOLISE,1901,F,10_14,10,2.5,0.003336,0.016543,68849.8,1139.0,341401.5,3688600.9,53.57
ABRUZZI E MOLISE,1901,F,15_19,15,2.5,0.004259,0.021071,67710.8,1426.7,334987.2,3347199.4,49.43
ABRUZZI E MOLISE,1901,F,20_24,20,2.5,0.005394,0.026611,66284.1,1763.9,327010.8,3012212.2,45.44
ABRUZZI E MOLISE,1901,F,25_29,25,2.5,0.006389,0.031443,64520.2,2028.7,317529.4,2685201.4,41.62
ABRUZZI E MOLISE,1901,F,30_34,30,2.5,0.00648,0.031883,62491.5,1992.4,307476.6,2367672.0,37.89
ABRUZZI E MOLISE,1901,F,35_39,35,2.5,0.006825,0.033553,60499.1,2029.9,297420.9,2060195.4,34.05
ABRUZZI E MOLISE,1901,F,40_44,40,2.5,0.007728,0.037906,58469.2,2216.3,286805.3,1762774.5,30.15
ABRUZZI E MOLISE,1901,F,45_49,45,2.5,0.007482,0.036721,56252.9,2065.7,276100.3,1475969.3,26.24
ABRUZZI E MOLISE,1901,F,50_54,50,2.5,0.010147,0.049478,54187.2,2681.1,264233.5,1199868.9,22.14
ABRUZZI E MOLISE,1901,F,55_59,55,2.5,0.014293,0.068999,51506.2,3553.9,248646.1,935635.5,18.17
ABRUZZI E MOLISE,1901,F,60_64,60,2.5,0.024799,0.116756,47952.3,5598.7,225764.7,686989.3,14.33
ABRUZZI E MOLISE,1901,F,65_69,65,2.5,0.043683,0.196913,42353.6,8340.0,190918.0,461224.6,10.89
ABRUZZI E MOLISE,1901,F,70_74,70,2.5,0.084545,0.348966,34013.6,11869.6,140394.1,270306.6,7.95
ABRUZZI E MOLISE,1901,F,75_79,75,2.5,0.125524,0.477711,22144.0,10578.4,84274.0,129912.5,5.87
ABRUZZI E MOLISE,1901,F,80_84,80,2.5,0.232135,0.734448,11565.6,8494.3,36592.1,45638.6,3.95
ABRUZZI E MOLISE,1901,F,85plus,85,2.9455,0.339497,1.0,3071.3,3071.3,9046.5,9046.5,2.95
BASILICATA,1901,T,0,0,0.3062,0.186959,0.165494,100000.0,16549.4,88518.6,4057901.5,40.58
BASILICATA,1901,T,1_4,1,1.5,0.048455,0.172879,83450.6,14426.9,297735.3,3969382.9,47.57
BASILICATA,1901,T,5_9,5,2.5,0.00834,0.040848,69023.7,2819.5,338070.0,3671647.6,53.19
BASILICATA,1901,T,10_14,10,2.5,0.004327,0.021402,66204.3,1416.9,327479.1,3333577.6,50.35
BASILICATA,1901,T,15_19,15,2.5,0.004065,0.02012,64787.4,1303.5,320678.0,3006098.5,46.4
BASILICATA,1901,T,20_24,20,2.5,0.007082,0.034792,63483.8,2208.8,311897.3,2685420.5,42.3
BASILICATA,1901,T,25_29,25,2.5,0.006613,0.032527,61275.1,1993.1,301392.6,2373523.2,38.74
BASILICATA,1901,T,30_34,30,2.5,0.008901,0.043538,59282.0,2581.0,289957.2,2072130.6,34.95
BASILICATA,1901,T,35_39,35,2.5,0.008856,0.043321,56700.9,2456.3,277363.8,1782173.4,31.43
BASILICATA,1901,T,40_44,40,2.5,0.010695,0.052084,54244.6,2825.3,264159.7,1504809.6,27.74
BASILICATA,1901,T,45_49,45,2.5,0.012844,0.062221,51419.3,3199.4,249098.1,1240649.9,24.13
BASILICATA,1901,T,50_54,50,2.5,0.013425,0.064944,48219.9,3131.6,233270.7,991551.8,20.56
BASILICATA,1901,T,55_59,55,2.5,0.020578,0.097857,45088.3,4412.2,214411.1,758281.1,16.82
BASILICATA,1901,T,60_64,60,2.5,0.034002,0.156692,40676.1,6373.6,187446.5,543870.0,13.37
BASILICATA,1901,T,65_69,65,2.5,0.050479,0.224114,34302.5,7687.7,152293.3,356423.5,10.39
BASILICATA,1901,T,70_74,70,2.5,0.090605,0.369361,26614.8,9830.5,108497.9,204130.3,7.67
BASILICATA,1901,T,75_79,75,2.5,0.140833,0.5208,16784.3,8741.3,62068.5,95632.4,5.7
BASILICATA,1901,T,80_84,80,2.5,0.229107,0.728356,8043.1,5858.2,25569.7,33563.9,4.17
BASILICATA,1901,T,85plus,85,3.6589,0.273306,1.0,2184.8,2184.8,7994.1,7994.1,3.66
BASILICATA,1901,M,0,0,0.2992,0.194641,0.171277,100000.0,17127.7,87996.1,3941728.5,39.42
BASILICATA,1901,M,1_4,1,1.5,0.048474,0.172937,82872.3,14331.7,295660.0,3853732.4,46.5
BASILICATA,1901,M,5_9,5,2.5,0.007619,0.037382,68540.6,2562.2,336297.6,3558072.4,51.91
BASILICATA,1901,M,10_14,10,2.5,0.004585,0.022663,65978.4,1495.3,326153.9,3221774.8,48.83
BASILICATA,1901,M,15_19,15,2.5,0.00468,0.023129,64483.1,1491.4,318687.1,2895620.9,44.91
BASILICATA,1901,M,20_24,20,2.5,0.007602,0.037302,62991.7,2349.7,309084.3,2576933.8,40.91
BASILICATA,1901,M,25_29,25,2.5,0.00807,0.03955,60642.0,2398.4,297214.0,2267849.5,37.4
BASILICATA,1901,M,30_34,30,2.5,0.009749,0.047585,58243.6,2771.5,284289.2,1970635.5,33.83
BASILICATA,1901,M,35_39,35,2.5,0.010638,0.05181,55472.1,2874.0,270175.3,1686346.3,30.4
BASILICATA,1901,M,40_44,40,2.5,0.012277,0.059558,52598.0,3132.6,255158.6,1416171.0,26.92
BASILICATA,1901,M,45_49,45,2.5,0.016627,0.079819,49465.4,3948.3,237456.3,1161012.4,23.47
BASILICATA,1901,M,50_54,50,2.5,0.016294,0.078282,45517.1,3563.2,218677.6,923556.1,20.29
BASILICATA,1901,M,55_59,55,2.5,0.024329,0.114669,41953.9,4810.8,197742.7,704878.5,16.8
BASILICATA,1901,M,60_64,60,2.5,0.035233,0.161904,37143.1,6013.6,170681.6,507135.8,13.65
BASILICATA,1901,M,65_69,65,2.5,0.051519,0.228205,31129.5,7103.9,137887.8,336454.2,10.81
BASILICATA,1901,M,70_74,70,2.5,0.077472,0.32451,24025.6,7796.6,100636.6,198566.5,8.26
BASILICATA,1901,M,75_79,75,2.5,0.12802,0.484906,16229.1,7869.6,61471.3,97929.8,6.03
BASILICATA,1901,M,80_84,80,2.5,0.205265,0.678264,8359.5,5669.9,27622.6,36458.5,4.36
BASILICATA,1901,M,85plus,85,3.2853,0.304387,1.0,2689.5,2689.5,8835.9,8835.9,3.29
BASILICATA,1901,F,0,0,0.3141,0.179104,0.159509,100000.0,15950.9,89059.4,4162464.9,41.62
BASILICATA,1901,F,1_4,1,1.5,0.048436,0.172817,84049.1,14525.1,299883.5,4073405.5,48.46
BASILICATA,1901,F,5_9,5,2.5,0.009093,0.044452,69524.0,3090.5,339893.6,3773521.9,54.28
BASILICATA,1901,F,10_14,10,2.5,0.004068,0.020133,66433.5,1337.5,328823.6,3433628.3,51.69
BASILICATA,1901,F,15_19,15,2.5,0.003514,0.017415,65096.0,1133.6,322645.7,3104804.7,47.7
BASILICATA,1901,F,20_24,20,2.5,0.006631,0.032616,63962.3,2086.2,314596.2,2782159.0,43.5
BASILICATA,1901,F,25_29,25,2.5,0.005388,0.02658,61876.1,1644.7,305269.0,2467562.8,39.88
BASILICATA,1901,F,30_34,30,2.5,0.0082,0.040179,60231.5,2420.0,295107.3,2162293.8,35.9
BASILICATA,1901,F,35_39,35,2.5,0.007416,0.036404,57811.5,2104.6,283795.8,1867186.5,32.3
BASILICATA,1901,F,40_44,40,2.5,0.009453,0.046174,55706.9,2572.2,272103.9,1583390.7,28.42
BASILICATA,1901,F,45_49,45,2.5,0.009786,0.047761,53134.7,2537.8,259329.0,1311286.8,24.68
BASILICATA,1901,F,50_54,50,2.5,0.011131,0.054148,50596.9,2739.7,246135.3,1051957.8,20.79
BASILICATA,1901,F,55_59,55,2.5,0.017573,0.084169,47857.2,4028.1,229215.8,805822.5,16.84
BASILICATA,1901,F,60_64,60,2.5,0.033078,0.152757,43829.1,6695.2,202407.5,576606.7,13.16
BASILICATA,1901,F,65_69,65,2.5,0.04965,0.22084,37133.9,8200.6,165167.9,374199.2,10.08
BASILICATA,1901,F,70_74,70,2.5,0.101178,0.403762,28933.3,11682.2,115460.9,209031.4,7.22
