compartimento,year,deaths,cdr
ABRUZZI E MOLISE,1871,33674,35.75
ABRUZZI E MOLISE,1881,28511,29.57
ABRUZZI E MOLISE,1901,23109,21.26
ABRUZZI E MOLISE,1911,22837,22.4
ABRUZZI E MOLISE,1931,14179,14.59
BASILICATA,1871,10741,21.04
BASILICATA,1881,8161,15.56
BASILICATA,1901,12774,24.97
BASILICATA,1911,11585,24.66
BASILICATA,1931,6053,17.26
CALABRIE,1871,23942,27.97
CALABRIE,1881,25532,28.84
CALABRIE,1901,20947,21.71
CALABRIE,1911,21233,22.43
CALABRIE,1931,18128,16.22
CAMPANIA,1871,92765,33.68
CAMPANIA,1881,92083,31.79
CAMPANIA,1901,75766,24.46
CAMPANIA,1911,88438,26.85
CAMPANIA,1931,53193,15.27
EMILIA,1871,54957,29.32
EMILIA,1881,48775,25.16
EMILIA,1901,45428,20.55
EMILIA,1911,45898,19.37
EMILIA,1931,57033,19.91
LAZIO,1881,30012,33.26
LAZIO,1901,24740,21.37
LAZIO,1911,26059,19.9
LAZIO,1931,18150,11.52
LIGURIA,1871,18454,25.8
LIGURIA,1881,19064,25.08
LIGURIA,1901,17973,19.78
LIGURIA,1911,19658,18.75
LIGURIA,1931,11484,13.82
LOMBARDIA,1871,100887,29.18
LOMBARDIA,1881,99002,27.81
LOMBARDIA,1901,100609,23.71
LOMBARDIA,1911,106612,22.28
LOMBARDIA,1931,112302,21.6
MARCHE,1871,25149,27.47
MARCHE,1881,25180,26.81
MARCHE,1901,21706,20.13
MARCHE,1911,21660,19.83
MARCHE,1931,15071,12.38
PIEMONTE,1871,79861,27.55
PIEMONTE,1881,77353,25.2
PIEMONTE,1901,64666,20.16
PIEMONTE,1911,63308,18.56
PIEMONTE,1931,46748,16.05
PUGLIE,1871,30964,38.05
PUGLIE,1881,24141,26.54
PUGLIE,1901,31829,27.68
PUGLIE,1911,28285,22.87
PUGLIE,1931,15876,16.0
SARDEGNA,1871,15948,25.05
SARDEGNA,1881,13179,19.33
SARDEGNA,1901,16963,21.7
SARDEGNA,1911,18207,21.41
SARDEGNA,1931,10579,13.82
SICILIA,1871,62183,27.27
SICILIA,1881,67362,25.77
SICILIA,1901,71326,22.78
SICILIA,1911,74651,22.99
SICILIA,1931,39797,13.13
TOSCANA,1871,54839,27.71
TOSCANA,1881,48364,23.72
TOSCANA,1901,47322,19.43
TOSCANA,1911,47003,18.94
TOSCANA,1931,45980,18.4
UMBRIA,1871,13322,24.24
UMBRIA,1881,15011,26.24
UMBRIA,1901,14095,21.13
UMBRIA,1911,13258,19.39
UMBRIA,1931,6292,12.22
VENETO,1871,50797,19.23
VENETO,1881,50266,17.86
VENETO,1901,62170,19.86
VENETO,1911,68931,19.55
VENETO,1931,100271,24.32
