COD_PROV,year,deaths,cdr
66,1871,42901,33.64
67,1871,42901,33.64
68,1871,42901,33.64
69,1871,42901,33.64
70,1871,42901,33.64
76,1871,10741,21.04
77,1871,10741,21.04
78,1871,32359,26.75
79,1871,32359,26.75
80,1871,32359,26.75
61,1871,92765,33.68
62,1871,92765,33.68
63,1871,92765,33.68
64,1871,92765,33.68
65,1871,92765,33.68
33,1871,61543,29.1
34,1871,61543,29.1
35,1871,61543,29.1
36,1871,61543,29.1
37,1871,61543,29.1
38,1871,61543,29.1
39,1871,61543,29.1
40,1871,61543,29.1
8,1871,20259,24.05
9,1871,20259,24.05
10,1871,20259,24.05
11,1871,20259,24.05
12,1871,100887,29.18
13,1871,100887,29.18
14,1871,100887,29.18
15,1871,100887,29.18
16,1871,100887,29.18
17,1871,100887,29.18
18,1871,100887,29.18
19,1871,100887,29.18
20,1871,100887,29.18
41,1871,25149,27.47
42,1871,25149,27.47
43,1871,25149,27.47
44,1871,25149,27.47
1,1871,79861,27.55
2,1871,79861,27.55
3,1871,79861,27.55
4,1871,79861,27.55
5,1871,79861,27.55
6,1871,79861,27.55
7,1871,79861,27.55
71,1871,51951,36.56
72,1871,51951,36.56
73,1871,51951,36.56
74,1871,51951,36.56
75,1871,51951,36.56
90,1871,15948,25.05
91,1871,15948,25.05
92,1871,15948,25.05
81,1871,69930,27.09
82,1871,69930,27.09
83,1871,69930,27.09
84,1871,69930,27.09
85,1871,69930,27.09
86,1871,69930,27.09
87,1871,69930,27.09
88,1871,69930,27.09
89,1871,69930,27.09
45,1871,59873,27.97
46,1871,59873,27.97
47,1871,59873,27.97
48,1871,59873,27.97
49,1871,59873,27.97
50,1871,59873,27.97
51,1871,59873,27.97
52,1871,59873,27.97
53,1871,59873,27.97
54,1871,13322,24.24
55,1871,13322,24.24
23,1871,50797,19.23
24,1871,50797,19.23
25,1871,50797,19.23
26,1871,50797,19.23
27,1871,50797,19.23
28,1871,50797,19.23
29,1871,50797,19.23
30,1871,50797,19.23
66,1881,39175,29.74
67,1881,39175,29.74
68,1881,39175,29.74
69,1881,39175,29.74
70,1881,39175,29.74
76,1881,8161,15.56
77,1881,8161,15.56
78,1881,35530,28.25
79,1881,35530,28.25
80,1881,35530,28.25
61,1881,92083,31.79
62,1881,92083,31.79
63,1881,92083,31.79
64,1881,92083,31.79
65,1881,92083,31.79
