COD_PROV,DEN_PROV,year,deaths,cdr,imr,e0
6,Alessandria,1871,18105,26.49,201.1,
42,Ancona,1871,7766,29.59,,
51,Arezzo,1871,6588,28.08,,
44,Ascoli Piceno,1871,5737,28.26,,
64,Avellino,1871,12929,34.28,,
25,Belluno,1871,4533,25.87,,
62,Benevento,1871,7628,32.88,,
16,Bergamo,1871,10904,29.65,227.9,
37,Bologna,1871,12350,28.12,245.6,
17,Brescia,1871,13013,28.57,198.9,
92,Cagliari,1871,7524,19.13,,
85,Caltanissetta,1871,6866,29.84,,
70,Campobasso,1871,14196,39.88,,
61,Caserta,1871,21268,30.49,,
87,Catania,1871,14755,29.78,,
79,Catanzaro,1871,11860,28.77,,
69,Chieti,1871,13033,38.34,287.5,
13,Como,1871,12164,25.47,209.1,
78,Cosenza,1871,12082,27.22,,
19,Cremona,1871,8914,29.65,229.6,
4,Cuneo,1871,17554,28.41,225.1,
38,Ferrara,1871,8423,39.11,318.1,
48,Firenze,1871,24875,32.47,,
71,Foggia,1871,13473,41.75,,
40,Forlì,1871,7872,33.48,,
10,Genova,1871,18454,25.8,,
53,Grosseto,1871,3446,32.26,,
75,Lecce,1871,17491,35.62,,
49,Livorno,1871,3143,26.58,,
46,Lucca,1871,7406,26.38,203.0,
43,Macerata,1871,5687,24.0,259.0,
20,Mantova,1871,8116,28.18,208.9,
83,Messina,1871,9478,23.31,,
15,Milano,1871,31893,31.61,,
36,Modena,1871,7982,29.17,,
63,Napoli,1871,32964,36.36,,
3,Novara,1871,17728,28.37,,
28,Padova,1871,11317,31.05,275.6,
82,Palermo,1871,16157,26.16,189.7,
34,Parma,1871,7884,29.82,250.4,
18,Pavia,1871,12735,28.41,219.1,
41,Pesaro e Urbino,1871,5959,27.97,229.2,
33,Piacenza,1871,6885,30.49,174.8,
50,Pisa,1871,3495,13.14,113.8,
76,Potenza,1871,10741,21.04,,
39,Ravenna,1871,3561,16.11,311.2,
29,Rovigo,1871,6974,34.76,319.0,
65,Salerno,1871,17976,33.21,,
90,Sassari,1871,8424,34.61,218.0,
52,Siena,1871,5886,28.52,,
89,Siracusa,1871,8375,28.5,,
14,Sondrio,1871,3148,28.52,,
67,Teramo,1871,6445,26.21,186.0,
1,Torino,1871,26474,27.21,205.2,
81,Trapani,1871,6552,27.72,188.8,
26,Treviso,1871,5022,14.26,236.4,
30,Udine,1871,6482,13.47,202.7,
54,Umbria,1871,13322,24.24,,
27,Venezia,1871,5630,16.68,,
23,Verona,1871,5416,14.74,,
24,Vicenza,1871,5423,14.95,,
6,Alessandria,1881,18054,24.74,168.6,37.68
42,Ancona,1881,7559,28.28,201.6,33.15
51,Arezzo,1881,6335,26.54,160.0,34.05
44,Ascoli Piceno,1881,5283,25.26,180.7,38.12
64,Avellino,1881,13590,34.61,219.8,29.47
25,Belluno,1881,4427,25.42,197.6,40.02
62,Benevento,1881,7882,33.06,198.3,30.72
16,Bergamo,1881,10786,27.6,198.1,35.14
37,Bologna,1881,11913,26.04,187.9,34.59
17,Brescia,1881,12737,27.01,125.3,34.92
92,Cagliari,1881,6165,14.66,190.0,35.74
85,Caltanissetta,1881,8791,33.0,237.6,28.53
70,Campobasso,1881,12854,35.18,206.6,29.73
61,Caserta,1881,23816,33.35,198.6,29.2
87,Catania,1881,16592,29.45,233.8,30.94
79,Catanzaro,1881,12677,29.21,199.5,29.3
69,Chieti,1881,9669,28.11,191.7,34.29
13,Como,1881,13525,26.26,195.6,36.86
78,Cosenza,1881,12855,28.49,193.5,30.42
19,Cremona,1881,8167,27.04,198.3,36.21
4,Cuneo,1881,15488,24.38,177.5,38.11
38,Ferrara,1881,7358,31.88,240.7,28.53
48,Firenze,1881,20500,25.93,170.6,34.32
71,Foggia,1881,11293,31.7,201.2,28.97
40,Forlì,1881,6708,26.72,223.8,32.19
10,Genova,1881,19064,25.08,164.5,36.51
53,Grosseto,1881,3086,27.0,178.1,31.93
75,Lecce,1881,12848,23.22,166.6,31.93
49,Livorno,1881,2900,23.85,143.0,37.6
46,Lucca,1881,7109,24.99,165.5,36.53
43,Macerata,1881,6030,25.16,182.9,37.25
20,Mantova,1881,7120,24.08,155.4,38.86
83,Messina,1881,11534,25.04,188.9,34.31
15,Milano,1881,32452,29.11,207.9,33.0
36,Modena,1881,7723,27.66,225.0,33.19
63,Napoli,1881,31367,31.33,199.1,30.89
3,Novara,1881,17201,25.45,187.1,36.17
28,Padova,1881,10256,25.78,222.9,36.2
82,Palermo,1881,19022,27.22,186.5,34.11
34,Parma,1881,6630,24.8,167.1,37.42
18,Pavia,1881,12608,26.84,184.7,35.87
41,Pesaro e Urbino,1881,6308,28.28,245.6,32.48
33,Piacenza,1881,5752,25.37,187.3,37.01
50,Pisa,1881,3415,12.04,146.9,38.36
76,Potenza,1881,8161,15.56,204.4,28.69
39,Ravenna,1881,2691,11.92,211.9,36.93
58,Roma,1881,30012,33.26,195.0,28.48
29,Rovigo,1881,6224,28.59,243.8,33.64
65,Salerno,1881,15428,28.04,211.1,32.91
90,Sassari,1881,7014,26.86,156.2,35.54
52,Siena,1881,5019,24.37,168.0,35.62
89,Siracusa,1881,11154,32.66,246.8,30.09
14,Sondrio,1881,1607,,370.0,
67,Teramo,1881,5988,23.5,155.5,38.02
1,Torino,1881,26610,25.86,233.5,35.36
81,Trapani,1881,7338,25.84,196.7,36.28
26,Treviso,1881,4632,12.33,174.1,40.03
30,Udine,1881,6106,12.17,155.5,39.22
54,Umbria,1881,15011,26.24,194.5,35.96
27,Venezia,1881,4540,12.73,176.1,35.0
23,Verona,1881,8762,22.24,172.6,41.64
24,Vicenza,1881,5319,13.42,203.2,38.84
6,Alessandria,1901,15000,19.06,,
42,Ancona,1901,6193,19.44,,
51,Arezzo,1901,5896,19.03,,
44,Ascoli Piceno,1901,4676,19.09,,
64,Avellino,1901,9172,23.05,,
25,Belluno,1901,3947,19.88,,
62,Benevento,1901,5714,19.7,,
16,Bergamo,1901,12735,27.07,,
37,Bologna,1901,10336,20.16,,
17,Brescia,1901,13134,25.2,,
92,Cagliari,1901,10650,22.46,,
85,Caltanissetta,1901,8684,26.41,,
70,Campobasso,1901,9451,25.24,,
61,Caserta,1901,17359,23.01,,
87,Catania,1901,16039,23.44,,
79,Catanzaro,1901,11434,22.95,,
69,Chieti,1901,7920,19.72,,
13,Como,1901,13017,23.09,,
78,Cosenza,1901,9513,20.38,,
19,Cremona,1901,7896,23.47,,
4,Cuneo,1901,13045,21.14,,
38,Ferrara,1901,5904,20.72,,
48,Firenze,1901,18822,20.84,,
71,Foggia,1901,13188,31.8,,
40,Forlì,1901,6066,21.62,,
10,Genova,1901,17973,19.78,,
53,Grosseto,1901,2958,16.61,,
75,Lecce,1901,18641,25.35,,
49,Livorno,1901,2605,17.55,,
46,Lucca,1901,6328,18.85,,
43,Macerata,1901,5240,20.1,,
20,Mantova,1901,6366,19.84,,
83,Messina,1901,10997,19.47,,
15,Milano,1901,35000,25.31,,
36,Modena,1901,7412,22.82,,
63,Napoli,1901,30312,27.38,,
3,Novara,1901,14598,20.3,,
28,Padova,1901,8629,19.22,,
82,Palermo,1901,17267,22.61,,
34,Parma,1901,6493,20.61,,
18,Pavia,1901,9787,19.52,,
41,Pesaro e Urbino,1901,5597,22.05,,
33,Piacenza,1901,5041,19.8,,
50,Pisa,1901,5889,18.07,,
76,Potenza,1901,12774,24.97,,
39,Ravenna,1901,4176,17.54,,
58,Roma,1901,24740,21.37,,
29,Rovigo,1901,4758,21.08,,
65,Salerno,1901,13209,24.11,,
90,Sassari,1901,6313,20.52,,
52,Siena,1901,4824,20.59,,
89,Siracusa,1901,10727,25.09,,
14,Sondrio,1901,2674,18.3,,
67,Teramo,1901,5738,18.47,,
1,Torino,1901,22023,20.3,,
81,Trapani,1901,7612,21.05,,
26,Treviso,1901,7751,18.71,,
30,Udine,1901,11486,19.64,,
54,Umbria,1901,14095,21.13,,
27,Venezia,1901,8381,21.02,,
23,Verona,1901,8165,19.79,,
24,Vicenza,1901,9053,20.26,,
6,Alessandria,1911,14531,18.23,,
42,Ancona,1911,6260,19.58,,
51,Arezzo,1911,5821,20.54,,
44,Ascoli Piceno,1911,4684,18.48,,
64,Avellino,1911,8708,22.1,,
25,Belluno,1911,3975,20.63,,
62,Benevento,1911,5424,21.46,,
16,Bergamo,1911,14250,27.87,,
37,Bologna,1911,10733,18.58,,
17,Brescia,1911,13635,22.98,,
92,Cagliari,1911,11294,21.76,,
85,Caltanissetta,1911,8441,24.94,,
70,Campobasso,1911,8774,25.27,,
61,Caserta,1911,21529,27.31,,
87,Catania,1911,17126,21.87,,
79,Catanzaro,1911,10971,22.81,,
69,Chieti,1911,8078,22.14,,
13,Como,1911,13337,21.65,,
78,Cosenza,1911,10262,22.04,,
19,Cremona,1911,7383,21.17,,
4,Cuneo,1911,13269,20.53,,
38,Ferrara,1911,6032,19.6,,
48,Firenze,1911,19029,19.05,,
71,Foggia,1911,11076,23.75,,
40,Forlì,1911,6403,21.24,,
10,Genova,1911,19658,18.75,,
53,Grosseto,1911,2679,18.27,,
75,Lecce,1911,17209,22.33,,
49,Livorno,1911,3103,22.88,,
46,Lucca,1911,6014,18.06,,
43,Macerata,1911,4907,19.03,,
20,Mantova,1911,7250,20.77,,
83,Messina,1911,9970,19.42,,
15,Milano,1911,38584,22.36,,
36,Modena,1911,7647,21.67,,
63,Napoli,1911,37125,28.51,,
3,Novara,1911,12978,17.17,,
28,Padova,1911,10148,19.55,,
82,Palermo,1911,21850,27.52,,
34,Parma,1911,5761,17.68,,
18,Pavia,1911,9254,18.09,,
41,Pesaro e Urbino,1911,5809,22.24,,
33,Piacenza,1911,5070,19.85,,
50,Pisa,1911,5732,16.76,,
76,Potenza,1911,11585,24.66,,
39,Ravenna,1911,4252,17.13,,
58,Roma,1911,26059,19.9,,
29,Rovigo,1911,5322,20.65,,
65,Salerno,1911,15652,28.14,,
90,Sassari,1911,6913,20.86,,
52,Siena,1911,4625,19.15,,
89,Siracusa,1911,10550,22.52,,
14,Sondrio,1911,2919,22.5,,
67,Teramo,1911,5985,19.47,,
1,Torino,1911,22530,18.59,,
81,Trapani,1911,6714,19.19,,
26,Treviso,1911,8604,17.52,,
30,Udine,1911,13041,20.79,,
54,Umbria,1911,13258,19.39,,
27,Venezia,1911,9723,20.84,,
23,Verona,1911,8714,18.36,,
24,Vicenza,1911,9404,18.95,,
6,Alessandria,1921,,14.41,90.5,54.42
42,Ancona,1921,,16.83,113.6,50.64
51,Arezzo,1921,,17.55,122.6,49.93
44,Ascoli Piceno,1921,,18.15,131.3,49.79
64,Avellino,1921,,19.38,125.8,48.74
25,Belluno,1921,,19.05,123.5,47.1
62,Benevento,1921,,18.37,122.2,48.93
16,Bergamo,1921,,24.16,,
37,Bologna,1921,,14.9,102.3,53.48
17,Brescia,1921,,20.59,163.8,42.71
92,Cagliari,1921,,19.8,128.5,44.07
85,Caltanissetta,1921,,19.55,190.0,41.92
70,Campobasso,1921,,21.91,159.6,44.22
61,Caserta,1921,,18.65,117.0,48.34
87,Catania,1921,,16.71,166.8,47.48
79,Catanzaro,1921,,20.76,136.1,44.93
69,Chieti,1921,,18.82,134.4,49.98
13,Como,1921,,17.45,153.0,47.44
78,Cosenza,1921,,19.11,123.5,47.64
19,Cremona,1921,,17.28,135.9,49.47
4,Cuneo,1921,,16.99,130.1,49.74
38,Ferrara,1921,,17.18,140.5,49.41
48,Firenze,1921,,14.87,,
71,Foggia,1921,,20.63,160.1,43.18
40,Forlì,1921,,18.93,149.3,47.3
10,Genova,1921,,14.28,91.4,52.97
53,Grosseto,1921,,15.01,108.4,51.5
75,Lecce,1921,,19.39,,
49,Livorno,1921,,17.16,107.0,50.06
46,Lucca,1921,,14.47,74.1,56.76
43,Macerata,1921,,17.43,,
20,Mantova,1921,,15.55,114.4,51.84
83,Messina,1921,,15.79,129.0,51.63
15,Milano,1921,,15.39,136.9,48.92
36,Modena,1921,,17.0,130.2,50.05
63,Napoli,1921,,17.84,114.5,47.71
3,Novara,1921,,14.88,94.4,54.11
28,Padova,1921,,15.74,124.1,50.87
82,Palermo,1921,,18.51,126.3,47.67
34,Parma,1921,,15.19,117.7,50.79
18,Pavia,1921,,13.86,92.8,55.63
41,Pesaro e Urbino,1921,,18.85,,
33,Piacenza,1921,,15.43,122.2,52.28
50,Pisa,1921,,14.36,79.1,55.24
76,Potenza,1921,,23.13,160.9,41.87
39,Ravenna,1921,,15.87,116.3,53.61
58,Roma,1921,,16.47,99.2,48.53
29,Rovigo,1921,,18.43,,
65,Salerno,1921,,19.5,129.3,47.95
90,Sassari,1921,,19.42,,
52,Siena,1921,,17.85,,
89,Siracusa,1921,,15.41,161.8,47.96
14,Sondrio,1921,,20.48,143.1,44.33
67,Teramo,1921,,17.2,121.6,52.33
1,Torino,1921,,16.34,121.7,49.93
81,Trapani,1921,,15.22,,
26,Treviso,1921,,13.7,103.4,53.83
30,Udine,1921,,16.22,122.2,50.97
54,Umbria,1921,,17.6,,
27,Venezia,1921,,16.55,134.3,49.75
23,Verona,1921,,15.03,107.6,53.04
24,Vicenza,1921,,16.4,118.3,49.93
6,Alessandria,1931,11079,14.66,75.0,
42,Ancona,1931,4150,11.63,80.0,
51,Arezzo,1931,7272,24.15,75.0,
44,Ascoli Piceno,1931,3716,12.87,77.0,
64,Avellino,1931,7104,16.89,129.0,
25,Belluno,1931,4592,21.84,87.0,
62,Benevento,1931,5193,15.69,127.0,
16,Bergamo,1931,18246,31.2,194.0,
37,Bologna,1931,11664,17.08,82.0,
17,Brescia,1931,19447,27.37,147.0,
92,Cagliari,1931,6744,14.17,122.0,
85,Caltanissetta,1931,4092,16.67,162.0,
70,Campobasso,1931,5656,14.99,164.0,
87,Catania,1931,9257,13.51,155.0,
79,Catanzaro,1931,9424,16.47,130.0,
69,Chieti,1931,5150,14.0,116.0,
13,Como,1931,9974,20.47,145.0,
78,Cosenza,1931,8704,15.96,114.0,
19,Cremona,1931,8003,19.97,118.0,
4,Cuneo,1931,12919,20.85,111.0,
38,Ferrara,1931,7959,21.71,100.0,
48,Firenze,1931,13396,15.95,65.0,
71,Foggia,1931,7933,15.7,177.0,
40,Forlì,1931,9994,23.15,95.0,
10,Genova,1931,11484,13.82,74.0,
53,Grosseto,1931,3739,21.13,82.0,
75,Lecce,1931,7943,16.31,114.0,
49,Livorno,1931,4256,17.32,64.0,
46,Lucca,1931,6414,18.88,61.0,
43,Macerata,1931,3299,11.88,74.0,
20,Mantova,1931,8128,20.44,81.0,
83,Messina,1931,7385,12.29,110.0,
15,Milano,1931,37632,18.8,126.0,
36,Modena,1931,10117,22.56,107.0,
63,Napoli,1931,30430,14.67,118.0,
3,Novara,1931,6177,15.87,97.0,
28,Padova,1931,16936,26.8,86.0,
82,Palermo,1931,11341,13.47,125.0,
34,Parma,1931,6934,18.56,87.0,
18,Pavia,1931,7440,15.44,83.0,
41,Pesaro e Urbino,1931,3906,13.27,119.0,
33,Piacenza,1931,5894,20.3,91.0,
50,Pisa,1931,5966,17.8,58.0,
76,Potenza,1931,6053,17.26,162.0,
39,Ravenna,1931,4471,16.46,65.0,
58,Roma,1931,18150,11.52,83.0,
29,Rovigo,1931,9155,29.0,110.0,
65,Salerno,1931,10466,15.91,120.0,
90,Sassari,1931,3835,13.25,104.0,
52,Siena,1931,4937,18.95,71.0,
89,Siracusa,1931,3495,12.3,157.0,
14,Sondrio,1931,3432,25.66,131.0,
67,Teramo,1931,3373,14.9,96.0,
1,Torino,1931,16573,14.43,91.0,
81,Trapani,1931,4227,11.29,128.0,
26,Treviso,1931,14134,25.21,75.0,
30,Udine,1931,14472,20.15,80.0,
54,Umbria,1931,6292,12.22,88.0,
27,Venezia,1931,15291,25.73,93.0,
23,Verona,1931,12453,22.11,90.0,
24,Vicenza,1931,13238,25.06,86.0,
6,Alessandria,1936,,13.1,58.0,
42,Ancona,1936,,12.1,67.0,
51,Arezzo,1936,,12.6,84.0,
44,Ascoli Piceno,1936,,13.0,71.0,
64,Avellino,1936,,15.7,122.0,
62,Benevento,1936,,15.6,111.0,
16,Bergamo,1936,,16.8,170.0,
37,Bologna,1936,,12.5,67.0,
17,Brescia,1936,,15.7,134.0,
92,Cagliari,1936,,14.5,89.0,
85,Caltanissetta,1936,,15.8,126.0,
70,Campobasso,1936,,16.7,133.0,
87,Catania,1936,,14.6,128.0,
79,Catanzaro,1936,,15.6,125.0,
69,Chieti,1936,,15.4,125.0,
13,Como,1936,,13.8,102.0,
78,Cosenza,1936,,13.5,102.0,
19,Cremona,1936,,14.3,103.0,
4,Cuneo,1936,,14.4,89.0,
38,Ferrara,1936,,12.4,94.0,
48,Firenze,1936,,11.9,55.0,
71,Foggia,1936,,16.3,140.0,
40,Forlì,1936,,12.1,76.0,
10,Genova,1936,,12.3,59.0,
53,Grosseto,1936,,10.7,68.0,
75,Lecce,1936,,16.3,136.0,
49,Livorno,1936,,11.9,48.0,
46,Lucca,1936,,12.3,56.0,
43,Macerata,1936,,13.1,72.0,
20,Mantova,1936,,12.3,80.0,
83,Messina,1936,,13.6,92.0,
15,Milano,1936,,12.6,102.0,
36,Modena,1936,,12.4,96.0,
63,Napoli,1936,,16.8,117.0,
3,Novara,1936,,13.9,70.0,
28,Padova,1936,,11.1,77.0,
82,Palermo,1936,,14.6,103.0,
34,Parma,1936,,12.9,86.0,
18,Pavia,1936,,12.8,69.0,
41,Pesaro e Urbino,1936,,13.4,105.0,
33,Piacenza,1936,,12.7,87.0,
50,Pisa,1936,,12.1,54.0,
76,Potenza,1936,,17.4,147.0,
39,Ravenna,1936,,12.1,56.0,
58,Roma,1936,,11.6,78.0,
29,Rovigo,1936,,11.5,96.0,
65,Salerno,1936,,14.5,109.0,
90,Sassari,1936,,14.0,96.0,
52,Siena,1936,,12.7,69.0,
89,Siracusa,1936,,13.9,122.0,
14,Sondrio,1936,,14.9,94.0,
67,Teramo,1936,,14.4,88.0,
1,Torino,1936,,13.3,68.0,
81,Trapani,1936,,13.3,94.0,
26,Treviso,1936,,11.1,66.0,
30,Udine,1936,,12.9,75.0,
54,Umbria,1936,,13.0,74.0,
27,Venezia,1936,,14.5,73.0,
23,Verona,1936,,12.2,78.0,
24,Vicenza,1936,,12.4,87.0,
6,Alessandria,1894,17371,22.2,,
42,Ancona,1894,6557,22.63,,
66,Aquila,1894,9898,25.97,,
51,Arezzo,1894,6464,24.86,,
44,AscoliPiceno,1894,5340,22.98,,
64,Avellino,1894,11022,27.63,,
72,Bari,1894,22573,29.15,,
25,Belluno,1894,4174,22.41,,
62,Benevento,1894,6805,27.22,,
16,Bergamo,1894,11478,26.37,,
37,Bologna,1894,11354,22.59,,
17,Brescia,1894,12064,23.44,,
92,Cagliari,1894,12852,27.87,,
85,Caltanissetta,1894,9975,32.6,,
70,Campobasso,1894,10868,29.69,,
61,Caserta,1894,18985,24.98,,
87,Catania,1894,18347,28.01,,
79,Catanzaro,1894,15341,33.26,,
69,Chieti,1894,9609,26.61,,
13,Como,1894,13148,23.6,,
78,Cosenza,1894,12172,26.46,,
19,Cremona,1894,7431,23.31,,
4,Cuneo,1894,15742,24.73,,
38,Ferrara,1894,6690,26.0,,
48,Firenze,1894,20677,23.32,,
71,Foggia,1894,14136,35.24,,
40,Forli,1894,6874,25.43,,
10,Genova,1894,19496,22.33,,
84,Girgenti,1894,10546,30.1,,
53,Grosseto,1894,2927,21.86,,
75,Lecce,1894,16201,24.83,,
49,Livorno,1894,2604,21.16,,
46,Lucca,1894,6310,20.55,,
43,Macerata,1894,5816,23.04,,
20,Mantova,1894,6603,21.57,,
45,MassaCarrara,1894,4528,24.31,,
83,Messina,1894,13578,26.4,,
15,Milano,1894,34421,25.94,,
36,Modena,1894,7950,26.24,,
63,Napoli,1894,29486,26.85,,
3,Novara,1894,16087,22.37,,
28,Padova,1894,9715,22.75,,
82,Palermo,1894,19515,25.87,,
34,Parma,1894,7517,26.41,,
18,Pavia,1894,10313,21.17,,
54,Perugia,1894,13783,21.75,,
41,PesaroUrbino,1894,6073,24.98,,
33,Piacenza,1894,5943,24.91,,
50,Pisa,1894,6877,22.36,,
8,PortoMaurizio,1894,3352,24.11,,
76,Potenza,1894,15790,31.44,,
39,Ravenna,1894,4724,20.36,,
80,ReggioCalabria,1894,12152,29.72,,
35,ReggioEmilia,1894,6955,26.34,,
58,Roma,1894,24814,22.69,,
29,Rovigo,1894,5458,24.77,,
65,Salerno,1894,14961,26.75,,
90,Sassari,1894,7702,26.43,,
52,Siena,1894,4946,22.08,,
89,Siracusa,1894,11092,27.94,,
67,Teramo,1894,6688,23.17,,
1,Torino,1894,26454,24.26,,
81,Trapani,1894,7978,23.58,,
26,Treviso,1894,7166,17.96,,
30,Udine,1894,11329,20.21,,
27,Venezia,1894,9188,23.81,,
23,Verona,1894,9285,22.52,,
24,Vicenza,1894,9597,22.34,,
72,Bari,1901,592,0.72,,
84,Girgenti,1901,256,0.69,,
45,MassaCarrara,1901,168,0.86,,
8,PortoMaurizio,1901,74,0.52,,
80,ReggioCalabria,1901,200,0.47,,
