REF_AREA,REGION,m_0,m_1_4,m_5_9,m_10_14,m_15_19,m_20_24,m_25_29,m_30_34,m_35_39,m_40_44,m_45_49,m_50_54,m_55_59,m_60_64,m_65_69,m_70_74,m_75_79,m_80_84,m_85plus,f_0,f_1_4,f_5_9,f_10_14,f_15_19,f_20_24,f_25_29,f_30_34,f_35_39,f_40_44,f_45_49,f_50_54,f_55_59,f_60_64,f_65_69,f_70_74,f_75_79,f_80_84,f_85plus,t_0,t_1_4,t_5_9,t_10_14,t_15_19,t_20_24,t_25_29,t_30_34,t_35_39,t_40_44,t_45_49,t_50_54,t_55_59,t_60_64,t_65_69,t_70_74,t_75_79,t_80_84,t_85plus,m_tot,f_tot,t_tot
IT,ITALIA,455068,1870817,2345154,2111583,1950347,2119939,1717859,1935215,1812317,1844151,1742168,1158587,1497374,1347101,1017437,682359,417813,229242,136155,431607,1781503,2232346,2017608,1877485,2054986,1720120,1957320,1846298,1887186,1869496,1276484,1638154,1515552,1234474,962554,663014,350308,251293,886675,3652320,4577500,4129191,3827832,4174925,3437979,3892535,3658615,3731337,3611664,2435071,3135528,2862653,2251911,1644913,1080827,579550,387448,26390686,27567788,53958474
ITC1,Piemonte,31272,128290,156057,137546,133033,163433,145097,172722,160687,161091,147209,96468,134477,124981,99573,67225,42321,22585,13414,29746,121802,148758,130304,127393,157926,140888,166941,157193,160414,155820,104960,147210,142839,122024,96945,67537,35695,25605,61018,250092,304815,267850,260426,321359,285985,339663,317880,321505,303029,201428,281687,267820,221597,164170,109858,58280,39019,2137481,2240000,4377481
ITC2,Valle d'Aosta,801,3282,3990,3583,3624,4552,3893,4138,4251,4360,4009,2459,3480,3251,2144,1409,875,501,299,817,3155,3635,3506,3510,4033,3549,4193,3773,4014,3864,2691,3307,3404,2568,2025,1270,699,501,1618,6437,7625,7089,7134,8585,7442,8331,8024,8374,7873,5150,6787,6655,4712,3434,2145,1200,800,54901,54514,109415
ITC3,Liguria,11324,47749,61873,53666,49364,61355,54952,64911,62726,67375,66126,47794,61841,57472,45139,31527,20800,11418,6781,11034,45243,58532,50898,48075,59637,55640,67005,64949,70659,72695,53759,69542,66600,56442,45585,33007,17526,12572,22358,92992,120405,104564,97439,120992,110592,131916,127675,138034,138821,101553,131383,124072,101581,77112,53807,28944,19353,884193,959400,1843593
ITC4,Lombardia,67953,283076,345370,294446,275649,333089,295907,345516,311842,303250,276395,176282,234569,207468,154496,96575,56424,27229,16173,64336,269788,329044,283441,271355,329791,293038,339528,309756,306295,298407,198815,268051,248628,202376,148896,96944,46294,33208,132289,552864,674414,577887,547004,662880,588945,685044,621598,609545,574802,375097,502620,456096,356872,245471,153368,73523,49381,4101709,4337991,8439700
ITD1,Bolzano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
ITD2,Trento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
ITDA,Trentino-AA,7365,31461,39289,34482,31400,33827,30285,28993,26436,27703,26761,14607,21921,20962,15694,10296,6011,2948,1749,7035,30012,37626,33110,30542,31685,29086,28028,25933,27480,29309,16982,25109,23856,19592,14095,9332,4658,3341,14400,61473,76915,67592,61942,65512,59371,57021,52369,55183,56070,31589,47030,44818,35286,24391,15343,7606,5090,412190,426811,839001
ITD3,Veneto,35039,144852,183450,160513,148820,164774,140212,150363,136154,140310,133271,85799,112560,96767,72727,48543,29432,14680,8720,33324,138693,175741,154911,143866,158740,137274,148201,135278,141329,142288,93257,124186,113236,94537,72896,48543,24805,17796,68363,283545,359191,315424,292686,323514,277486,298564,271432,281639,275559,179056,236746,210003,167264,121439,77975,39485,26516,2006986,2098901,4105887
ITD4,Friuli-VG,8243,33778,43299,38089,36401,46025,40714,44890,38205,40197,42746,28859,40465,37872,27531,17862,10629,5333,3167,7961,32059,41035,36577,34939,43322,39227,42896,38090,41270,47612,31948,45485,45182,37483,28285,19328,10539,7560,16204,65837,84334,74666,71340,89347,79941,87786,76295,81467,90358,60807,85950,83054,65014,46147,29957,15872,10727,584305,630798,1215103
