DATAFLOW,FREQ,REF_AREA,DATA_TYPE,AGE,SEX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_AGE,NOTE_SEX,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,TOTAL,1,1971,26390686,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,TOTAL,2,1971,27567788,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,TOTAL,9,1971,53958474,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y_GE100,1,1971,427,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y_GE100,2,1971,1122,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y_GE100,9,1971,1549,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y0,1,1971,455068,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y0,2,1971,431607,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y0,9,1971,886675,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y1,1,1971,464042,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y1,2,1971,443538,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y1,9,1971,907580,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y10,1,1971,459458,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y10,2,1971,436683,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y10,9,1971,896141,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y11,1,1971,426384,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y11,2,1971,404735,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y11,9,1971,831119,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y12,1,1971,410631,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y12,2,1971,392132,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y12,9,1971,802763,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y13,1,1971,409612,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y13,2,1971,393108,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y13,9,1971,802720,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y14,1,1971,405498,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y14,2,1971,390950,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y14,9,1971,796448,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y15,1,1971,400534,,,,,,,,,
IT1:164_346_DF_DCIS_RICPOPRES1971_1(1.0),A,IT,JAN,Y15,2,1971,386194,,,,,,,,,
