severity,dataset,where,check,detail
ERROR,census,Palermo 1861->1871,intercensal_jump,"384,526 -> 617,618 (x1.61)"
ERROR,census,AscoliPiceno 1931,t_0!=m+f,"7,641 != 3,765+3,696 (off 180)"
ERROR,census,Piacenza 1921,t_10_14!=m+f,"32,152 != 16,871+15,881 (off 600)"
ERROR,census,Venezia 1921,t_10_14!=m+f,"58,411 != 29,590+29,181 (off 360)"
ERROR,census,Vicenza 1921,t_10_14!=m+f,"66,074 != 33,580+32,994 (off 500)"
ERROR,census,Rovigo 1921,t_15_19!=m+f,"30,248 != 15,184+14,884 (off 180)"
ERROR,census,AscoliPiceno 1931,t_1_4!=m+f,"27,610 != 14,286+13,504 (off 180)"
ERROR,census,Catania 1936,t_1_4!=m+f,"63,096 != 24,025+30,869 (off 8,202)"
ERROR,census,Terni 1936,t_30_34!=m+f,"13,024 != 6,708+6,816 (off 500)"
ERROR,census,Cosenza 1936,t_35_39!=m+f,"25,459 != 13,311+18,278 (off 6,130)"
ERROR,census,ReggioCalabria 1911,t_40_44!=m+f,"22,375 != 10,818+12,557 (off 1,000)"
ERROR,census,Enna 1936,t_55_59!=m+f,"7,278 != 4,422+3,728 (off 872)"
ERROR,census,Massa e Carrara 1921,t_5_9!=m+f,"25,559 != 13,271+12,888 (off 600)"
ERROR,census,PrincipatoUlteriore 1871,t_5_9!=m+f,"40,436 != 13,687+19,929 (off 6,820)"
ERROR,census,Siracusa 1921,t_70_74!=m+f,"9,870 != 5,028+4,942 (off 100)"
ERROR,census,Catania 1936,total!=M+F,"713,108 != 343,463+361,443 (off 8,202)"
ERROR,census,Cosenza 1936,total!=M+F,"580,763 != 280,256+306,637 (off 6,130)"
ERROR,census,Enna 1936,total!=M+F,"216,240 != 110,509+106,603 (off 872)"
ERROR,census,Massa e Carrara 1921,total!=M+F,"223,346 != 110,053+113,893 (off 600)"
ERROR,census,Piacenza 1921,total!=M+F,"280,483 != 142,209+138,864 (off 590)"
ERROR,census,PrincipatoUlteriore 1871,total!=M+F,"377,207 != 179,187+191,200 (off 6,820)"
ERROR,census,ReggioCalabria 1911,total!=M+F,"443,611 != 212,964+231,647 (off 1,000)"
ERROR,census,Terni 1936,total!=M+F,"191,547 != 97,260+94,787 (off 500)"
ERROR,fertility,Fiume 1931,cbr_implausible,cbr=5.8
ERROR,fertility,Mantova 1865,cbr_implausible,cbr=5.16
ERROR,marriages,Ferrara 1866,nuptiality_implausible,nuptiality=1.68
ERROR,marriages,Fiume 1931,nuptiality_implausible,nuptiality=1.93
ERROR,marriages,Girgenti 1866,nuptiality_implausible,nuptiality=2.53
ERROR,marriages,Mantova 1865,nuptiality_implausible,nuptiality=1.2
ERROR,marriages,Pesaro e Urbino 1866,nuptiality_implausible,nuptiality=2.94
ERROR,marriages,Roma 1872,nuptiality_implausible,nuptiality=2.98
ERROR,migration,Belluno 1911,emig_rate_implausible,emig_rate=87.24
ERROR,migration,Belluno 1912,emig_rate_implausible,emig_rate=87.25
ERROR,migration,Belluno 1913,emig_rate_implausible,emig_rate=94.07
ERROR,migration,Belluno 1914,emig_rate_implausible,emig_rate=82.21
ERROR,mortality,Trapani 1881,cdr_implausible,cdr=0.95
WARNING,census,Catania 1921->1931,intercensal_growth,"-2.35%/yr (869,684 -> 685,369)"
WARNING,census,Como 1921->1931,intercensal_growth,"-2.52%/yr (628,980 -> 487,186)"
WARNING,census,Cremona 1931->1936,intercensal_growth,"-1.62%/yr (400,834 -> 369,466)"
WARNING,census,Firenze 1921->1931,intercensal_growth,"-2.07%/yr (1,035,968 -> 840,043)"
WARNING,census,Genova 1921->1931,intercensal_growth,"-3.38%/yr (1,171,838 -> 831,269)"
WARNING,census,Girgenti 1861->1871,intercensal_growth,"-2.66%/yr (376,957 -> 287,763)"
WARNING,census,MassaCarrara 1921->1931,intercensal_growth,"-1.62%/yr (223,346 -> 189,622)"
WARNING,census,Napoli 1921->1931,intercensal_growth,"+3.56%/yr (1,461,112 -> 2,073,825)"
WARNING,census,Perugia 1921->1931,intercensal_growth,"-3.48%/yr (733,696 -> 514,830)"
WARNING,census,Potenza 1921->1931,intercensal_growth,"-2.83%/yr (467,098 -> 350,618)"
WARNING,census,Teramo 1921->1931,intercensal_growth,"-3.40%/yr (319,988 -> 226,401)"
WARNING,census,Trieste 1931->1936,intercensal_growth,"+5.74%/yr (348,405 -> 460,596)"
WARNING,census,Alessandria 1931->1936,intercensal_jump,"755,968 -> 494,688 (x0.65) (possible 1927/1935 boundary change)"
WARNING,census,Caltanissetta 1921->1931,intercensal_jump,"382,444 -> 245,476 (x0.64) (possible 1927/1935 boundary change)"
WARNING,census,Firenze 1931->1936,intercensal_jump,"840,043 -> 322,526 (x0.38) (possible 1927/1935 boundary change)"
WARNING,census,Lecce 1921->1931,intercensal_jump,"877,583 -> 487,029 (x0.55) (possible 1927/1935 boundary change)"
WARNING,census,Livorno 1921->1931,intercensal_jump,"143,190 -> 245,707 (x1.72) (possible 1927/1935 boundary change)"
WARNING,census,Novara 1921->1931,intercensal_jump,"723,269 -> 389,312 (x0.54) (possible 1927/1935 boundary change)"
WARNING,census,Siracusa 1921->1931,intercensal_jump,"526,953 -> 284,193 (x0.54) (possible 1927/1935 boundary change)"
WARNING,census,Girgenti 1861,mean_age,42.7
WARNING,census,COD_PROV 14 1881,province_missing,"present in 1871 and 1901, absent in 1881 (Sondrio)"
WARNING,census,Aquila 1881,sex_ratio,M/F = 87.0 per 100
WARNING,census,Aquila 1901,sex_ratio,M/F = 87.9 per 100
WARNING,census,Aquila 1911,sex_ratio,M/F = 86.9 per 100
