COD_PROV,DEN_PROV,pop_res_1951,pop_res_1961,confini,fonte
1,Torino,1433001,1824254,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
2,Vercelli,379768,400233,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
3,Novara,422908,460190,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
4,Cuneo,580478,536356,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
5,Asti,224300,214604,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
6,Alessandria,477722,478613,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
7,Valle d'Aosta,94140,100959,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
8,Imperia,166978,202160,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
9,Savona,237829,262842,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
10,Genova,928890,1031091,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
11,La Spezia,233264,239256,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
12,Varese,477055,581528,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
13,Como,575702,637251,coppia con 16,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
14,Sondrio,153493,161450,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
15,Milano,2505153,3156815,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
16,Bergamo,683428,729551,coppia con 13,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
17,Brescia,858243,882949,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
18,Pavia,506511,518193,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
19,Cremona,381816,351160,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
20,Mantova,424753,387255,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
21,Bolzano - Bozen,333900,373863,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
22,Trento,394704,412104,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
23,Verona,645536,667517,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
24,Vicenza,608002,615507,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
25,Belluno,236716,233398,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
26,Treviso,612800,607616,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
27,Venezia,740450,749173,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
28,Padova,715039,694017,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
29,Rovigo,357963,277811,esatti,"ISTAT DCSS_POPRES_SERIES (31/12, ricostruzione intercensuaria), somma NUTS3 attuali"
