year,severity,flag,unit,age,sex,value,detail
1861,WARN,SEX_RATIO,004 Cuneo,80-84,MF,1.765,"M/F outside (0.4, 1.7) (M=720, F=408)"
1861,WARN,SEX_RATIO,018 Pavia,80-84,MF,1.812,"M/F outside (0.4, 1.7) (M=424, F=234)"
1861,WARN,SEX_RATIO,039 Ravenna,70-74,MF,2.634,"M/F outside (0.4, 1.7) (M=1146, F=435)"
1861,WARN,SEX_RATIO,039 Ravenna,75-79,MF,2.134,"M/F outside (0.4, 1.7) (M=655, F=307)"
1861,WARN,SEX_RATIO,039 Ravenna,80-84,MF,1.739,"M/F outside (0.4, 1.7) (M=233, F=134)"
1861,WARN,AGE_PROFILE,039 Ravenna,70-74,F,435.0,"ratio to neighbour avg = 0.39 (bounds 0.55-1.65; possible band misallocation, double count or digit error)"
1861,WARN,SEX_RATIO,043 Macerata,20-24,MF,0.691,"M/F outside (0.7, 1.4) (M=6637, F=9601)"
1861,WARN,SEX_RATIO,043 Macerata,70-74,MF,3.315,"M/F outside (0.4, 1.7) (M=1976, F=596)"
1861,WARN,SEX_RATIO,043 Macerata,75-79,MF,2.556,"M/F outside (0.4, 1.7) (M=1334, F=522)"
1861,WARN,SEX_RATIO,043 Macerata,80-84,MF,2.087,"M/F outside (0.4, 1.7) (M=530, F=254)"
1861,WARN,AGE_PROFILE,043 Macerata,70-74,F,596.0,"ratio to neighbour avg = 0.31 (bounds 0.55-1.65; possible band misallocation, double count or digit error)"
1861,WARN,SEX_RATIO,053 Grosseto,20-24,MF,1.666,"M/F outside (0.7, 1.4) (M=6675, F=4007)"
1861,WARN,SEX_RATIO,053 Grosseto,25-29,MF,1.754,"M/F outside (0.7, 1.4) (M=6825, F=3891)"
1861,WARN,SEX_RATIO,053 Grosseto,30-34,MF,1.75,"M/F outside (0.7, 1.4) (M=4519, F=2583)"
1861,WARN,SEX_RATIO,053 Grosseto,35-39,MF,1.612,"M/F outside (0.7, 1.4) (M=4899, F=3040)"
1861,WARN,SEX_RATIO,053 Grosseto,40-44,MF,1.489,"M/F outside (0.7, 1.4) (M=2952, F=1983)"
1861,WARN,SEX_RATIO,053 Grosseto,50-54,MF,1.461,"M/F outside (0.7, 1.4) (M=1801, F=1233)"
