"province","code","age_class","male","female","total"
"Torino","001","0",12556,12750,25306
"Torino","001","1-4",40474,40246,80720
"Torino","001","5-9",50564,50866,101430
"Torino","001","10-14",49038,49716,98754
"Torino","001","15-19",43511,46486,89997
"Torino","001","20-24",42645,43832,86477
"Torino","001","25-29",34304,40947,75251
"Torino","001","30-34",32945,36907,69852
"Torino","001","35-39",29075,31988,61063
"Torino","001","40-44",29889,31265,61154
"Torino","001","45-49",26705,26357,53062
"Torino","001","50-54",25577,24759,50336
"Torino","001","55-59",19334,17660,36994
"Torino","001","60-64",17914,16521,34435
"Torino","001","65-69",11655,9891,21546
"Torino","001","70-74",8179,7167,15346
"Torino","001","75-79",3730,3141,6871
"Torino","001","80-84",1686,1525,3211
"Torino","001","85+",641,570,1211
"Novara","003","0",9469,9430,18899
"Novara","003","1-4",28526,28404,56930
"Novara","003","5-9",36341,36038,72379
"Novara","003","10-14",32004,32798,64802
"Novara","003","15-19",26197,30092,56289
"Novara","003","20-24",25608,28613,54221
"Novara","003","25-29",21533,26069,47602
"Novara","003","30-34",20651,23220,43871
"Novara","003","35-39",18782,20991,39773
"Novara","003","40-44",18577,19674,38251
"Novara","003","45-49",16687,16599,33286
"Novara","003","50-54",14666,15519,30185
"Novara","003","55-59",10447,10619,21066
"Novara","003","60-64",9800,10091,19891
"Novara","003","65-69",6519,6295,12814
"Novara","003","70-74",4204,4116,8320
"Novara","003","75-79",1966,1924,3890
"Novara","003","80-84",915,978,1893
"Novara","003","85+",306,317,623
"Cuneo","004","0",9263,8964,18227
"Cuneo","004","1-4",27775,27157,54932
"Cuneo","004","5-9",34020,33349,67369
"Cuneo","004","10-14",32438,31525,63963
"Cuneo","004","15-19",27855,29525,57380
"Cuneo","004","20-24",25751,26614,52365
"Cuneo","004","25-29",23010,24082,47092
"Cuneo","004","30-34",21248,21767,43015
"Cuneo","004","35-39",18806,18567,37373
"Cuneo","004","40-44",19080,18699,37779
"Cuneo","004","45-49",17372,15468,32840
"Cuneo","004","50-54",16657,14687,31344
"Cuneo","004","55-59",12913,10131,23044
"Cuneo","004","60-64",11687,9510,21197
"Cuneo","004","65-69",7745,5509,13254
"Cuneo","004","70-74",5669,3967,9636
"Cuneo","004","75-79",2696,1695,4391
"Cuneo","004","80-84",1167,798,1965
"Cuneo","004","85+",400,294,694
"Alessandria","006","0",10056,9651,19707
"Alessandria","006","1-4",30973,30205,61178
"Alessandria","006","5-9",39230,38578,77808
"Alessandria","006","10-14",36567,35692,72259
"Alessandria","006","15-19",31721,33605,65326
"Alessandria","006","20-24",29148,28887,58035
"Alessandria","006","25-29",25463,26194,51657
"Alessandria","006","30-34",23122,23152,46274
"Alessandria","006","35-39",20432,20143,40575
"Alessandria","006","40-44",21024,20051,41075
"Alessandria","006","45-49",18795,16294,35089
"Alessandria","006","50-54",18141,16063,34204
"Alessandria","006","55-59",13858,10930,24788
"Alessandria","006","60-64",13007,10729,23736
"Alessandria","006","65-69",8422,5962,14384
"Alessandria","006","70-74",5842,4276,10118
"Alessandria","006","75-79",2580,1670,4250
"Alessandria","006","80-84",1238,949,2187
"Alessandria","006","85+",360,350,710
"Porto Maurizio","008","0",1681,1582,3263
"Porto Maurizio","008","1-4",4887,5115,10002
"Porto Maurizio","008","5-9",6332,6224,12556
"Porto Maurizio","008","10-14",5680,5963,11643
"Porto Maurizio","008","15-19",5013,5470,10483
"Porto Maurizio","008","20-24",5068,5690,10758
"Porto Maurizio","008","25-29",4776,4954,9730
"Porto Maurizio","008","30-34",4281,4507,8788
"Porto Maurizio","008","35-39",3834,3861,7695
"Porto Maurizio","008","40-44",3805,4069,7874
"Porto Maurizio","008","45-49",3470,3475,6945
"Porto Maurizio","008","50-54",3599,3539,7138
"Porto Maurizio","008","55-59",2698,2471,5169
"Porto Maurizio","008","60-64",2763,2741,5504
"Porto Maurizio","008","65-69",2031,1889,3920
"Porto Maurizio","008","70-74",1674,1411,3085
"Porto Maurizio","008","75-79",791,569,1360
"Porto Maurizio","008","80-84",474,333,807
"Porto Maurizio","008","85+",186,147,333
"Genova","010","0",9776,9468,19244
"Genova","010","1-4",32499,32063,64562
"Genova","010","5-9",40750,40206,80956
"Genova","010","10-14",36498,36575,73073
"Genova","010","15-19",31392,36216,67608
"Genova","010","20-24",32782,31909,64691
"Genova","010","25-29",26049,27000,53049
"Genova","010","30-34",23642,24993,48635
"Genova","010","35-39",19849,20992,40841
"Genova","010","40-44",21013,21990,43003
"Genova","010","45-49",17563,16875,34438
"Genova","010","50-54",17808,18019,35827
"Genova","010","55-59",12005,10100,22105
"Genova","010","60-64",12477,12637,25114
"Genova","010","65-69",8557,7512,16069
"Genova","010","70-74",7183,6599,13782
"Genova","010","75-79",3583,3035,6618
"Genova","010","80-84",2079,1891,3970
"Genova","010","85+",910,883,1793
"Como","013","0",7578,7357,14935
"Como","013","1-4",22170,21805,43975
"Como","013","5-9",27019,26290,53309
"Como","013","10-14",25161,25014,50175
"Como","013","15-19",22763,25161,47924
"Como","013","20-24",18864,22917,41781
"Como","013","25-29",16962,20143,37105
"Como","013","30-34",16039,17592,33631
"Como","013","35-39",13835,14922,28757
"Como","013","40-44",13680,13562,27242
"Como","013","45-49",11879,11681,23560
"Como","013","50-54",11191,10565,21756
"Como","013","55-59",9035,7996,17031
"Como","013","60-64",8450,7466,15916
"Como","013","65-69",5554,4517,10071
"Como","013","70-74",3272,2724,5996
"Como","013","75-79",1699,1166,2865
"Como","013","80-84",708,515,1223
"Como","013","85+",253,141,394
"Sondrio","014","0",1710,1701,3411
"Sondrio","014","1-4",5362,5420,10782
"Sondrio","014","5-9",6103,6094,12197
"Sondrio","014","10-14",5242,5352,10594
"Sondrio","014","15-19",4884,5149,10033
"Sondrio","014","20-24",3395,5128,8523
"Sondrio","014","25-29",3618,4658,8276
"Sondrio","014","30-34",3508,4143,7651
"Sondrio","014","35-39",3280,3701,6981
"Sondrio","014","40-44",3424,3540,6964
"Sondrio","014","45-49",3026,2995,6021
"Sondrio","014","50-54",2669,2558,5227
"Sondrio","014","55-59",2226,1937,4163
"Sondrio","014","60-64",2067,1896,3963
"Sondrio","014","65-69",1518,1193,2711
"Sondrio","014","70-74",944,740,1684
"Sondrio","014","75-79",447,313,760
"Sondrio","014","80-84",215,119,334
"Sondrio","014","85+",61,38,99
"Milano","015","0",14863,13981,28844
"Milano","015","1-4",45989,44837,90826
"Milano","015","5-9",53128,52483,105611
"Milano","015","10-14",50814,49753,100567
"Milano","015","15-19",48207,49161,97368
"Milano","015","20-24",47241,47062,94303
"Milano","015","25-29",43281,43368,86649
"Milano","015","30-34",37930,37678,75608
"Milano","015","35-39",34511,32719,67230
"Milano","015","40-44",31435,28547,59982
"Milano","015","45-49",26338,23699,50037
"Milano","015","50-54",24467,21844,46311
"Milano","015","55-59",18196,16179,34375
"Milano","015","60-64",17023,15727,32750
"Milano","015","65-69",11014,8952,19966
"Milano","015","70-74",6152,5044,11196
"Milano","015","75-79",2637,1972,4609
"Milano","015","80-84",1065,904,1969
"Milano","015","85+",516177,494198,1010375
"Bergamo","016","0",6085,5885,11970
"Bergamo","016","1-4",17257,16791,34048
"Bergamo","016","5-9",19828,19839,39667
"Bergamo","016","10-14",18549,18094,36643
"Bergamo","016","15-19",16825,17240,34065
"Bergamo","016","20-24",15022,16429,31451
"Bergamo","016","25-29",15072,15768,30840
"Bergamo","016","30-34",13709,13967,27676
"Bergamo","016","35-39",11935,11612,23547
"Bergamo","016","40-44",11800,10871,22671
"Bergamo","016","45-49",10133,8929,19062
"Bergamo","016","50-54",9021,8195,17216
"Bergamo","016","55-59",6810,5930,12740
"Bergamo","016","60-64",6497,5548,12045
"Bergamo","016","65-69",4239,3029,7268
