Age_column,Male_column,Female_column,Total
Dalla nascita a 1 anno,1923,1955,3878
1 anno compiuto a 2,1806,2058,3859
2 anni compiuti a 3,2137,2137,4264
3 a 4,2151,2143,4294
4 a 5,2088,2079,4167
dalla nascita a 5,8182,8402,16584
5 anni compiuti a 6,2001,2101,4102
6  a 7,2064,2024,4088
7 a 8,1964,2060,4024
8 a 9,1819,1945,3764
9  a 10,1893,2040,3933
dai 5 ai 10,9741,10170,19911
10 anni compiuti a 11,1871,1989,3860
11  a 12,1964,2103,4067
12 a 13,2027,2116,4143
13 a 14,2047,2081,4028
14 a 15,2262,2220,4482
dai 10  ai 15,10171,10409,20580
15 anni compiuti a 16,2460,2452,4912
16 a 17,2499,2404,4903
17 a 18,2598,2483,5081
18 a 19,6,2641,2617
19 a 20,6,2626,2485
dai 15 ai 20,12824,12441,25265
20 anni compiuti a 21,2831,2559,5390
21 a 22,9,4380,2595
22 a 23,12,4187,2680
23 a 24,26,2712,2548
24 a 25,29,2447,2404
dai 20 ai 25,16557,12766,29323
25 anni compiuti a 26,2439,2531,4970
26 a 27,50,2409,2447
27 a 28,61,2165,2295
30 anni compiuti a,59,2189,2236
29 a 30,68,2066,2092
dai 25 ai 30,11238,8160,22289
30 anni compiuti a 31,2140,2409,4549
31 a 32,91,2066,2036
32 a 33,104,1837,1872
33 a 34,118,1790,2140
34 a 35,125,1712,1870
dai 30 ai 35,9545,10337,19872
Da 35 anni compiuti a 36,1873,2086,3959
36 a 37,154,1981,2103
37 a 38,183,1750,2029
38 a 39,182,1783,1896
39 a 40,175,1557,1723
dai 35 ai 40,8944,9837,18781
40 anni compiuti a 41,1799,2216,4015
41 a 42,244,1760,1919
42 a 43,268,1834,1768
43 a 44,237,1585,1622
44 a 45,246,1440,1478
dai 40 ai 45,8418,9903,17421
45 anni compiuti a 46,1561,1857,3418
46 a 47,293,1430,1531
47 a 48,293,1367,1313
48 a 49,326,1287,1432
49 a 50,284,1171,1212
dai 45 ai 50,6816,7345,14161
50 anni compiuti a 51,1580,1782,3362
51 a 52,371,1352,1448
52 a 53,365,1308,1248
53 a 54,354,1237,1194
54 a 55,388,1217,1185
dai 50 ai 55,6694,6857,13551
55 anni compiuti a 56,1221,1248,2469
56 a 57,413,1167,1172
57 a 58,347,1079,999
58 a 59,374,1007,943
59 a 60,358,894,853
dai 55 ai 50,5368,5215,10583
60 anni compiuti a 61,1131,1314,2445
61 a 62,450,998,921
62 a 63,336,839,694
63 a 64,350,788,674
64 a 65,328,718,659
dai 60 ai 65,4474,4262,8736
65 anni compiuti a 66,669,614,1283
66 a 67,321,645,575
67 a 68,317,574,531
68 a 69,244,458,450
69 a 70,231,427,392
dai 65 ai 70,2773,2562,5335
70 anni compiuti a 71,360,547,907
71 a 72,418,359,777
72 a 73,242,457,346
73 a 74,193,316,273
74 a 75,177,271,245
dai 70 ai 75,1822,1750,3572
75 anni compiuti a 76,234,224,458
76 a 77,214,201,415
77 a 78,160,179,339
78 a 79,129,113,242
79 a 80,115,110,231
dai 75 a 80,852,836,1688
80 anni compiuti a 81,84,105,189
81 a 82,75,83,158
82 a 83,48,49,97
83 a 84,36,30,66
84 a 85,25,34,59
da 80 a 85 anni,268,301,569
85 anni compiuti a 86,20,22,42
86 a 87,15,18,33
87 a 88,10,13,23
88 a 89,3,15,18
89 a 90,7,6,13
da 85 a 90 anni,55,74,129
90 anni compiuti a 91,3,12,15
91 a 92,4,3,7
92 a 93,0,3,3
93 a 94,2,1,3
94 a 95,0,2,2
da 90 a 95,9,21,30
95 anni compiuti a 96,1,0,1
96 a 97,0,0,0
97 a 98,0,1,1
98 a 99,0,0,0
99 a 100,0,1,1
da 95 a 100,2,3,0
Centenari,1,0,1
ignota,0,0,0
Totale,126696,126136,252832
