Age_column,Male_column,Female_column,Total
Dalla nascita a 1 anno,804,804,1608
1 anno compiuto a 2,644,564,1208
2 anni compiuti a 3,752,665,1417
3 a 4,786,722,1448
4 a 5,695,656,1351
dalla nascita a 5,2817,2607,5424
5 anni compiuti a 6,705,688,1393
6  a 7,715,673,1388
7 a 8,610,589,1199
8 a 9,534,546,1080
9  a 10,568,526,1094
dai 5 ai 10,3132,3022,6154
10 anni compiuti a 11,604,527,1131
11  a 12,541,508,1049
12 a 13,623,550,1173
13 a 14,531,478,1009
14 a 15,622,590,1212
dai 10  ai 15,2921,2653,5574
15 anni compiuti a 16,614,651,1265
16 a 17,614,632,1246
17 a 18,1,551,615
18 a 19,1,594,640
19 a 20,1,510,505
dai 15 ai 20,2883,3043,5926
20 anni compiuti a 21,581,611,1192
21 a 22,3,1420,501
22 a 23,7,1665,582
23 a 24,5,676,510
24 a 25,4,549,536
dai 20 ai 25,4891,2745,7636
25 anni compiuti a 26,543,555,1098
26 a 27,12,508,539
27 a 28,18,496,505
30 anni compiuti a,18,473,499
29 a 30,15,407,389
dai 25 ai 30,2127,2478,4905
30 anni compiuti a 31,590,598,1188
31 a 32,16,409,368
32 a 33,20,370,406
33 a 34,21,437,416
34 a 35,14,345,347
dai 30 ai 35,2151,2133,4286
Da 35 anni compiuti a 36,455,458,913
36 a 37,33,429,458
37 a 38,10,401,371
38 a 39,40,385,390
39 a 40,21,339,297
dai 35 ai 40,2001,1963,3964
40 anni compiuti a 41,472,672,1144
41 a 42,36,367,342
42 a 43,43,444,337
43 a 44,38,335,291
44 a 45,42,296,272
dai 40 ai 45,1912,1914,3826
45 anni compiuti a 46,335,415,750
46 a 47,62,392,316
47 a 48,51,325,261
48 a 49,51,319,255
49 a 50,31,280,191
dai 45 ai 50,1611,1438,3089
50 anni compiuti a 51,435,485,920
51 a 52,49,308,238
52 a 53,66,309,266
53 a 54,56,297,206
54 a 55,60,305,264
dai 50 ai 55,1649,1459,3108
55 anni compiuti a 56,206,289,585
56 a 57,70,324,251
57 a 58,71,239,198
58 a 59,66,234,170
59 a 60,50,178,131
dai 55 ai 50,1271,1039,2310
60 anni compiuti a 61,300,427,727
61 a 62,62,221,148
62 a 63,62,185,120
63 a 64,68,152,128
64 a 65,72,170,111
dai 60 ai 65,1026,973,1999
65 anni compiuti a 66,178,168,346
66 a 67,73,141,133
67 a 68,52,165,95
68 a 69,52,135,82
69 a 70,32,79,67
dai 65 ai 70,694,545,1239
70 anni compiuti a 71,121,123,244
71 a 72,48,95,74
72 a 73,95,74,169
73 a 74,34,83,50
74 a 75,51,56,63
dai 70 ai 75,265,450,384
75 anni compiuti a 76,62,56,118
76 a 77,26,42,36
77 a 78,26,35,31
78 a 79,24,40,32
79 a 80,18,36,17
dai 75 a 80,131,215,172
80 anni compiuti a 81,22,34,56
81 a 82,18,16,20
82 a 83,3,12,10
83 a 84,4,8,4
84 a 85,9,7,9
da 80 a 85 anni,65,61,77
85 anni compiuti a 86,8,8,16
86 a 87,7,5,8
87 a 88,2,3,3
88 a 89,3,3,3
89 a 90,1,0,1
da 85 a 90 anni,19,20,21
90 anni compiuti a 91,0,2,2
91 a 92,3,2,3
92 a 93,0,3,3
93 a 94,0,0,0
94 a 95,0,0,0
da 90 a 95,6,2,8
95 anni compiuti a 96,0,0,0
96 a 97,0,1,1
97 a 98,0,1,1
98 a 99,0,0,0
99 a 100,0,0,0
da 95 a 100,0,2,2
Centenari,0,0,0
ignota,0,0,0
Totale,32882,29482,62464
