Age_column,Male_column,Female_column,Total
Dalla nascita a 1 anno,61,65,126
1 anno compiuto a 2,56,71,127
2 anni compiuti a 3,70,72,142
3 a 4,86,74,160
4 a 5,71,71,142
dalla nascita a 5,283,283,571
5 anni compiuti a 6,56,66,122
6  a 7,63,74,137
7 a 8,68,73,140
8 a 9,58,53,111
9  a 10,68,47,115
dai 5 ai 10,313,312,625
10 anni compiuti a 11,74,54,128
11  a 12,53,65,118
12 a 13,58,64,122
13 a 14,64,51,115
14 a 15,59,64,123
dai 10  ai 15,308,298,606
15 anni compiuti a 16,53,84,137
16 a 17,69,65,134
17 a 18,62,68,130
18 a 19,60,90,150
19 a 20,44,52,96
dai 15 ai 20,288,359,647
20 anni compiuti a 21,48,61,109
21 a 22,49,52,101
22 a 23,52,57,109
23 a 24,41,52,93
24 a 25,37,74,111
dai 20 ai 25,227,296,523
25 anni compiuti a 26,42,60,102
26 a 27,38,55,93
27 a 28,52,51,103
30 anni compiuti a,50,74,124
29 a 30,41,43,84
dai 25 ai 30,223,283,506
30 anni compiuti a 31,48,75,123
31 a 32,61,49,110
32 a 33,48,52,100
33 a 34,26,49,75
34 a 35,33,43,76
dai 30 ai 35,216,268,484
Da 35 anni compiuti a 36,33,53,86
36 a 37,6,47,72
37 a 38,1,45,38
38 a 39,3,48,59
39 a 40,3,28,33
dai 35 ai 40,201,255,456
40 anni compiuti a 41,50,73,123
41 a 42,5,39,39
42 a 43,8,53,47
43 a 44,0,23,27
44 a 45,4,19,39
dai 40 ai 45,184,225,409
45 anni compiuti a 46,35,39,74
46 a 47,2,39,46
47 a 48,6,36,39
48 a 49,7,33,41
49 a 50,3,26,24
dai 45 ai 50,169,189,358
50 anni compiuti a 51,55,68,118
51 a 52,5,25,43
52 a 53,2,33,31
53 a 54,6,38,42
54 a 55,3,30,29
dai 50 ai 55,181,208,389
55 anni compiuti a 56,28,36,64
56 a 57,10,42,34
57 a 58,10,39,50
58 a 59,8,22,31
59 a 60,5,27,25
dai 55 ai 50,158,156,314
60 anni compiuti a 61,39,51,90
61 a 62,12,34,27
62 a 63,8,28,24
63 a 64,11,25,23
64 a 65,7,28,23
dai 60 ai 65,154,148,302
65 anni compiuti a 66,21,18,39
66 a 67,8,21,23
67 a 68,14,18,25
68 a 69,3,22,8
69 a 70,4,12,11
dai 65 ai 70,94,85,179
70 anni compiuti a 71,20,34,54
71 a 72,18,17,35
72 a 73,14,11,25
73 a 74,13,6,19
74 a 75,9,14,23
dai 70 ai 75,74,82,156
75 anni compiuti a 76,11,17,28
76 a 77,9,15,24
77 a 78,7,12,19
78 a 79,10,10,20
79 a 80,6,8,14
dai 75 a 80,43,62,105
80 anni compiuti a 81,10,9,19
81 a 82,5,7,12
82 a 83,4,8,12
83 a 84,3,3,6
84 a 85,3,4,7
da 80 a 85 anni,25,31,56
85 anni compiuti a 86,4,2,6
86 a 87,1,3,4
87 a 88,0,0,0
88 a 89,1,2,0
89 a 90,1,0,1
da 85 a 90 anni,7,6,13
90 anni compiuti a 91,0,0,0
91 a 92,2,2,0
92 a 93,0,0,0
93 a 94,0,0,0
94 a 95,0,0,0
da 90 a 95,2,2,0
95 anni compiuti a 96,0,0,0
96 a 97,0,0,0
97 a 98,0,0,0
98 a 99,0,0,0
99 a 100,0,0,0
da 95 a 100,0,0,0
Centenari,0,0,0
ignota,0,0,0
Totale,3209,3618,6827
