Age_column,Male_column,Female_column,Total
Dalla nascita a 1 anno,1677,1756,3433
1 anno compiuto a 2,1522,1503,3025
2 anni compiuti a 3,1754,1658,3412
3 a 4,1621,1623,3244
4 a 5,1622,1634,3256
dalla nascita a 5,6519,6448,12967
5 anni compiuti a 6,1568,1563,3131
6  a 7,1656,1565,3221
7 a 8,1461,1480,2941
8 a 9,1412,1443,2855
9  a 10,1436,1416,2852
dai 5 ai 10,7513,7467,14980
10 anni compiuti a 11,1492,1403,2895
11  a 12,1395,1393,2788
12 a 13,1383,1466,2849
13 a 14,1430,1420,2850
14 a 15,1590,1648,3238
dai 10  ai 15,7290,7420,14710
15 anni compiuti a 16,1703,1804,3507
16 a 17,1,1656,1757
17 a 18,2,1591,1783
18 a 19,1,1649,1931
19 a 20,5,1593,1726
dai 15 ai 20,8192,9004,17196
20 anni compiuti a 21,1606,1893,3499
21 a 22,13,2439,1757
22 a 23,11,2648,1949
23 a 24,22,1588,1712
24 a 25,25,1567,1800
dai 20 ai 25,9848,9111,18959
25 anni compiuti a 26,1613,1827,3440
26 a 27,33,1672,1731
27 a 28,51,1545,1655
30 anni compiuti a,65,1592,1688
29 a 30,55,1494,1376
dai 25 ai 30,7916,8287,16203
30 anni compiuti a 31,1614,1862,3476
31 a 32,68,1457,1369
32 a 33,97,1382,1421
33 a 34,94,1376,1365
34 a 35,84,1269,1241
dai 30 ai 35,7098,7238,14336
Da 35 anni compiuti a 36,372,305,606
36 a 37,189,293,514
37 a 38,242,278,520
38 a 39,250,217,467
39 a 40,189,224,413
dai 35 ai 40,1339,1639,2978
40 anni compiuti a 41,201,213,414
41 a 42,183,204,387
42 a 43,160,155,315
43 a 44,126,133,259
44 a 45,94,93,184
dai 40 ai 45,764,795,1559
45 anni compiuti a 46,119,153,272
46 a 47,82,116,198
47 a 48,53,60,113
48 a 49,50,30,80
49 a 50,31,47,78
dai 45 ai 50,335,406,741
50 anni compiuti a 51,35,45,80
51 a 52,23,31,54
52 a 53,14,18,32
53 a 54,18,18,36
54 a 55,5,18,23
dai 50 ai 55,95,130,225
55 anni compiuti a 56,6,23,29
56 a 57,6,10,16
57 a 58,1,3,4
58 a 59,0,4,4
59 a 60,1,8,9
dai 55 ai 50,14,48,62
60 anni compiuti a 61,2,2,4
61 a 62,2,4,6
62 a 63,2,2,2
63 a 64,0,5,5
64 a 65,0,0,0
dai 60 ai 65,4,13,17
65 anni compiuti a 66,1,0,1
66 a 67,9,22,31
67 a 68,89057,90458,179515
