Age_column,Male_column,Female_column,Total
Dalla nascita a 1 anno,101,67,168
1 anno compiuto a 2,79,73,152
2 anni compiuti a 3,59,78,137
3 a 4,66,84,150
4 a 5,65,71,136
dalla nascita a 5,269,306,575
5 anni compiuti a 6,83,79,162
6  a 7,69,61,130
7 a 8,69,77,146
8 a 9,61,50,111
9  a 10,74,70,144
dai 5 ai 10,356,337,693
10 anni compiuti a 11,80,65,145
11  a 12,67,68,135
12 a 13,86,77,163
13 a 14,78,73,151
14 a 15,66,78,139
dai 10  ai 15,377,356,733
15 anni compiuti a 16,63,72,135
16 a 17,70,68,138
17 a 18,77,74,151
18 a 19,57,66,123
19 a 20,71,66,137
dai 15 ai 20,338,346,684
20 anni compiuti a 21,57,78,135
21 a 22,57,68,125
22 a 23,66,73,139
23 a 24,53,54,107
24 a 25,44,47,91
dai 20 ai 25,277,320,597
25 anni compiuti a 26,60,72,132
26 a 27,44,57,101
27 a 28,61,48,109
30 anni compiuti a,56,46,101
29 a 30,57,58,115
dai 25 ai 30,277,284,558
30 anni compiuti a 31,55,63,118
31 a 32,38,56,94
32 a 33,45,62,107
33 a 34,35,46,81
34 a 35,48,52,100
dai 30 ai 35,221,279,500
Da 35 anni compiuti a 36,36,48,84
36 a 37,54,47,101
37 a 38,35,65,100
38 a 39,46,49,95
39 a 40,44,57,101
dai 35 ai 40,215,266,481
40 anni compiuti a 41,25,45,70
41 a 42,46,53,99
42 a 43,51,47,98
43 a 44,48,39,87
44 a 45,38,40,78
dai 40 ai 45,208,224,432
45 anni compiuti a 46,35,38,73
46 a 47,36,36,72
47 a 48,37,41,78
48 a 49,37,33,72
49 a 50,32,27,59
dai 45 ai 50,177,177,354
50 anni compiuti a 51,47,32,79
51 a 52,38,31,69
52 a 53,39,33,72
53 a 54,32,40,72
54 a 55,28,33,61
dai 50 ai 55,184,169,353
55 anni compiuti a 56,28,22,50
56 a 57,31,29,60
57 a 58,33,29,62
58 a 59,31,25,56
59 a 60,25,24,49
dai 55 ai 50,148,129,277
60 anni compiuti a 61,23,31,54
61 a 62,15,21,36
62 a 63,30,24,54
63 a 64,22,17,39
64 a 65,22,17,39
dai 60 ai 65,112,110,222
65 anni compiuti a 66,17,16,33
66 a 67,18,14,32
67 a 68,22,16,38
68 a 69,11,12,23
69 a 70,15,14,29
dai 65 ai 70,83,72,155
70 anni compiuti a 71,10,15,25
71 a 72,10,17,27
72 a 73,16,8,24
73 a 74,10,10,20
74 a 75,7,9,16
dai 70 ai 75,53,39,112
75 anni compiuti a 76,8,10,18
76 a 77,15,4,19
77 a 78,7,8,15
78 a 79,5,8,13
79 a 80,2,10,12
dai 75 a 80,37,49,77
80 anni compiuti a 81,1,5,6
81 a 82,1,3,4
82 a 83,1,0,1
83 a 84,1,1,2
84 a 85,0,0,0
da 80 a 85 anni,4,9,13
85 anni compiuti a 86,1,1,2
86 a 87,1,1,2
87 a 88,0,0,0
88 a 89,0,0,0
89 a 90,1,2,0
da 85 a 90 anni,3,6,0
90 anni compiuti a 91,0,0,0
91 a 92,0,0,0
92 a 93,0,0,0
93 a 94,0,0,0
94 a 95,0,0,0
da 90 a 95,0,0,0
95 anni compiuti a 96,0,0,0
96 a 97,0,0,0
97 a 98,0,0,0
98 a 99,0,0,0
99 a 100,0,0,0
da 95 a 100,0,0,0
Centenari,0,0,0
ignota,0,0,0
Totale,3440,3550,6990
