Age_column,Male_column,Female_column,Total
Dalla nascita a 1 anno,2211,2240,4451
1 anno compiuto a 2,2561,2539,5100
2 anni compiuti a 3,2954,2969,5923
3 a 4,3007,3027,6034
4 a 5,2856,2904,5760
dalla nascita a 5,11378,11439,22817
5 anni compiuti a 6,2768,2925,5693
6  a 7,2806,2779,5585
7 a 8,2405,2568,4973
8 a 9,2360,2402,4761
9  a 10,2303,2429,4732
dai 5 ai 10,12651,13103,25754
10 anni compiuti a 11,2394,2371,4765
11  a 12,2432,2462,4894
12 a 13,2548,2498,5046
13 a 14,2620,2444,5064
14 a 15,2806,2665,5471
dai 10  ai 15,12700,12340,25040
15 anni compiuti a 16,3056,2742,5798
16 a 17,3051,2734,5785
17 a 18,3143,2810,5953
18 a 19,3210,3033,6243
19 a 20,2960,2817,5777
dai 15 ai 20,15420,14136,29556
20 anni compiuti a 21,3140,2811,5951
21 a 22,4535,2969,7404
22 a 23,4628,3189,7817
23 a 24,3347,2885,6232
24 a 25,3546,3118,6664
dai 20 ai 25,19196,14905,34101
25 anni compiuti a 26,3162,3189,6351
26 a 27,3301,3032,6333
27 a 28,2837,2953,5790
30 anni compiuti a,2956,2881,5837
29 a 30,2005,2899,5804
dai 25 ai 30,15161,14951,30112
30 anni compiuti a 31,3017,2902,5919
31 a 32,2901,2739,5643
32 a 33,2413,2408,4821
33 a 34,2661,3279,5940
34 a 35,2379,2553,4832
dai 30 ai 35,13491,13781,27185
Da 35 anni compiuti a 36,2505,2610,5244
36 a 37,205,2556,2624
37 a 38,240,2601,2628
38 a 39,222,2548,2462
39 a 40,207,2406,2306
dai 35 ai 40,12806,12669,25475
40 anni compiuti a 41,2489,2531,5020
41 a 42,275,2453,2401
42 a 43,268,2161,2093
43 a 44,299,2147,2125
44 a 45,287,1971,1828
dai 40 ai 45,11221,10978,22199
45 anni compiuti a 46,2268,2456,4664
46 a 47,362,1996,1853
47 a 48,344,1975,1858
48 a 49,395,1824,1765
49 a 50,314,1667,1463
dai 45 ai 50,9670,9395,19065
50 anni compiuti a 51,1956,1962,3918
51 a 52,483,1758,1710
52 a 53,438,1572,1588
53 a 54,432,1588,1484
54 a 55,461,1458,1428
dai 50 ai 55,8332,8172,16504
55 anni compiuti a 56,1463,1523,2986
56 a 57,455,1430,1348
57 a 58,436,1332,1268
58 a 59,400,1125,1076
59 a 60,460,1192,1132
dai 55 ai 50,6542,6147,12689
60 anni compiuti a 61,1315,1458,2773
61 a 62,608,1143,1265
62 a 63,508,1100,1002
63 a 64,488,901,906
64 a 65,536,915,1004
dai 60 ai 65,5373,5655,11028
65 anni compiuti a 66,825,927,1752
66 a 67,474,738,791
67 a 68,413,710,715
68 a 69,463,623,723
69 a 70,416,589,635
dai 65 ai 70,3185,3791,7276
70 anni compiuti a 71,601,721,1322
71 a 72,385,506,587
72 a 73,332,454,505
73 a 74,332,427,487
74 a 75,291,354,400
dai 70 ai 75,2312,2700,5012
75 anni compiuti a 76,311,391,702
76 a 77,262,248,343
77 a 78,209,204,275
78 a 79,162,147,202
79 a 80,130,144,161
dai 75 a 80,1654,1372,2426
80 anni compiuti a 81,114,140,251
81 a 82,100,94,118
82 a 83,48,47,56
83 a 84,43,35,49
84 a 85,47,34,55
da 80 a 85 anni,324,418,742
85 anni compiuti a 86,12,26,38
86 a 87,20,16,25
87 a 88,11,16,13
88 a 89,14,11,14
89 a 90,10,5,13
da 85 a 90 anni,60,91,151
90 anni compiuti a 91,9,14,23
91 a 92,2,7,9
92 a 93,1,2,3
93 a 94,0,1,1
94 a 95,0,1,1
da 90 a 95,12,25,37
95 anni compiuti a 96,0,2,2
96 a 97,1,1,2
97 a 98,0,0,0
98 a 99,0,1,0
99 a 100,0,1,0
da 95 a 100,2,4,6
Centenari,0,0,0
ignota,0,0,0
Totale,163344,158495,321839
