Age_column,Male_column,Female_column,Total
Dalla nascita a 1 anno,513,511,1024
1 anno compiuto a 2,449,426,875
2 anni compiuti a 3,486,507,993
3 a 4,548,518,1066
4 a 5,491,477,96
dalla nascita a 5,1974,1928,3902
5 anni compiuti a 6,514,544,1058
6  a 7,521,474,995
7 a 8,470,472,942
8 a 9,466,461,927
9  a 10,453,459,912
dai 5 ai 10,2424,2410,4834
10 anni compiuti a 11,510,486,996
11  a 12,469,517,986
12 a 13,512,477,989
13 a 14,527,494,1021
14 a 15,528,494,1022
dai 10  ai 15,2546,2463,5004
15 anni compiuti a 16,587,518,1105
16 a 17,540,550,1090
17 a 18,581,556,1137
18 a 19,1,589,559
19 a 20,1,524,552
dai 15 ai 20,2821,2735,5556
20 anni compiuti a 21,521,533,1054
21 a 22,1111,444,1555
22 a 23,1345,570,1915
23 a 24,713,500,1213
24 a 25,653,543,1202
dai 20 ai 25,4343,2396,6939
25 anni compiuti a 26,513,524,1037
26 a 27,494,573,1067
27 a 28,415,458,873
30 anni compiuti a,414,471,885
29 a 30,443,438,881
dai 25 ai 30,2279,2464,4743
30 anni compiuti a 31,448,502,950
31 a 32,406,448,854
32 a 33,401,423,824
33 a 34,432,549,981
34 a 35,422,439,861
dai 30 ai 35,2109,2361,4470
Da 35 anni compiuti a 36,422,468,890
36 a 37,40,440,499
37 a 38,42,414,456
38 a 39,38,441,466
39 a 40,27,392,437
dai 35 ai 40,179,2109,2326
40 anni compiuti a 41,469,555,1024
41 a 42,56,444,488
42 a 43,56,417,449
43 a 44,52,403,364
44 a 45,50,379,390
dai 40 ai 45,268,2112,2196
45 anni compiuti a 46,439,505,944
46 a 47,62,346,332
47 a 48,59,351,353
48 a 49,71,383,325
49 a 50,68,320,324
dai 45 ai 50,352,1839,1859
50 anni compiuti a 51,399,407,806
51 a 52,81,328,317
52 a 53,91,318,338
53 a 54,76,305,277
54 a 55,96,298,335
dai 50 ai 55,455,1648,1674
55 anni compiuti a 56,308,352,660
56 a 57,84,297,288
57 a 58,95,294,272
58 a 59,90,258,264
59 a 60,82,225,244
dai 55 ai 50,466,1382,1420
60 anni compiuti a 61,305,354,659
61 a 62,110,228,238
62 a 63,99,233,228
63 a 64,90,198,194
64 a 65,77,201,177
dai 60 ai 65,535,1165,1191
65 anni compiuti a 66,181,193,374
66 a 67,83,157,155
67 a 68,88,141,143
68 a 69,71,143,132
69 a 70,47,134,87
dai 65 ai 70,386,756,700
70 anni compiuti a 71,134,166,300
71 a 72,108,122,230
72 a 73,105,91,196
73 a 74,69,154,1
74 a 75,74,76,150
dai 70 ai 75,506,524,1030
75 anni compiuti a 76,72,70,142
76 a 77,55,68,123
77 a 78,57,57,114
78 a 79,44,44,88
79 a 80,27,44,71
dai 75 a 80,255,283,538
80 anni compiuti a 81,27,33,60
81 a 82,10,29,39
82 a 83,13,10,23
83 a 84,13,9,22
84 a 85,10,6,16
da 80 a 85 anni,73,87,160
85 anni compiuti a 86,4,5,9
86 a 87,3,4,7
87 a 88,6,2,8
88 a 89,4,1,5
89 a 90,1,1,1
da 85 a 90 anni,17,13,30
90 anni compiuti a 91,1,1,2
91 a 92,2,2,4
92 a 93,2,1,3
93 a 94,1,1,1
94 a 95,1,1,2
da 90 a 95,6,6,12
95 anni compiuti a 96,1,0,1
96 a 97,0,0,0
97 a 98,0,0,0
98 a 99,0,0,0
99 a 100,0,0,0
da 95 a 100,1,0,1
Centenari,0,0,0
ignota,0,0,0
Totale,30878,29752,60630
