Age_column,Male_column,Female_column,Total
Dalla nascita a 1 anno,250,204,454
1 anno compiuto a 2,231,221,452
2 anni compiuti a 3,275,287,562
3 a 4,297,263,560
4 a 5,245,287,532
dalla nascita a 5,1048,1058,2106
5 anni compiuti a 6,282,277,559
6  a 7,241,249,490
7 a 8,262,268,530
8 a 9,231,257,488
9  a 10,219,248,462
dai 5 ai 10,1235,1294,2529
10 anni compiuti a 11,245,218,463
11  a 12,266,253,519
12 a 13,287,300,587
13 a 14,258,252,510
14 a 15,281,278,559
dai 10  ai 15,1337,1301,2638
15 anni compiuti a 16,307,327,634
16 a 17,276,314,590
17 a 18,297,285,582
18 a 19,268,290,558
19 a 20,259,252,511
dai 15 ai 20,1407,1468,2875
20 anni compiuti a 21,226,275,501
21 a 22,638,225,863
22 a 23,617,259,876
23 a 24,253,253,506
24 a 25,253,271,523
dai 20 ai 25,1986,1283,3269
25 anni compiuti a 26,247,234,481
26 a 27,257,258,515
27 a 28,232,235,467
30 anni compiuti a,213,236,449
29 a 30,206,204,410
dai 25 ai 30,1155,1167,2322
30 anni compiuti a 31,196,230,426
31 a 32,204,212,416
32 a 33,187,186,373
33 a 34,191,262,453
34 a 35,148,186,334
dai 30 ai 35,926,1076,2002
Da 35 anni compiuti a 36,188,220,408
36 a 37,175,209,384
37 a 38,212,237,449
38 a 39,212,206,418
39 a 40,200,201,401
dai 35 ai 40,987,1073,2060
40 anni compiuti a 41,203,229,432
41 a 42,221,208,429
42 a 43,210,233,443
43 a 44,184,177,361
44 a 45,167,177,344
dai 40 ai 45,985,1024,2009
45 anni compiuti a 46,201,218,419
46 a 47,158,174,332
47 a 48,171,174,345
48 a 49,187,194,381
49 a 50,154,122,276
dai 45 ai 50,871,882,1753
50 anni compiuti a 51,179,240,419
51 a 52,156,165,321
52 a 53,163,148,311
53 a 54,146,116,262
54 a 55,132,134,266
dai 50 ai 55,776,803,1579
55 anni compiuti a 56,156,156,306
56 a 57,126,172,298
57 a 58,137,137,274
58 a 59,102,138,240
59 a 60,108,118,226
dai 55 ai 50,629,715,1344
60 anni compiuti a 61,153,197,350
61 a 62,106,123,229
62 a 63,124,104,228
63 a 64,84,90,174
64 a 65,94,92,186
dai 60 ai 65,561,606,1167
65 anni compiuti a 66,88,80,168
66 a 67,91,94,185
67 a 68,74,81,155
68 a 69,76,77,153
69 a 70,72,69,141
dai 65 ai 70,401,401,802
70 anni compiuti a 71,82,100,182
71 a 72,33,50,49
72 a 73,30,53,56
73 a 74,36,42,48
74 a 75,26,36,42
dai 70 ai 75,272,295,567
75 anni compiuti a 76,49,51,100
76 a 77,30,33,38
77 a 78,28,33,35
78 a 79,22,18,29
79 a 80,11,18,15
dai 75 a 80,151,168,319
80 anni compiuti a 81,24,20,44
81 a 82,13,10,18
82 a 83,7,9,9
83 a 84,4,9,4
84 a 85,4,3,4
da 80 a 85 anni,55,55,110
85 anni compiuti a 86,5,8,13
86 a 87,4,2,6
87 a 88,2,1,3
88 a 89,1,1,1
89 a 90,2,2,3
da 85 a 90 anni,13,17,30
90 anni compiuti a 91,2,1,3
91 a 92,0,1,1
92 a 93,0,0,0
93 a 94,0,1,1
94 a 95,0,1,1
da 90 a 95,2,4,6
95 anni compiuti a 96,0,0,0
96 a 97,0,0,0
97 a 98,0,0,0
98 a 99,0,0,0
99 a 100,0,0,0
da 95 a 100,0,0,0
Centenari,0,0,0
ignota,0,0,0
Totale,15047,14894,29941
