Age_column,Male_column,Female_column,Total
Dalla nascita a 1 anno,COMUNE DI VERONA.,COMUNE DI VERONA.,COMUNE DI VERONA.
1 anno compiuto a 2,637,569,1206
2 anni compiuti a 3,532,573,1105
3 a 4,569,571,1140
4 a 5,555,585,1140
dalla nascita a 5,546,544,1090
5 anni compiuti a 6,532,561,1093
6  a 7,548,481,1029
7 a 8,493,461,954
8 a 9,545,494,1039
9  a 10,494,520,1014
dai 5 ai 10,503,496,999
10 anni compiuti a 11,563,505,1068
11  a 12,571,549,1120
12 a 13,576,507,1083
13 a 14,551,506,1057
14 a 15,634,600,1234
dai 10  ai 15,604,688,1292
15 anni compiuti a 16,577,591,1168
16 a 17,639,636,1295
17 a 18,630,571,1201
18 a 19,3102,3036,6138
19 a 20,619,632,1251
dai 15 ai 20,2264,567,2831
20 anni compiuti a 21,1,2449,631
21 a 22,6,769,565
22 a 23,653,556,1209
23 a 24,2951,9705,78
24 a 25,571,510,1081
dai 20 ai 25,591,563,1154
25 anni compiuti a 26,546,553,1099
26 a 27,493,538,1031
27 a 28,506,579,1085
30 anni compiuti a,2743,5450,21
29 a 30,502,482,984
dai 25 ai 30,459,432,891
30 anni compiuti a 31,386,419,805
31 a 32,433,575,1008
32 a 33,440,479,919
33 a 34,2387,4607,11
34 a 35,481,489,970
dai 30 ai 35,494,511,1005
Da 35 anni compiuti a 36,461,547,1008
36 a 37,473,470,913
37 a 38,476,460,936
38 a 39,2385,2477,4862
39 a 40,426,499,925
dai 35 ai 40,435,498,933
40 anni compiuti a 41,452,444,896
41 a 42,423,421,843
42 a 43,388,373,761
43 a 44,2123,2235,4358
44 a 45,400,518,918
dai 40 ai 45,395,382,717
45 anni compiuti a 46,377,334,711
46 a 47,372,338,710
47 a 48,323,293,616
48 a 49,1837,1865,3702
49 a 50,376,369,745
dai 45 ai 50,328,368,696
50 anni compiuti a 51,376,363,739
51 a 52,318,303,621
52 a 53,339,353,692
53 a 54,1737,1756,3493
54 a 55,336,375,711
dai 50 ai 55,327,312,639
55 anni compiuti a 56,311,325,636
56 a 57,282,303,585
57 a 58,299,314,613
58 a 59,1555,1629,3184
59 a 60,303,317,620
dai 55 ai 50,293,339,632
60 anni compiuti a 61,282,291,573
61 a 62,264,284,548
62 a 63,234,330,564
63 a 64,1376,1551,2927
64 a 65,218,190,408
dai 60 ai 65,216,180,396
65 anni compiuti a 66,181,197,378
66 a 67,186,176,362
67 a 68,117,152,290
68 a 69,918,895,1813
69 a 70,174,192,366
dai 65 ai 70,132,152,284
70 anni compiuti a 71,157,144,301
71 a 72,94,112,206
72 a 73,100,109,209
73 a 74,657,709,1366
74 a 75,89,97,186
dai 70 ai 75,66,97,163
75 anni compiuti a 76,48,66,114
76 a 77,40,54,94
77 a 78,56,54,110
78 a 79,299,368,667
79 a 80,37,48,85
dai 75 a 80,26,29,55
80 anni compiuti a 81,18,22,40
81 a 82,18,14,32
82 a 83,8,14,22
83 a 84,107,127,234
84 a 85,12,7,19
da 80 a 85 anni,8,8,16
85 anni compiuti a 86,3,6,9
86 a 87,3,1,4
87 a 88,5,8,0
88 a 89,31,25,56
89 a 90,1,2,3
da 85 a 90 anni,3,0,3
90 anni compiuti a 91,2,1,3
91 a 92,1,1,2
92 a 93,0,1,1
93 a 94,7,5,12
94 a 95,0,0,0
da 90 a 95,0,0,0
95 anni compiuti a 96,0,0,0
96 a 97,0,0,0
97 a 98,0,0,0
98 a 99,0,0,0
99 a 100,0,0,0
da 95 a 100,0,0,0
Centenari,35060,32681,68741
