Age_column,Male_column,Female_column,Total
Dalla nascita a 1 anno,504,510,1014
1 anno compiuto a 2,319,335,654
2 anni compiuti a 3,447,425,872
3 a 4,399,391,793
4 a 5,365,353,718
dalla nascita a 5,1530,1507,3037
5 anni compiuti a 6,383,397,780
6  a 7,379,389,768
7 a 8,316,326,642
8 a 9,327,333,660
9  a 10,380,329,709
dai 5 ai 10,1785,1774,3559
10 anni compiuti a 11,328,343,671
11  a 12,345,330,673
12 a 13,392,321,713
13 a 14,341,323,664
14 a 15,348,294,642
dai 10  ai 15,1752,1611,3363
15 anni compiuti a 16,381,340,721
16 a 17,380,371,751
17 a 18,384,392,776
18 a 19,390,344,674
19 a 20,280,329,609
dai 15 ai 20,1755,1776,3531
20 anni compiuti a 21,315,336,651
21 a 22,447,319,766
22 a 23,531,386,917
23 a 24,433,279,712
24 a 25,397,330,727
dai 20 ai 25,2123,1650,3773
25 anni compiuti a 26,306,290,596
26 a 27,270,294,564
27 a 28,260,254,514
30 anni compiuti a,264,309,573
29 a 30,247,255,502
dai 25 ai 30,1347,1402,2749
30 anni compiuti a 31,273,289,562
31 a 32,257,248,485
32 a 33,197,238,425
33 a 34,281,342,623
34 a 35,215,211,486
dai 30 ai 35,1253,1328,2581
Da 35 anni compiuti a 36,280,304,584
36 a 37,265,309,574
37 a 38,264,208,566
38 a 39,268,268,556
39 a 40,237,272,509
dai 35 ai 40,1314,1475,2789
40 anni compiuti a 41,263,313,576
41 a 42,265,301,566
42 a 43,257,262,519
43 a 44,237,233,470
44 a 45,244,229,473
dai 40 ai 45,1266,1338,2604
45 anni compiuti a 46,268,278,546
46 a 47,206,220,426
47 a 48,207,216,423
48 a 49,193,204,397
49 a 50,166,175,341
dai 45 ai 50,1040,1095,2133
50 anni compiuti a 51,172,244,416
51 a 52,167,181,348
52 a 53,185,234,419
53 a 54,188,176,364
54 a 55,178,187,365
dai 50 ai 55,890,1022,1912
55 anni compiuti a 56,195,214,409
56 a 57,215,215,430
57 a 58,187,190,377
58 a 59,172,156,328
59 a 60,195,197,392
dai 55 ai 50,964,972,1936
60 anni compiuti a 61,181,197,378
61 a 62,152,166,318
62 a 63,154,165,319
63 a 64,113,130,243
64 a 65,134,143,277
dai 60 ai 65,734,801,1535
65 anni compiuti a 66,115,157,272
66 a 67,106,130,236
67 a 68,123,98,221
68 a 69,142,136,278
69 a 70,94,107,201
dai 65 ai 70,586,628,1214
70 anni compiuti a 71,108,133,241
71 a 72,96,93,189
72 a 73,96,96,186
73 a 74,65,87,152
74 a 75,56,85,141
dai 70 ai 75,421,488,909
75 anni compiuti a 76,68,73,135
76 a 77,49,70,119
77 a 78,55,47,102
78 a 79,41,55,96
79 a 80,44,41,85
dai 75 a 80,251,286,537
80 anni compiuti a 81,32,41,73
81 a 82,32,20,52
82 a 83,17,16,33
83 a 84,12,12,24
84 a 85,8,10,18
da 80 a 85 anni,101,99,200
85 anni compiuti a 86,9,6,15
86 a 87,4,12,16
87 a 88,3,5,8
88 a 89,0,2,2
89 a 90,0,2,2
da 85 a 90 anni,16,27,43
90 anni compiuti a 91,1,1,2
91 a 92,2,3,5
92 a 93,2,2,2
93 a 94,1,1,1
94 a 95,0,1,1
da 90 a 95,4,7,11
95 anni compiuti a 96,0,0,0
96 a 97,0,1,0
97 a 98,0,0,0
98 a 99,0,0,0
99 a 100,0,0,0
da 95 a 100,0,1,0
Centenari,0,0,0
ignota,0,0,0
Totale,19637,19794,39431
