Age_column,Male_column,Female_column,Total
Dalla nascita a 1 anno,344,361,705
1 anno compiuto a 2,271,273,544
2 anni compiuti a 3,322,308,630
3 a 4,310,305,615
4 a 5,327,312,639
dalla nascita a 5,1230,1198,2428
5 anni compiuti a 6,353,332,685
6  a 7,345,329,674
7 a 8,280,299,579
8 a 9,304,244,548
9  a 10,289,309,598
dai 5 ai 10,1571,1543,3084
10 anni compiuti a 11,361,272,633
11  a 12,307,300,607
12 a 13,332,313,645
13 a 14,337,283,620
14 a 15,322,275,597
dai 10  ai 15,1659,1443,3102
15 anni compiuti a 16,393,334,727
16 a 17,334,298,632
17 a 18,317,318,635
18 a 19,309,301,610
19 a 20,286,266,552
dai 15 ai 20,1639,1517,3156
20 anni compiuti a 21,268,283,551
21 a 22,642,239,881
22 a 23,705,263,968
23 a 24,306,227,533
24 a 25,263,229,492
dai 20 ai 25,2184,1241,3425
25 anni compiuti a 26,298,222,460
26 a 27,209,251,460
27 a 28,176,217,393
30 anni compiuti a,218,231,449
29 a 30,208,211,419
dai 25 ai 30,1049,1132,2181
30 anni compiuti a 31,194,198,392
31 a 32,169,186,355
32 a 33,175,156,331
33 a 34,191,213,404
34 a 35,176,184,360
dai 30 ai 35,905,937,1842
Da 35 anni compiuti a 36,809,832,431
36 a 37,10,205,218
37 a 38,16,211,233
38 a 39,14,189,195
39 a 40,13,184,198
dai 35 ai 40,999,1066,2065
40 anni compiuti a 41,309,338,438
41 a 42,21,179,176
42 a 43,14,177,175
43 a 44,12,171,161
44 a 45,27,167,183
dai 40 ai 45,894,933,1827
45 anni compiuti a 46,197,197,394
46 a 47,22,158,149
47 a 48,20,173,139
48 a 49,34,158,163
49 a 50,21,134,127
dai 45 ai 50,820,775,1595
50 anni compiuti a 51,158,155,313
51 a 52,33,134,140
52 a 53,31,140,142
53 a 54,29,140,116
54 a 55,43,116,136
dai 50 ai 55,688,689,1377
55 anni compiuti a 56,145,141,286
56 a 57,44,141,142
57 a 58,36,149,129
58 a 59,52,105,144
59 a 60,36,117,130
dai 55 ai 50,657,686,1343
60 anni compiuti a 61,147,137,284
61 a 62,52,121,122
62 a 63,47,103,101
63 a 64,50,106,104
64 a 65,49,97,113
dai 60 ai 65,574,576,1150
65 anni compiuti a 66,91,90,181
66 a 67,38,79,70
67 a 68,37,103,77
68 a 69,44,81,87
69 a 70,48,56,81
dai 65 ai 70,410,403,813
70 anni compiuti a 71,68,84,152
71 a 72,71,80,151
72 a 73,67,74,141
73 a 74,51,61,115
74 a 75,39,52,91
dai 70 ai 75,299,351,650
75 anni compiuti a 76,44,49,93
76 a 77,29,41,70
77 a 78,46,47,93
78 a 79,21,42,63
79 a 80,14,18,32
dai 75 a 80,154,197,351
80 anni compiuti a 81,18,18,36
81 a 82,8,10,18
82 a 83,7,8,15
83 a 84,11,12,23
84 a 85,9,4,13
da 80 a 85 anni,53,52,105
85 anni compiuti a 86,6,7,13
86 a 87,5,6,11
87 a 88,3,4,7
88 a 89,2,1,3
89 a 90,0,1,1
da 85 a 90 anni,16,19,35
90 anni compiuti a 91,4,0,4
91 a 92,2,2,4
92 a 93,1,1,2
93 a 94,0,0,0
94 a 95,1,0,1
da 90 a 95,8,3,11
95 anni compiuti a 96,1,0,1
96 a 97,0,1,1
97 a 98,0,0,0
98 a 99,0,0,0
99 a 100,0,0,0
da 95 a 100,1,2,0
Centenari,0,0,0
ignota,0,0,0
Totale,15154,15095,31249
