Age_column,Male_column,Female_column,Total
Dalla nascita a 1 anno,812,845,1657
1 anno compiuto a 2,702,649,1351
2 anni compiuti a 3,737,706,1443
3 a 4,698,737,1435
4 a 5,641,661,1302
dalla nascita a 5,2778,2743,5521
5 anni compiuti a 6,643,778,1421
6  a 7,670,648,1318
7 a 8,586,611,1197
8 a 9,673,653,1326
9  a 10,610,636,1246
dai 5 ai 10,3191,3126,6317
10 anni compiuti a 11,686,617,1303
11  a 12,572,587,1159
12 a 13,619,610,1229
13 a 14,651,633,1284
14 a 15,601,618,1219
dai 10  ai 15,3129,3065,6194
15 anni compiuti a 16,670,677,1347
16 a 17,688,655,1343
17 a 18,667,599,1266
18 a 19,673,741,1414
19 a 20,613,640,1253
dai 15 ai 20,3311,3312,6623
20 anni compiuti a 21,603,704,1307
21 a 22,1369,595,1955
22 a 23,1412,638,2050
23 a 24,894,581,1385
24 a 25,736,579,1315
dai 20 ai 25,4815,3097,7912
25 anni compiuti a 26,596,607,1203
26 a 27,526,552,1078
27 a 28,486,480,966
30 anni compiuti a,488,489,977
29 a 30,517,492,1009
dai 25 ai 30,2613,2620,5233
30 anni compiuti a 31,555,520,1055
31 a 32,467,442,909
32 a 33,438,457,915
33 a 34,477,534,1011
34 a 35,446,449,895
dai 30 ai 35,2385,2435,4818
Da 35 anni compiuti a 36,501,549,1050
36 a 37,392,11,35
37 a 38,385,14,33
38 a 39,352,11,26
39 a 40,319,21,30
dai 35 ai 40,2399,2550,4949
40 anni compiuti a 41,507,500,1007
41 a 42,316,16,44
42 a 43,311,28,71
43 a 44,299,18,53
44 a 45,278,22,58
dai 40 ai 45,2276,2322,4598
45 anni compiuti a 46,435,475,910
46 a 47,223,24,62
47 a 48,306,29,69
48 a 49,235,17,57
49 a 50,214,18,53
dai 45 ai 50,1877,1975,3852
50 anni compiuti a 51,369,452,821
51 a 52,202,19,86
52 a 53,215,30,83
53 a 54,192,21,72
54 a 55,207,34,68
dai 50 ai 55,1729,1817,3546
55 anni compiuti a 56,338,357,695
56 a 57,189,29,91
57 a 58,205,41,98
58 a 59,147,44,98
59 a 60,187,46,100
dai 55 ai 50,1659,1671,3330
60 anni compiuti a 61,305,379,678
61 a 62,130,41,105
62 a 63,102,51,104
63 a 64,82,50,33
64 a 65,105,42,119
dai 60 ai 65,4163,4370,2733
65 anni compiuti a 66,198,205,403
66 a 67,78,36,98
67 a 68,98,67,48
68 a 69,66,42,128
69 a 70,44,42,77
dai 65 ai 70,886,968,1854
70 anni compiuti a 71,155,214,369
71 a 72,105,147,165
72 a 73,111,139,165
73 a 74,93,128,134
74 a 75,89,100,129
dai 70 ai 75,678,866,1481
75 anni compiuti a 76,107,119,226
76 a 77,72,85,109
77 a 78,85,84,108
78 a 79,53,70,71
79 a 80,48,69,61
dai 75 a 80,415,468,883
80 anni compiuti a 81,53,70,123
81 a 82,38,35,49
82 a 83,22,22,25
83 a 84,29,29,33
84 a 85,16,15,18
da 80 a 85 anni,145,195,340
85 anni compiuti a 86,11,15,26
86 a 87,14,9,15
87 a 88,7,10,8
88 a 89,4,2,4
89 a 90,6,6,6
da 85 a 90 anni,38,48,86
90 anni compiuti a 91,3,5,0
91 a 92,1,1,2
92 a 93,1,1,1
93 a 94,2,1,3
94 a 95,0,0,0
da 90 a 95,5,6,11
95 anni compiuti a 96,2,2,2
96 a 97,0,0,0
97 a 98,0,1,1
98 a 99,0,0,0
99 a 100,0,0,0
da 95 a 100,3,3,3
Centenari,0,0,0
ignota,0,0,0
Totale,36532,35542,72174
