Age_column,Male_column,Female_column,Total
Dalla nascita a 1 anno,159,145,304
1 anno compiuto a 2,101,90,191
2 anni compiuti a 3,115,132,247
3 a 4,130,134,264
4 a 5,119,110,229
dalla nascita a 5,465,466,931
5 anni compiuti a 6,111,121,232
6  a 7,124,119,243
7 a 8,106,107,213
8 a 9,93,104,197
9  a 10,118,110,228
dai 5 ai 10,552,561,1113
10 anni compiuti a 11,115,112,227
11  a 12,97,107,204
12 a 13,114,93,207
13 a 14,100,106,206
14 a 15,99,82,181
dai 10  ai 15,525,500,1025
15 anni compiuti a 16,122,121,243
16 a 17,95,92,187
17 a 18,85,106,191
18 a 19,129,101,230
19 a 20,89,108,197
dai 15 ai 20,520,528,1048
20 anni compiuti a 21,87,97,184
21 a 22,108,73,181
22 a 23,115,96,211
23 a 24,73,80,153
24 a 25,78,84,162
dai 20 ai 25,461,430,891
25 anni compiuti a 26,83,85,168
26 a 27,79,77,156
27 a 28,64,78,142
30 anni compiuti a,69,81,150
29 a 30,79,76,155
dai 25 ai 30,374,397,771
30 anni compiuti a 31,108,90,198
31 a 32,73,78,151
32 a 33,58,60,118
33 a 34,91,109,200
34 a 35,79,90,169
dai 30 ai 35,409,427,836
Da 35 anni compiuti a 36,77,96,173
36 a 37,77,76,153
37 a 38,90,97,187
38 a 39,65,84,149
39 a 40,75,73,148
dai 35 ai 40,384,426,810
40 anni compiuti a 41,77,91,168
41 a 42,99,85,184
42 a 43,83,87,170
43 a 44,59,64,123
44 a 45,67,62,129
dai 40 ai 45,385,389,774
45 anni compiuti a 46,81,70,151
46 a 47,55,55,110
47 a 48,65,80,145
48 a 49,77,56,133
49 a 50,63,49,112
dai 45 ai 50,341,310,651
50 anni compiuti a 51,72,75,147
51 a 52,62,54,116
52 a 53,56,62,118
53 a 54,69,38,98
54 a 55,54,72,126
dai 50 ai 55,304,301,605
55 anni compiuti a 56,43,62,105
56 a 57,57,53,110
57 a 58,41,53,94
58 a 59,39,43,82
59 a 60,49,47,96
dai 55 ai 50,229,258,487
60 anni compiuti a 61,63,58,121
61 a 62,43,38,81
62 a 63,39,40,79
63 a 64,27,38,65
64 a 65,50,39,89
dai 60 ai 65,222,213,435
65 anni compiuti a 66,29,33,62
66 a 67,29,29,58
67 a 68,40,25,65
68 a 69,34,27,61
69 a 70,15,35,50
dai 65 ai 70,147,149,296
70 anni compiuti a 71,29,40,69
71 a 72,29,21,50
72 a 73,33,26,59
73 a 74,11,26,40
74 a 75,20,17,37
dai 70 ai 75,125,130,255
75 anni compiuti a 76,24,23,47
76 a 77,12,10,31
77 a 78,13,13,26
78 a 79,15,18,33
79 a 80,11,4,15
dai 75 a 80,75,77,152
80 anni compiuti a 81,5,17,22
81 a 82,12,10,0
82 a 83,3,7,7
83 a 84,7,10,0
84 a 85,1,4,0
da 80 a 85 anni,22,40,62
85 anni compiuti a 86,1,2,3
86 a 87,1,4,5
87 a 88,1,2,0
88 a 89,1,3,0
89 a 90,0,0,0
da 85 a 90 anni,5,8,13
90 anni compiuti a 91,0,1,1
91 a 92,0,0,0
92 a 93,0,0,0
93 a 94,0,0,0
94 a 95,0,0,0
da 90 a 95,0,1,1
95 anni compiuti a 96,0,0,0
96 a 97,0,0,0
97 a 98,0,0,0
98 a 99,0,0,0
99 a 100,0,0,0
da 95 a 100,0,0,0
Centenari,0,0,0
ignota,5704,5755,11460
