Age_column,Male_column,Female_column,Total
Dalla nascita a 1 anno,323,307,630
1 anno compiuto a 2,286,267,553
2 anni compiuti a 3,266,260,526
3 a 4,282,277,559
4 a 5,280,265,545
dalla nascita a 5,1114,1118,2232
5 anni compiuti a 6,306,313,619
6  a 7,323,291,614
7 a 8,272,288,560
8 a 9,282,251,533
9  a 10,243,245,488
dai 5 ai 10,1426,1388,2814
10 anni compiuti a 11,218,248,466
11  a 12,237,269,506
12 a 13,328,321,649
13 a 14,278,285,563
14 a 15,296,312,608
dai 10  ai 15,1357,1435,2792
15 anni compiuti a 16,312,326,638
16 a 17,337,316,653
17 a 18,301,309,610
18 a 19,281,358,639
19 a 20,278,314,592
dai 15 ai 20,1509,1633,3132
20 anni compiuti a 21,315,317,632
21 a 22,1123,285,1408
22 a 23,1454,328,1782
23 a 24,546,283,829
24 a 25,348,206,614
dai 20 ai 25,3786,1479,5265
25 anni compiuti a 26,248,306,554
26 a 27,285,268,553
27 a 28,229,258,487
30 anni compiuti a,192,249,441
29 a 30,212,216,428
dai 25 ai 30,1166,1297,2463
30 anni compiuti a 31,260,295,555
31 a 32,204,209,413
32 a 33,186,200,386
33 a 34,170,311,481
34 a 35,165,204,369
dai 30 ai 35,985,1219,2204
Da 35 anni compiuti a 36,227,262,489
36 a 37,217,211,458
37 a 38,174,217,391
38 a 39,199,244,443
39 a 40,211,193,404
dai 35 ai 40,1028,1157,2185
40 anni compiuti a 41,260,294,554
41 a 42,233,199,427
42 a 43,248,239,487
43 a 44,195,203,398
44 a 45,168,203,371
dai 40 ai 45,1099,1138,2237
45 anni compiuti a 46,272,268,540
46 a 47,170,193,363
47 a 48,179,175,354
48 a 49,194,199,393
49 a 50,140,164,304
dai 45 ai 50,955,999,1954
50 anni compiuti a 51,276,334,610
51 a 52,155,159,314
52 a 53,158,192,350
53 a 54,187,156,343
54 a 55,201,159,360
dai 50 ai 55,977,1000,1977
55 anni compiuti a 56,186,192,378
56 a 57,139,171,310
57 a 58,136,124,260
58 a 59,151,152,303
59 a 60,138,138,276
dai 55 ai 50,750,777,1527
60 anni compiuti a 61,213,239,452
61 a 62,146,136,282
62 a 63,164,131,295
63 a 64,100,109,209
64 a 65,93,117,210
dai 60 ai 65,716,732,1448
65 anni compiuti a 66,111,103,214
66 a 67,103,97,200
67 a 68,86,91,177
68 a 69,78,91,169
69 a 70,59,59,118
dai 65 ai 70,437,441,878
70 anni compiuti a 71,103,124,227
71 a 72,57,62,119
72 a 73,52,77,129
73 a 74,57,49,106
74 a 75,53,47,100
dai 70 ai 75,322,359,681
75 anni compiuti a 76,39,44,83
76 a 77,48,51,99
77 a 78,32,36,68
78 a 79,34,26,60
79 a 80,29,27,56
dai 75 a 80,182,184,366
80 anni compiuti a 81,29,27,56
81 a 82,17,20,37
82 a 83,12,16,28
83 a 84,8,5,13
84 a 85,6,8,14
da 80 a 85 anni,72,76,148
85 anni compiuti a 86,5,7,12
86 a 87,3,4,7
87 a 88,7,6,13
88 a 89,2,3,5
89 a 90,4,4,8
da 85 a 90 anni,21,24,45
90 anni compiuti a 91,2,4,6
91 a 92,0,0,0
92 a 93,1,0,1
93 a 94,1,0,1
94 a 95,0,0,0
da 90 a 95,4,4,8
95 anni compiuti a 96,1,0,1
96 a 97,0,0,0
97 a 98,0,0,0
98 a 99,0,0,0
99 a 100,0,0,0
da 95 a 100,1,0,1
Centenari,0,0,0
ignota,0,0,0
Totale,18230,16757,34987
