Age_column,Male_column,Female_column,Total
Dalla nascita a 1 anno,395,425,820
1 anno compiuto a 2,312,324,636
2 anni compiuti a 3,364,347,711
3 a 4,350,350,700
4 a 5,354,358,692
dalla nascita a 5,1380,1359,2739
5 anni compiuti a 6,300,369,669
6  a 7,343,351,694
7 a 8,293,319,612
8 a 9,335,318,653
9  a 10,321,301,622
dai 5 ai 10,1592,1638,3230
10 anni compiuti a 11,317,322,639
11  a 12,353,330,683
12 a 13,387,382,769
13 a 14,390,357,747
14 a 15,355,388,743
dai 10  ai 15,1802,1779,3581
15 anni compiuti a 16,409,424,837
16 a 17,390,434,824
17 a 18,360,386,746
18 a 19,381,483,864
19 a 20,368,414,782
dai 15 ai 20,1903,2141,4043
20 anni compiuti a 21,389,415,804
21 a 22,893,419,1309
22 a 23,930,414,1344
23 a 24,483,392,875
24 a 25,458,399,857
dai 20 ai 25,3150,2039,5189
25 anni compiuti a 26,289,359,648
26 a 27,327,378,705
27 a 28,281,337,618
30 anni compiuti a,310,328,638
29 a 30,300,320,620
dai 25 ai 30,1507,1722,3229
30 anni compiuti a 31,388,342,670
31 a 32,279,302,581
32 a 33,259,293,559
33 a 34,319,304,683
34 a 35,253,275,528
dai 30 ai 35,1438,1576,3014
Da 35 anni compiuti a 36,380,331,611
36 a 37,244,329,573
37 a 38,255,304,559
38 a 39,308,288,596
39 a 40,237,293,530
dai 35 ai 40,1324,1545,2869
40 anni compiuti a 41,295,363,658
41 a 42,291,278,569
42 a 43,288,326,614
43 a 44,254,265,519
44 a 45,218,286,534
dai 40 ai 45,1376,1518,2894
45 anni compiuti a 46,265,343,608
46 a 47,271,272,543
47 a 48,264,267,531
48 a 49,272,287,559
49 a 50,241,279,520
dai 45 ai 50,1313,1448,2761
50 anni compiuti a 51,318,405,755
51 a 52,272,260,532
52 a 53,259,278,537
53 a 54,272,241,513
54 a 55,241,255,497
dai 50 ai 55,1395,1437,2832
55 anni compiuti a 56,271,277,548
56 a 57,237,257,494
57 a 58,241,248,489
58 a 59,208,223,431
59 a 60,210,229,439
dai 55 ai 50,1167,1234,2401
60 anni compiuti a 61,232,285,517
61 a 62,224,245,469
62 a 63,188,204,392
63 a 64,205,232,437
64 a 65,181,172,353
dai 60 ai 65,1030,1138,2168
65 anni compiuti a 66,147,166,313
66 a 67,134,159,293
67 a 68,129,162,291
68 a 69,129,140,269
69 a 70,113,124,237
dai 65 ai 70,652,751,1403
70 anni compiuti a 71,109,165,374
71 a 72,114,105,219
72 a 73,93,119,212
73 a 74,93,95,188
74 a 75,103,82,185
dai 70 ai 75,512,566,1078
75 anni compiuti a 76,97,108,205
76 a 77,52,90,142
77 a 78,47,60,107
78 a 79,41,59,100
79 a 80,39,49,88
dai 75 a 80,276,366,642
80 anni compiuti a 81,33,42,75
81 a 82,26,21,47
82 a 83,19,15,34
83 a 84,6,11,17
84 a 85,9,12,21
da 80 a 85 anni,93,101,194
85 anni compiuti a 86,12,10,22
86 a 87,8,8,16
87 a 88,10,9,19
88 a 89,2,7,9
89 a 90,5,4,9
da 85 a 90 anni,37,38,75
90 anni compiuti a 91,2,5,7
91 a 92,2,3,5
92 a 93,1,0,1
93 a 94,0,0,0
94 a 95,2,0,2
da 90 a 95,5,10,15
95 anni compiuti a 96,0,1,1
96 a 97,0,0,0
97 a 98,0,0,0
98 a 99,1,1,1
99 a 100,0,0,0
da 95 a 100,2,0,2
Centenari,0,0,0
ignota,10,8,18
Totale,2235,2285,4521
