Age_column,Male_column,Female_column,Total
Dalla nascita a 1 anno,691,670,1361
1 anno compiuto a 2,483,493,975
2 anni compiuti a 3,528,514,1042
3 a 4,501,493,994
4 a 5,507,465,972
dalla nascita a 5,2019,1964,3983
5 anni compiuti a 6,544,515,1059
6  a 7,515,477,992
7 a 8,441,448,889
8 a 9,439,463,902
9  a 10,424,440,864
dai 5 ai 10,2363,2343,4706
10 anni compiuti a 11,430,429,929
11  a 12,463,445,908
12 a 13,553,487,1040
13 a 14,465,469,934
14 a 15,437,464,901
dai 10  ai 15,2348,2364,4712
15 anni compiuti a 16,549,511,1'60
16 a 17,479,482,961
17 a 18,490,501,991
18 a 19,525,548,1074
19 a 20,447,452,899
dai 15 ai 20,2491,2494,4985
20 anni compiuti a 21,468,488,956
21 a 22,590,416,1006
22 a 23,690,508,1198
23 a 24,400,435,835
24 a 25,383,440,823
dai 20 ai 25,2531,2287,4818
25 anni compiuti a 26,301,423,814
26 a 27,419,422,841
27 a 28,4,338,368
30 anni compiuti a,382,410,792
29 a 30,334,335,669
dai 25 ai 30,1864,1918,3822
30 anni compiuti a 31,437,468,905
31 a 32,359,332,691
32 a 33,294,309,603
33 a 34,355,371,726
34 a 35,317,314,631
dai 30 ai 35,1762,1794,3556
Da 35 anni compiuti a 36,368,364,732
36 a 37,339,375,714
37 a 38,313,339,652
38 a 39,293,325,618
39 a 40,314,295,609
dai 35 ai 40,1627,1693,3320
40 anni compiuti a 41,377,424,801
41 a 42,342,296,638
42 a 43,313,277,620
43 a 44,294,248,542
44 a 45,262,271,533
dai 40 ai 45,1618,1516,3134
45 anni compiuti a 46,287,300,587
46 a 47,305,266,571
47 a 48,299,255,554
48 a 49,293,283,576
49 a 50,233,220,453
dai 45 ai 50,1417,1324,2741
50 anni compiuti a 51,387,384,771
51 a 52,213,228,441
52 a 53,281,213,494
53 a 54,261,240,501
54 a 55,248,210,458
dai 50 ai 55,1390,1275,2665
55 anni compiuti a 56,259,264,523
56 a 57,249,229,478
57 a 58,231,224,455
58 a 59,231,201,432
59 a 60,207,173,380
dai 55 ai 50,1177,1091,2268
60 anni compiuti a 61,256,299,555
61 a 62,191,168,359
62 a 63,179,180,359
63 a 64,100,172,262
64 a 65,170,165,335
dai 60 ai 65,986,984,1970
65 anni compiuti a 66,132,133,265
66 a 67,124,131,255
67 a 68,130,129,259
68 a 69,111,102,213
69 a 70,68,73,141
dai 65 ai 70,565,568,1133
70 anni compiuti a 71,147,125,272
71 a 72,94,74,168
72 a 73,86,77,163
73 a 74,69,70,139
74 a 75,53,47,100
dai 70 ai 75,449,393,842
75 anni compiuti a 76,50,64,114
76 a 77,51,40,91
77 a 78,53,44,97
78 a 79,36,42,78
79 a 80,20,23,43
dai 75 a 80,210,213,423
80 anni compiuti a 81,29,25,54
81 a 82,24,21,45
82 a 83,12,17,29
83 a 84,7,3,10
84 a 85,8,5,13
da 80 a 85 anni,80,71,151
85 anni compiuti a 86,6,10,16
86 a 87,3,8,11
87 a 88,3,5,8
88 a 89,1,3,4
89 a 90,2,8,10
da 85 a 90 anni,15,34,49
90 anni compiuti a 91,3,2,5
91 a 92,0,0,0
92 a 93,1,0,1
93 a 94,0,0,0
94 a 95,0,1,1
da 90 a 95,4,3,7
95 anni compiuti a 96,0,0,0
96 a 97,0,0,0
97 a 98,0,0,0
98 a 99,0,0,0
99 a 100,0,0,0
da 95 a 100,0,0,0
Centenari,0,0,0
ignota,0,0,0
Totale,25907,25044,50951
