Age_column,Male_column,Female_column,Total
Dalla nascita a 1 anno,667.0,633.0,1300.0
1 anno compiuto a 2,466.0,494.0,960.0
2 anni compiuti a 3,534.0,515.0,1049.0
3 a 4,513.0,523.0,1036.0
4 a 5,520.0,523.0,1043.0
dalla nascita a 5,2033.0,2055.0,4088.0
5 anni compiuti a 6,553.0,526.0,1079.0
6  a 7,493.0,485.0,978.0
7 a 8,463.0,462.0,924.0
8 a 9,504.0,462.0,966.0
9  a 10,451.0,458.0,909.0
dai 5 ai 10,2465.0,2393.0,4856.0
10 anni compiuti a 11,477.0,465.0,942.0
11  a 12,480.0,489.0,969.0
12 a 13,538.0,498.0,1036.0
13 a 14,502.0,474.0,976.0
14 a 15,518.0,491.0,1009.0
dai 10  ai 15,2515.0,2417.0,4932.0
15 anni compiuti a 16,560.0,536.0,1096.0
16 a 17,590.0,536.0,1126.0
17 a 18,622.0,549.0,1171.0
18 a 19,752.0,652.0,1404.0
19 a 20,554.0,553.0,1107.0
dai 15 ai 20,3078.0,2826.0,5904.0
20 anni compiuti a 21,568.0,512.0,1080.0
21 a 22,817.0,514.0,1331.0
22 a 23,893.0,606.0,1501.0
23 a 24,577.0,479.0,1056.0
24 a 25,530.0,448.0,978.0
dai 20 ai 25,3387.0,2559.0,5946.0
25 anni compiuti a 26,522.0,495.0,1017.0
26 a 27,523.0,587.0,1110.0
27 a 28,433.0,437.0,867.0
30 anni compiuti a,407.0,382.0,789.0
29 a 30,369.0,385.0,754.0
dai 25 ai 30,2231.0,2286.0,4537.0
30 anni compiuti a 31,431.0,878.0,2.0
31 a 32,448.0,384.0,832.0
32 a 33,405.0,380.0,785.0
33 a 34,379.0,452.0,831.0
34 a 35,379.0,393.0,772.0
dai 30 ai 35,2038.0,2040.0,4098.0
Da 35 anni compiuti a 36,446,427,873
36 a 37,376,425,801
37 a 38,375,393,769
38 a 39,399,333,743
39 a 40,322,317,639
dai 35 ai 40,1910,1915,3825
40 anni compiuti a 41,301,449,840
41 a 42,418,367,785
42 a 43,388,388,776
43 a 44,342,334,676
44 a 45,358,321,679
dai 40 ai 45,1897,1859,3756
45 anni compiuti a 46,375,395,770
46 a 47,534,318,652
47 a 48,316,302,618
48 a 49,313,298,611
49 a 50,286,250,486
dai 45 ai 50,1574,1565,3137
50 anni compiuti a 51,468,506,974
51 a 52,288,250,538
52 a 53,296,283,579
53 a 54,271,246,517
54 a 55,278,287,565
dai 50 ai 55,1601,1572,3173
55 anni compiuti a 56,279,303,589
56 a 57,326,298,624
57 a 58,304,270,574
58 a 59,253,266,519
59 a 60,252,206,458
dai 55 ai 50,1414,1343,2757
60 anni compiuti a 61,341,339,680
61 a 62,211,211,422
62 a 63,75,270,215
63 a 64,69,198,187
64 a 65,81,177,184
dai 60 ai 65,1197,1136,2333
65 anni compiuti a 66,151,162,313
66 a 67,85,154,173
67 a 68,92,179,165
68 a 69,77,168,138
69 a 70,46,124,97
dai 65 ai 70,769,735,1504
70 anni compiuti a 71,149,170,319
71 a 72,93,103,196
72 a 73,100,102,202
73 a 74,79,102,181
74 a 75,86,82,168
dai 70 ai 75,597,559,1066
75 anni compiuti a 76,68,69,137
76 a 77,61,77,138
77 a 78,56,75,131
78 a 79,43,53,96
79 a 80,44,32,76
dai 75 a 80,272,306,578
80 anni compiuti a 81,24,43,67
81 a 82,16,42,58
82 a 83,13,19,32
83 a 84,5,12,17
84 a 85,11,8,19
da 80 a 85 anni,69,124,193
85 anni compiuti a 86,10,13,23
86 a 87,7,4,11
87 a 88,3,11,14
88 a 89,2,8,10
89 a 90,6,3,9
da 85 a 90 anni,28,39,67
90 anni compiuti a 91,1,0,1
91 a 92,0,2,0
92 a 93,1,1,2
93 a 94,1,1,1
94 a 95,0,0,0
da 90 a 95,4,2,6
95 anni compiuti a 96,2,0,2
96 a 97,0,0,0
97 a 98,0,0,0
98 a 99,0,0,0
99 a 100,0,0,0
da 95 a 100,2,0,2
Centenari,0,0,0
ignota,0,0,0
Totale,29395,28352,58058
