Age_column,Male_column,Female_column,Total
Dalla nascita a 1 anno,746,698,1444
1 anno compiuto a 2,615,588,1203
2 anni compiuti a 3,640,555,1195
3 a 4,615,569,1184
4 a 5,668,599,1267
dalla nascita a 5,2538,2389,4927
5 anni compiuti a 6,656,601,1257
6  a 7,587,609,1196
7 a 8,493,499,992
8 a 9,549,548,1097
9  a 10,553,496,1049
dai 5 ai 10,2838,2753,5591
10 anni compiuti a 11,498,462,960
11  a 12,436,502,938
12 a 13,588,528,1106
13 a 14,491,478,969
14 a 15,506,487,993
dai 10  ai 15,2469,2457,4926
15 anni compiuti a 16,562,554,1116
16 a 17,627,659,1286
17 a 18,632,598,1230
18 a 19,578,614,1192
19 a 20,595,483,1008
dai 15 ai 20,2924,2908,5832
20 anni compiuti a 21,543,541,1084
21 a 22,762,511,1273
22 a 23,802,600,1402
23 a 24,532,492,1024
24 a 25,557,497,1054
dai 20 ai 25,3196,2641,5837
25 anni compiuti a 26,482,481,963
26 a 27,599,551,1150
27 a 28,7,426,458
30 anni compiuti a,6,466,475
29 a 30,479,442,921
dai 25 ai 30,2382,2405,4787
30 anni compiuti a 31,585,586,1171
31 a 32,510,418,928
32 a 33,526,439,965
33 a 34,466,440,906
34 a 35,458,449,907
dai 30 ai 35,2545,2332,4877
Da 35 anni compiuti a 36,554,487,1041
36 a 37,500,508,1008
37 a 38,408,450,948
38 a 39,484,404,888
39 a 40,364,303,667
dai 35 ai 40,2400,2152,4552
40 anni compiuti a 41,480,514,994
41 a 42,384,301,685
42 a 43,473,389,862
43 a 44,362,320,682
44 a 45,384,358,742
dai 40 ai 45,2083,1832,3965
45 anni compiuti a 46,364,331,695
46 a 47,363,337,700
47 a 48,208,324,622
48 a 49,354,311,665
49 a 50,272,210,482
dai 45 ai 50,1651,1513,3164
50 anni compiuti a 51,531,499,1030
51 a 52,280,223,503
52 a 53,323,302,625
53 a 54,233,220,453
54 a 55,224,216,440
dai 50 ai 55,1591,1460,3051
55 anni compiuti a 56,248,250,498
56 a 57,223,223,443
57 a 58,214,220,434
58 a 59,205,211,416
59 a 60,179,198,377
dai 55 ai 50,1066,1102,2168
60 anni compiuti a 61,327,410,737
61 a 62,195,188,383
62 a 63,234,212,446
63 a 64,175,205,380
64 a 65,183,188,371
dai 60 ai 65,1114,1203,2317
65 anni compiuti a 66,164,181,345
66 a 67,160,167,327
67 a 68,156,183,339
68 a 69,108,126,234
69 a 70,104,72,176
dai 65 ai 70,692,729,1421
70 anni compiuti a 71,142,163,305
71 a 72,90,94,184
72 a 73,92,89,181
73 a 74,68,87,155
74 a 75,75,85,160
dai 70 ai 75,467,548,985
75 anni compiuti a 76,60,77,137
76 a 77,73,50,132
77 a 78,58,75,133
78 a 79,46,39,85
79 a 80,29,35,64
dai 75 a 80,266,285,551
80 anni compiuti a 81,39,48,87
81 a 82,16,25,41
82 a 83,10,13,23
83 a 84,10,7,17
84 a 85,11,9,20
da 80 a 85 anni,86,102,188
85 anni compiuti a 86,8,13,21
86 a 87,6,6,12
87 a 88,11,2,13
88 a 89,3,3,6
89 a 90,2,4,6
da 85 a 90 anni,30,28,58
90 anni compiuti a 91,1,3,4
91 a 92,1,2,3
92 a 93,1,1,2
93 a 94,0,2,2
94 a 95,0,0,0
da 90 a 95,3,8,11
95 anni compiuti a 96,0,1,1
96 a 97,0,0,0
97 a 98,0,0,0
98 a 99,0,0,0
99 a 100,0,0,0
da 95 a 100,0,1,1
Centenari,0,0,0
ignota,0,0,0
Totale,31087,29486,60573
