Age_column,Male_column,Female_column,Total
Dalla nascita a 1 anno,209,200,409
1 anno compiuto a 2,196,201,397
2 anni compiuti a 3,193,190,383
3 a 4,192,211,403
4 a 5,172,197,369
dalla nascita a 5,759,799,1558
5 anni compiuti a 6,176,199,375
6  a 7,178,181,359
7 a 8,159,159,318
8 a 9,149,178,327
9  a 10,140,157,297
dai 5 ai 10,802,874,1676
10 anni compiuti a 11,156,147,303
11  a 12,143,161,304
12 a 13,174,148,322
13 a 14,152,160,312
14 a 15,168,138,306
dai 10  ai 15,793,754,1547
15 anni compiuti a 16,208,176,379
16 a 17,173,181,357
17 a 18,185,194,379
18 a 19,194,216,410
19 a 20,152,161,313
dai 15 ai 20,907,931,1838
20 anni compiuti a 21,142,199,341
21 a 22,256,167,423
22 a 23,252,200,452
23 a 24,157,201,358
24 a 25,179,166,345
dai 20 ai 25,986,933,1919
25 anni compiuti a 26,169,157,326
26 a 27,152,141,293
27 a 28,135,146,281
30 anni compiuti a,148,145,293
29 a 30,134,153,289
dai 25 ai 30,738,744,1482
30 anni compiuti a 31,187,220,407
31 a 32,136,155,291
32 a 33,140,125,265
33 a 34,161,134,315
34 a 35,175,136,311
dai 30 ai 35,799,790,1589
Da 35 anni compiuti a 36,147,103,310
36 a 37,5,151,145
37 a 38,5,137,150
38 a 39,7,141,132
39 a 40,7,113,114
dai 35 ai 40,689,704,1393
40 anni compiuti a 41,179,191,570
41 a 42,5,155,140
42 a 43,9,136,135
43 a 44,6,125,100
44 a 45,12,127,125
dai 40 ai 45,722,692,1414
45 anni compiuti a 46,160,120,280
46 a 47,16,144,97
47 a 48,12,118,107
48 a 49,14,107,107
49 a 50,11,83,91
dai 45 ai 50,612,522,1134
50 anni compiuti a 51,223,199,422
51 a 52,18,87,95
52 a 53,24,129,123
53 a 54,21,116,94
54 a 55,18,122,120
dai 50 ai 55,677,631,1308
55 anni compiuti a 56,121,127,248
56 a 57,27,128,112
57 a 58,18,97,81
58 a 59,20,96,82
59 a 60,14,94,68
dai 55 ai 50,536,470,1006
60 anni compiuti a 61,214,185,399
61 a 62,28,114,91
62 a 63,34,76,94
63 a 64,26,84,80
64 a 65,27,79,74
dai 60 ai 65,567,524,1091
65 anni compiuti a 66,79,77,156
66 a 67,25,82,67
67 a 68,26,59,62
68 a 69,31,69,53
69 a 70,19,58,46
dai 65 ai 70,347,305,652
70 anni compiuti a 71,82,88,170
71 a 72,48,51,99
72 a 73,62,45,107
73 a 74,58,39,97
74 a 75,33,36,69
dai 70 ai 75,283,239,542
75 anni compiuti a 76,33,32,65
76 a 77,28,34,62
77 a 78,17,20,37
78 a 79,25,13,38
79 a 80,12,17,29
dai 75 a 80,115,116,231
80 anni compiuti a 81,20,17,37
81 a 82,15,11,26
82 a 83,4,5,9
83 a 84,2,6,8
84 a 85,6,5,11
da 80 a 85 anni,47,44,91
85 anni compiuti a 86,2,4,6
86 a 87,2,6,8
87 a 88,5,3,8
88 a 89,1,2,3
89 a 90,0,0,0
da 85 a 90 anni,10,15,25
90 anni compiuti a 91,1,1,1
91 a 92,1,0,1
92 a 93,0,0,0
93 a 94,0,0,0
94 a 95,0,0,0
da 90 a 95,1,2,0
95 anni compiuti a 96,1,1,1
96 a 97,0,0,0
97 a 98,1,1,0
98 a 99,0,0,0
99 a 100,0,0,0
da 95 a 100,2,2,0
Centenari,0,0,0
ignota,0,0,0
Totale,10599,10310,20909
