Age_column,Male_column,Female_column,Total
Dalla nascita a 1 anno,597,489,996
1 anno compiuto a 2,464,401,865
2 anni compiuti a 3,446,448,894
3 a 4,480,432,912
4 a 5,402,418,820
dalla nascita a 5,1792,1699,3491
5 anni compiuti a 6,405,393,798
6  a 7,431,396,827
7 a 8,442,420,862
8 a 9,432,430,862
9  a 10,361,394,755
dai 5 ai 10,2071,2033,4104
10 anni compiuti a 11,431,426,857
11  a 12,464,477,941
12 a 13,480,428,908
13 a 14,410,376,786
14 a 15,393,388,781
dai 10  ai 15,2178,2095,4273
15 anni compiuti a 16,455,418,873
16 a 17,456,454,910
17 a 18,443,419,862
18 a 19,1,459,473
19 a 20,2,366,402
dai 15 ai 20,3,2179,2166
20 anni compiuti a 21,1,395,410
21 a 22,2,792,383
22 a 23,3,909,393
23 a 24,2,464,365
24 a 25,6,393,366
dai 20 ai 25,14,2953,1917
25 anni compiuti a 26,7,393,383
26 a 27,4,334,364
27 a 28,8,347,369
30 anni compiuti a,6,350,389
29 a 30,4,309,293
dai 25 ai 30,1733,1748,3481
30 anni compiuti a 31,405,464,869
31 a 32,317,347,664
32 a 33,347,369,716
33 a 34,317,340,657
34 a 35,310,292,602
dai 30 ai 35,1696,1812,3508
Da 35 anni compiuti a 36,359,376,735
36 a 37,10,16,344
37 a 38,10,19,359
38 a 39,8,27,303
39 a 40,11,23,308
dai 35 ai 40,1646,1621,3267
40 anni compiuti a 41,449,499,948
41 a 42,6,30,347
42 a 43,11,38,342
43 a 44,12,28,292
44 a 45,181,13,36
dai 40 ai 45,1682,1582,3264
45 anni compiuti a 46,359,385,744
46 a 47,8,36,274
47 a 48,9,41,269
48 a 49,13,34,285
49 a 50,12,39,215
dai 45 ai 50,1402,1340,2742
50 anni compiuti a 51,426,444,870
51 a 52,16,39,218
52 a 53,15,55,242
53 a 54,11,38,198
54 a 55,26,64,239
dai 50 ai 55,1343,1283,2606
55 anni compiuti a 56,239,258,497
56 a 57,25,58,230
57 a 58,24,46,194
58 a 59,21,46,183
59 a 60,17,49,148
dai 55 ai 50,994,1007,2001
60 anni compiuti a 61,320,339,659
61 a 62,17,59,177
62 a 63,29,69,192
63 a 64,20,43,134
64 a 65,25,59,126
dai 60 ai 65,949,948,1897
65 anni compiuti a 66,154,195,349
66 a 67,14,67,100
67 a 68,20,51,105
68 a 69,24,49,88
69 a 70,22,49,80
dai 65 ai 70,527,629,1156
70 anni compiuti a 71,145,191,336
71 a 72,59,84,95
72 a 73,57,86,87
73 a 74,48,78,148
74 a 75,38,58,63
dai 70 ai 75,443,514,957
75 anni compiuti a 76,63,62,125
76 a 77,46,46,65
77 a 78,24,43,42
78 a 79,27,35,47
79 a 80,16,25,25
dai 75 a 80,212,241,453
80 anni compiuti a 81,43,56,99
81 a 82,27,38,38
82 a 83,18,16,22
83 a 84,5,13,6
84 a 85,6,9,7
da 80 a 85 anni,119,129,248
85 anni compiuti a 86,6,8,14
86 a 87,9,6,13
87 a 88,2,8,10
88 a 89,4,3,4
89 a 90,1,5,6
da 85 a 90 anni,18,38,56
90 anni compiuti a 91,2,4,6
91 a 92,0,1,1
92 a 93,1,2,3
93 a 94,0,3,3
94 a 95,0,0,0
da 90 a 95,3,10,13
95 anni compiuti a 96,0,0,0
96 a 97,0,0,0
97 a 98,0,0,0
98 a 99,0,0,0
99 a 100,0,0,0
da 95 a 100,0,0,0
Centenari,1,1,1
ignota,0,0,0
Totale,24427,23302,47729
