Age_column,Male_column,Female_column,Total
Dalla nascita a 1 anno,255,203,458
1 anno compiuto a 2,213,183,396
2 anni compiuti a 3,212,195,407
3 a 4,190,202,392
4 a 5,175,152,327
dalla nascita a 5,790,732,1522
5 anni compiuti a 6,188,173,361
6  a 7,173,168,341
7 a 8,144,145,289
8 a 9,159,159,318
9  a 10,143,139,282
dai 5 ai 10,807,784,1591
10 anni compiuti a 11,149,149,293
11  a 12,187,149,336
12 a 13,210,176,386
13 a 14,168,161,329
14 a 15,188,180,368
dai 10  ai 15,902,815,1717
15 anni compiuti a 16,200,178,378
16 a 17,198,187,385
17 a 18,189,170,359
18 a 19,211,214,425
19 a 20,192,190,382
dai 15 ai 20,990,939,1929
20 anni compiuti a 21,197,215,412
21 a 22,213,182,395
22 a 23,228,190,418
23 a 24,187,166,353
24 a 25,179,162,341
dai 20 ai 25,1004,915,1919
25 anni compiuti a 26,175,184,359
26 a 27,158,159,317
27 a 28,149,164,313
30 anni compiuti a,168,162,330
29 a 30,134,144,278
dai 25 ai 30,784,813,1597
30 anni compiuti a 31,157,209,357
31 a 32,162,121,283
32 a 33,141,139,280
33 a 34,141,146,287
34 a 35,110,113,223
dai 30 ai 35,711,719,1430
Da 35 anni compiuti a 36,145,173,318
36 a 37,146,147,293
37 a 38,133,134,267
38 a 39,133,139,262
39 a 40,91,104,195
dai 35 ai 40,628,697,1325
40 anni compiuti a 41,135,160,295
41 a 42,130,114,244
42 a 43,137,149,286
43 a 44,98,112,210
44 a 45,90,117,207
dai 40 ai 45,580,632,1212
45 anni compiuti a 46,126,154,280
46 a 47,91,129,220
47 a 48,97,110,207
48 a 49,117,111,228
49 a 50,83,82,165
dai 45 ai 50,514,586,1100
50 anni compiuti a 51,163,187,350
51 a 52,102,91,193
52 a 53,120,112,232
53 a 54,84,107,191
54 a 55,105,114,219
dai 50 ai 55,574,611,1185
55 anni compiuti a 56,100,110,210
56 a 57,94,105,199
57 a 58,93,101,194
58 a 59,92,100,192
59 a 60,88,83,171
dai 55 ai 50,476,499,975
60 anni compiuti a 61,114,169,283
61 a 62,85,80,165
62 a 63,95,76,171
63 a 64,65,55,120
64 a 65,59,71,130
dai 60 ai 65,418,451,869
65 anni compiuti a 66,65,79,144
66 a 67,62,61,123
67 a 68,53,63,116
68 a 69,58,38,96
69 a 70,38,38,76
dai 65 ai 70,276,279,555
70 anni compiuti a 71,71,96,167
71 a 72,17,40,34
72 a 73,27,40,53
73 a 74,17,37,34
74 a 75,20,33,36
dai 70 ai 75,221,352,473
75 anni compiuti a 76,39,36,75
76 a 77,16,22,29
77 a 78,10,19,16
78 a 79,9,19,16
79 a 80,11,11,18
dai 75 a 80,110,115,225
80 anni compiuti a 81,24,29,53
81 a 82,7,14,13
82 a 83,6,11,8
83 a 84,3,11,4
84 a 85,3,11,5
da 80 a 85 anni,71,59,130
85 anni compiuti a 86,5,4,9
86 a 87,1,5,6
87 a 88,1,0,1
88 a 89,4,2,5
89 a 90,1,1,2
da 85 a 90 anni,10,16,26
90 anni compiuti a 91,1,1,2
91 a 92,0,1,1
92 a 93,0,0,0
93 a 94,0,0,0
94 a 95,1,1,1
da 90 a 95,2,3,5
95 anni compiuti a 96,0,0,0
96 a 97,0,0,0
97 a 98,0,0,0
98 a 99,0,0,0
99 a 100,0,0,0
da 95 a 100,0,0,0
Centenari,0,0,0
ignota,1,6,0
Totale,10128,10121,20249
