Age_column,Male_column,Female_column,Total
Dalla nascita a 1 anno,312,296,608
1 anno compiuto a 2,207,179,386
2 anni compiuti a 3,236,202,438
3 a 4,231,237,468
4 a 5,195,172,367
dalla nascita a 5,869,790,1659
5 anni compiuti a 6,218,228,446
6  a 7,174,209,383
7 a 8,200,171,371
8 a 9,176,193,369
9  a 10,200,139,339
dai 5 ai 10,968,940,1908
10 anni compiuti a 11,189,180,369
11  a 12,199,171,370
12 a 13,246,191,437
13 a 14,223,187,410
14 a 15,238,205,443
dai 10  ai 15,1095,934,2029
15 anni compiuti a 16,264,182,446
16 a 17,261,176,437
17 a 18,231,215,443
18 a 19,215,221,436
19 a 20,219,207,426
dai 15 ai 20,1190,998,2188
20 anni compiuti a 21,208,205,413
21 a 22,237,192,429
22 a 23,203,222,425
23 a 24,201,188,389
24 a 25,193,192,385
dai 20 ai 25,1202,999,2201
25 anni compiuti a 26,181,184,365
26 a 27,169,210,379
27 a 28,149,183,332
30 anni compiuti a,154,159,313
29 a 30,157,156,313
dai 25 ai 30,810,892,1702
30 anni compiuti a 31,194,199,393
31 a 32,136,148,284
32 a 33,152,170,322
33 a 34,145,163,308
34 a 35,118,136,254
dai 30 ai 35,745,816,1561
Da 35 anni compiuti a 36,175,155,330
36 a 37,127,168,295
37 a 38,158,142,280
38 a 39,140,143,283
39 a 40,127,137,264
dai 35 ai 40,707,745,1452
40 anni compiuti a 41,184,231,415
41 a 42,106,138,244
42 a 43,147,146,293
43 a 44,124,110,234
44 a 45,122,116,238
dai 40 ai 45,683,741,1424
45 anni compiuti a 46,162,172,334
46 a 47,125,101,226
47 a 48,129,133,262
48 a 49,126,142,268
49 a 50,103,88,191
dai 45 ai 50,645,636,1281
50 anni compiuti a 51,195,211,406
51 a 52,133,145,278
52 a 53,123,114,237
53 a 54,127,119,246
54 a 55,115,109,224
dai 50 ai 55,693,698,1391
55 anni compiuti a 56,147,154,301
56 a 57,123,108,231
57 a 58,125,109,234
58 a 59,104,93,197
59 a 60,93,86,179
dai 55 ai 50,592,519,1142
60 anni compiuti a 61,165,215,380
61 a 62,110,143,253
62 a 63,107,103,210
63 a 64,65,59,124
64 a 65,72,61,133
dai 60 ai 65,519,581,1100
65 anni compiuti a 66,55,89,144
66 a 67,83,57,140
67 a 68,74,51,125
68 a 69,66,61,127
69 a 70,44,43,87
dai 65 ai 70,322,301,623
70 anni compiuti a 71,86,132,268
71 a 72,51,50,101
72 a 73,45,37,82
73 a 74,33,33,66
74 a 75,31,28,59
dai 70 ai 75,246,270,516
75 anni compiuti a 76,33,31,64
76 a 77,24,30,54
77 a 78,21,34,55
78 a 79,22,16,38
79 a 80,18,10,28
dai 75 a 80,118,121,239
80 anni compiuti a 81,24,31,55
81 a 82,16,19,35
82 a 83,5,5,10
83 a 84,12,8,20
84 a 85,4,15,19
da 80 a 85 anni,61,78,139
85 anni compiuti a 86,4,6,10
86 a 87,3,7,0
87 a 88,6,1,7
88 a 89,4,6,10
89 a 90,3,2,5
da 85 a 90 anni,21,18,39
90 anni compiuti a 91,3,7,10
91 a 92,1,4,5
92 a 93,0,1,1
93 a 94,0,0,0
94 a 95,1,1,2
da 90 a 95,5,13,18
95 anni compiuti a 96,0,1,1
96 a 97,1,1,2
97 a 98,0,0,0
98 a 99,0,0,0
99 a 100,0,0,0
da 95 a 100,1,2,3
Centenari,1,1,2
ignota,0,0,0
Totale,11805,11420,23225
