Age_column,Male_column,Female_column,Total
Dalla nascita a 1 anno,279,311,590
1 anno compiuto a 2,239,242,481
2 anni compiuti a 3,262,214,476
3 a 4,244,247,491
4 a 5,218,237,455
dalla nascita a 5,963,970,1933
5 anni compiuti a 6,263,238,501
6  a 7,214,249,463
7 a 8,250,280,530
8 a 9,197,192,389
9  a 10,200,194,394
dai 5 ai 10,1154,1153,2307
10 anni compiuti a 11,205,213,418
11  a 12,191,187,378
12 a 13,239,192,431
13 a 14,184,211,395
14 a 15,215,197,412
dai 10  ai 15,1034,1000,2034
15 anni compiuti a 16,222,218,440
16 a 17,194,221,415
17 a 18,232,216,448
18 a 19,188,209,397
19 a 20,172,165,333
dai 15 ai 20,1008,1030,2038
20 anni compiuti a 21,185,171,357
21 a 22,182,163,345
22 a 23,168,143,311
23 a 24,166,144,310
24 a 25,148,184,312
dai 20 ai 25,850,785,1635
25 anni compiuti a 26,170,158,328
26 a 27,142,131,273
27 a 28,130,138,268
30 anni compiuti a,137,153,290
29 a 30,124,106,230
dai 25 ai 30,793,686,1399
30 anni compiuti a 31,175,191,366
31 a 32,137,131,263
32 a 33,117,138,255
33 a 34,135,143,269
34 a 35,98,112,210
dai 30 ai 35,653,715,1368
Da 35 anni compiuti a 36,141,136,277
36 a 37,144,116,260
37 a 38,115,106,221
38 a 39,113,105,218
39 a 40,109,87,196
dai 35 ai 40,622,550,1172
40 anni compiuti a 41,195,197,392
41 a 42,116,102,218
42 a 43,99,102,201
43 a 44,100,90,190
44 a 45,118,101,219
dai 40 ai 45,628,592,1220
45 anni compiuti a 46,137,118,255
46 a 47,124,87,211
47 a 48,83,77,160
48 a 49,103,67,170
49 a 50,69,72,141
dai 45 ai 50,516,421,937
50 anni compiuti a 51,193,187,380
51 a 52,69,77,146
52 a 53,92,67,159
53 a 54,78,63,141
54 a 55,97,79,176
dai 50 ai 55,529,473,1002
55 anni compiuti a 56,77,82,159
56 a 57,107,73,180
57 a 58,64,57,121
58 a 59,71,65,136
59 a 60,44,44,88
dai 55 ai 50,363,321,684
60 anni compiuti a 61,120,157,277
61 a 62,55,47,102
62 a 63,64,46,110
63 a 64,63,38,101
64 a 65,56,49,105
dai 60 ai 65,338,337,695
65 anni compiuti a 66,47,56,103
66 a 67,48,47,95
67 a 68,49,26,75
68 a 69,39,35,74
69 a 70,29,14,43
dai 65 ai 70,212,178,390
70 anni compiuti a 71,74,85,159
71 a 72,22,24,46
72 a 73,24,13,37
73 a 74,28,13,41
74 a 75,19,16,35
dai 70 ai 75,167,151,318
75 anni compiuti a 76,20,24,44
76 a 77,24,20,44
77 a 78,17,14,31
78 a 79,15,17,32
79 a 80,8,8,16
dai 75 a 80,84,83,167
80 anni compiuti a 81,22,22,44
81 a 82,13,10,22
82 a 83,4,3,7
83 a 84,4,6,10
84 a 85,5,8,13
da 80 a 85 anni,47,49,96
85 anni compiuti a 86,9,1,10
86 a 87,2,6,8
87 a 88,4,4,8
88 a 89,5,3,8
89 a 90,0,5,5
da 85 a 90 anni,20,19,39
90 anni compiuti a 91,2,4,6
91 a 92,0,0,0
92 a 93,0,2,2
93 a 94,0,1,1
94 a 95,3,0,3
da 90 a 95,5,7,12
95 anni compiuti a 96,2,0,2
96 a 97,0,0,0
97 a 98,1,1,2
98 a 99,0,0,0
99 a 100,0,0,0
da 95 a 100,3,1,4
Centenari,0,2,2
ignota,0,0,0
Totale,10198,9834,20032
