Age_column,Male_column,Female_column,Total
Dalla nascita a 1 anno,1334,1214,2548
1 anno compiuto a 2,1239,1277,2516
2 anni compiuti a 3,1449,1350,2799
3 a 4,1352,1365,2717
4 a 5,1324,1397,2721
dalla nascita a 5,5364,5389,10753
5 anni compiuti a 6,1373,1355,2728
6  a 7,1362,1475,2837
7 a 8,1325,1331,2676
8 a 9,1335,1346,2681
9  a 10,1213,1265,2478
dai 5 ai 10,6668,6792,13460
10 anni compiuti a 11,1200,1307,2507
11  a 12,1170,1290,2460
12 a 13,1267,1258,2525
13 a 14,1298,1230,2527
14 a 15,1325,1321,2646
dai 10  ai 15,6260,6445,12675
15 anni compiuti a 16,1395,1398,2793
16 a 17,1320,1419,2739
17 a 18,1319,1495,2814
18 a 19,1539,1709,3248
19 a 20,1300,1597,2897
dai 15 ai 20,6903,7618,14521
20 anni compiuti a 21,1327,1549,2776
21 a 22,2233,1496,3699
22 a 23,2543,1678,4220
23 a 24,1386,1511,2897
24 a 25,1258,1508,2765
dai 20 ai 25,8646,7712,16358
25 anni compiuti a 26,1272,1588,2860
26 a 27,1130,1504,2634
27 a 28,1129,1410,2539
30 anni compiuti a,1194,1445,2639
29 a 30,1145,1410,2555
dai 25 ai 30,3870,7357,13227
30 anni compiuti a 31,1580,1841,3371
31 a 32,1578,1509,2937
32 a 33,1296,1451,2680
33 a 34,1287,1555,2842
34 a 35,1211,1922,2508
dai 30 ai 35,6632,7704,14333
Da 35 anni compiuti a 36,1410,1533,2943
36 a 37,1352,1464,2816
37 a 38,1217,1437,2654
38 a 39,1248,1286,2534
39 a 40,1184,1119,2303
dai 35 ai 40,6411,6839,13250
40 anni compiuti a 41,1456,1558,3014
41 a 42,1191,1262,2483
42 a 43,1269,1153,2422
43 a 44,1074,1081,2155
44 a 45,1079,1068,2147
dai 40 ai 45,5999,6122,12121
45 anni compiuti a 46,1202,1223,2425
46 a 47,998,1167,2165
47 a 48,997,1030,2027
48 a 49,1011,1081,2092
49 a 50,882,857,1739
dai 45 ai 50,5090,5338,10448
50 anni compiuti a 51,1325,1502,2827
51 a 52,957,1020,1977
52 a 53,934,979,1913
53 a 54,961,911,1872
54 a 55,873,867,1740
dai 50 ai 55,5050,5279,10329
55 anni compiuti a 56,895,976,1871
56 a 57,848,935,1783
57 a 58,705,764,1469
58 a 59,766,703,1469
59 a 60,649,631,1280
dai 55 ai 50,3863,4009,7872
60 anni compiuti a 61,993,1090,2083
61 a 62,708,798,1504
62 a 63,642,593,1335
63 a 64,604,533,1137
64 a 65,522,489,1011
dai 60 ai 65,3467,3603,7070
65 anni compiuti a 66,478,503,981
66 a 67,420,455,875
67 a 68,383,456,839
68 a 69,421,389,810
69 a 70,359,379,738
dai 65 ai 70,2061,2182,4243
70 anni compiuti a 71,494,520,954
71 a 72,315,363,678
72 a 73,300,303,603
73 a 74,238,258,496
74 a 75,228,231,459
dai 70 ai 75,1515,1675,3190
75 anni compiuti a 76,244,249,493
76 a 77,184,209,393
77 a 78,151,176,327
78 a 79,125,151,276
79 a 80,82,90,172
dai 75 a 80,786,875,1661
80 anni compiuti a 81,121,160,281
81 a 82,84,121,205
82 a 83,58,52,110
83 a 84,39,37,76
84 a 85,33,35,68
da 80 a 85 anni,335,405,740
85 anni compiuti a 86,40,40,80
86 a 87,19,23,42
87 a 88,8,29,37
88 a 89,18,18,36
89 a 90,4,7,11
da 85 a 90 anni,89,117,206
90 anni compiuti a 91,6,14,20
91 a 92,2,10,12
92 a 93,3,5,8
93 a 94,1,2,3
94 a 95,1,2,3
da 90 a 95,13,33,46
95 anni compiuti a 96,1,1,2
96 a 97,3,4,0
97 a 98,2,2,0
98 a 99,2,2,0
99 a 100,0,0,0
da 95 a 100,8,9,0
Centenari,1,1,0
ignota,0,0,0
Totale,82297,86704,169001
