Age_column,Male_column,Female_column,Total
Dalla nascita a 1 anno,664,618,1282
1 anno compiuto a 2,458,487,945
2 anni compiuti a 3,592,546,1138
3 a 4,554,510,1064
4 a 5,554,537,1091
dalla nascita a 5,2158,2080,4238
5 anni compiuti a 6,543,584,1127
6  a 7,536,514,1050
7 a 8,475,523,998
8 a 9,516,494,1010
9  a 10,462,454,916
dai 5 ai 10,2532,2569,5101
10 anni compiuti a 11,481,464,945
11  a 12,516,443,959
12 a 13,556,538,1094
13 a 14,515,492,1007
14 a 15,513,504,1017
dai 10  ai 15,2581,2441,5022
15 anni compiuti a 16,498,527,1025
16 a 17,491,570,1061
17 a 18,514,562,1076
18 a 19,542,582,1124
19 a 20,452,495,947
dai 15 ai 20,2497,2736,5233
20 anni compiuti a 21,548,534,1082
21 a 22,743,521,1264
22 a 23,746,545,1291
23 a 24,446,471,917
24 a 25,421,479,900
dai 20 ai 25,2904,2350,5454
25 anni compiuti a 26,400,500,900
26 a 27,387,470,857
27 a 28,346,414,760
30 anni compiuti a,366,403,769
29 a 30,337,362,699
dai 25 ai 30,1836,2149,3985
30 anni compiuti a 31,451,535,986
31 a 32,378,380,758
32 a 33,380,404,784
33 a 34,432,421,843
34 a 35,337,346,683
dai 30 ai 35,1968,2086,4054
Da 35 anni compiuti a 36,409,455,887
36 a 37,342,395,737
37 a 38,361,361,722
38 a 39,280,344,624
39 a 40,317,310,627
dai 35 ai 40,1702,1845,3547
40 anni compiuti a 41,413,540,953
41 a 42,305,305,610
42 a 43,332,318,650
43 a 44,291,294,585
44 a 45,287,297,584
dai 40 ai 45,1628,1754,3382
45 anni compiuti a 46,316,380,696
46 a 47,313,310,623
47 a 48,270,282,552
48 a 49,277,265,542
49 a 50,238,196,434
dai 45 ai 50,1444,1433,2847
50 anni compiuti a 51,388,473,861
51 a 52,237,228,465
52 a 53,246,276,522
53 a 54,270,219,489
54 a 55,220,197,417
dai 50 ai 55,1361,1393,2754
55 anni compiuti a 56,228,239,467
56 a 57,226,283,509
57 a 58,162,194,356
58 a 59,188,219,407
59 a 60,166,159,325
dai 55 ai 50,970,1094,2064
60 anni compiuti a 61,370,357,727
61 a 62,166,192,358
62 a 63,151,148,299
63 a 64,149,157,306
64 a 65,132,121,253
dai 60 ai 65,968,975,1943
65 anni compiuti a 66,134,160,303
66 a 67,135,115,250
67 a 68,121,117,238
68 a 69,115,98,213
69 a 70,85,71,156
dai 65 ai 70,590,570,1160
70 anni compiuti a 71,159,164,323
71 a 72,52,88,88
72 a 73,59,85,97
73 a 74,42,89,63
74 a 75,45,78,78
dai 70 ai 75,494,490,984
75 anni compiuti a 76,73,82,155
76 a 77,46,68,68
77 a 78,36,54,51
78 a 79,34,36,52
79 a 80,24,23,31
dai 75 a 80,251,284,538
80 anni compiuti a 81,34,53,87
81 a 82,31,25,43
82 a 83,21,19,26
83 a 84,7,9,8
84 a 85,8,13,13
da 80 a 85 anni,100,142,242
85 anni compiuti a 86,10,7,14
86 a 87,7,13,10
87 a 88,3,6,3
88 a 89,7,5,7
89 a 90,5,5,5
da 85 a 90 anni,36,39,75
90 anni compiuti a 91,0,5,5
91 a 92,1,1,1
92 a 93,3,6,3
93 a 94,3,1,3
94 a 95,0,0,0
da 90 a 95,8,12,20
95 anni compiuti a 96,0,0,0
96 a 97,0,1,1
97 a 98,0,0,0
98 a 99,2,0,2
99 a 100,0,0,0
da 95 a 100,1,2,3
Centenari,0,1,1
ignota,12,16,28
Totale,26678,27279,53957
