Age_column,Male_column,Female_column,Total
Dalla nascita a 1 anno,510,495,1005
1 anno compiuto a 2,320,316,636
2 anni compiuti a 3,388,376,764
3 a 4,372,361,733
4 a 5,392,376,768
dalla nascita a 5,1472,1429,2901
5 anni compiuti a 6,380,411,791
6  a 7,429,451,880
7 a 8,393,379,772
8 a 9,356,313,669
9  a 10,339,288,627
dai 5 ai 10,1897,1812,3739
10 anni compiuti a 11,338,307,705
11  a 12,348,294,642
12 a 13,401,385,786
13 a 14,361,335,696
14 a 15,410,365,775
dai 10  ai 15,1858,1746,3604
15 anni compiuti a 16,378,390,768
16 a 17,388,356,744
17 a 18,347,346,693
18 a 19,408,415,823
19 a 20,294,313,607
dai 15 ai 20,1815,1820,3635
20 anni compiuti a 21,348,336,684
21 a 22,335,321,656
22 a 23,349,313,662
23 a 24,347,308,655
24 a 25,284,344,628
dai 20 ai 25,1663,1622,3285
25 anni compiuti a 26,298,301,599
26 a 27,301,308,609
27 a 28,283,253,536
30 anni compiuti a,296,316,612
29 a 30,248,234,482
dai 25 ai 30,1426,1412,2838
30 anni compiuti a 31,393,408,801
31 a 32,295,256,551
32 a 33,269,264,533
33 a 34,275,261,536
34 a 35,223,241,464
dai 30 ai 35,1455,1430,2885
Da 35 anni compiuti a 36,284,292,576
36 a 37,286,264,550
37 a 38,239,220,459
38 a 39,243,231,474
39 a 40,176,160,336
dai 35 ai 40,1228,1167,2395
40 anni compiuti a 41,467,428,895
41 a 42,258,239,497
42 a 43,238,224,462
43 a 44,209,206,400
44 a 45,218,217,435
dai 40 ai 45,1184,1314,2698
45 anni compiuti a 46,272,301,573
46 a 47,232,202,434
47 a 48,189,199,388
48 a 49,211,176,387
49 a 50,168,171,339
dai 45 ai 50,1072,1019,2121
50 anni compiuti a 51,477,443,920
51 a 52,228,189,417
52 a 53,206,186,392
53 a 54,181,149,330
54 a 55,185,159,344
dai 50 ai 55,1277,1126,2403
55 anni compiuti a 56,227,207,434
56 a 57,188,186,374
57 a 58,130,121,251
58 a 59,134,157,291
59 a 60,109,83,192
dai 55 ai 50,788,754,1542
60 anni compiuti a 61,367,330,697
61 a 62,145,133,278
62 a 63,131,113,244
63 a 64,120,107,227
64 a 65,104,80,184
dai 60 ai 65,867,763,1630
65 anni compiuti a 66,131,127,258
66 a 67,106,93,199
67 a 68,64,74,138
68 a 69,83,69,152
69 a 70,48,50,98
dai 65 ai 70,432,413,845
70 anni compiuti a 71,159,151,310
71 a 72,78,49,127
72 a 73,60,57,117
73 a 74,57,39,96
74 a 75,66,46,112
dai 70 ai 75,420,342,762
75 anni compiuti a 76,75,58,133
76 a 77,39,41,80
77 a 78,39,37,76
78 a 79,25,19,44
79 a 80,20,15,35
dai 75 a 80,198,170,368
80 anni compiuti a 81,35,54,89
81 a 82,34,26,60
82 a 83,10,12,22
83 a 84,15,12,27
84 a 85,6,7,13
da 80 a 85 anni,100,111,211
85 anni compiuti a 86,14,6,20
86 a 87,9,7,16
87 a 88,9,8,17
88 a 89,4,3,7
89 a 90,4,1,5
da 85 a 90 anni,40,25,65
90 anni compiuti a 91,5,6,11
91 a 92,0,1,1
92 a 93,1,1,2
93 a 94,0,1,1
94 a 95,0,0,0
da 90 a 95,6,9,15
95 anni compiuti a 96,0,1,1
96 a 97,1,0,1
97 a 98,0,0,0
98 a 99,0,0,0
99 a 100,0,0,0
da 95 a 100,1,1,2
Centenari,1,1,1
ignota,0,0,0
Totale,1999,19041,38950
