Age_column,Male_column,Female_column,Total
Dalla nascita a 1 anno,205,187,392
1 anno compiuto a 2,177,150,327
2 anni compiuti a 3,176,184,360
3 a 4,196,192,388
4 a 5,189,172,361
dalla nascita a 5,738,698,1436
5 anni compiuti a 6,173,201,374
6  a 7,200,180,380
7 a 8,153,183,335
8 a 9,168,142,310
9  a 10,162,166,328
dai 5 ai 10,856,872,1728
10 anni compiuti a 11,173,146,319
11  a 12,178,146,324
12 a 13,198,175,373
13 a 14,190,161,351
14 a 15,187,156,343
dai 10  ai 15,926,784,1710
15 anni compiuti a 16,184,141,325
16 a 17,174,165,339
17 a 18,174,189,363
18 a 19,157,179,336
19 a 20,142,124,266
dai 15 ai 20,831,798,1629
20 anni compiuti a 21,156,184,340
21 a 22,381,173,554
22 a 23,429,173,602
23 a 24,194,159,353
24 a 25,148,191,339
dai 20 ai 25,1308,880,2188
25 anni compiuti a 26,153,163,316
26 a 27,178,159,337
27 a 28,127,128,255
30 anni compiuti a,145,129,274
29 a 30,108,120,228
dai 25 ai 30,711,699,1410
30 anni compiuti a 31,177,191,374
31 a 32,129,123,252
32 a 33,128,120,248
33 a 34,142,140,282
34 a 35,121,122,243
dai 30 ai 35,697,702,1399
Da 35 anni compiuti a 36,109,123,238
36 a 37,7,103,114
37 a 38,6,125,111
38 a 39,8,124,119
39 a 40,5,109,83
dai 35 ai 40,570,536,1126
40 anni compiuti a 41,176,232,408
41 a 42,12,107,103
42 a 43,8,93,90
43 a 44,5,70,87
44 a 45,9,97,85
dai 40 ai 45,543,597,1140
45 anni compiuti a 46,126,132,258
46 a 47,10,75,105
47 a 48,10,73,72
48 a 49,9,84,100
49 a 50,11,69,65
dai 45 ai 50,427,474,901
50 anni compiuti a 51,147,179,326
51 a 52,19,85,92
52 a 53,12,83,77
53 a 54,10,76,76
54 a 55,12,61,57
dai 50 ai 55,452,484,933
55 anni compiuti a 56,81,87,168
56 a 57,16,61,66
57 a 58,16,62,53
58 a 59,12,71,53
59 a 60,12,36,54
dai 55 ai 50,311,313,624
60 anni compiuti a 61,121,186,307
61 a 62,20,85,66
62 a 63,23,50,57
63 a 64,8,45,42
64 a 65,10,34,34
dai 60 ai 65,335,385,720
65 anni compiuti a 66,42,46,88
66 a 67,15,37,47
67 a 68,8,39,34
68 a 69,6,36,30
69 a 70,11,32,25
dai 65 ai 70,186,182,368
70 anni compiuti a 71,69,104,173
71 a 72,33,53,86
72 a 73,31,27,58
73 a 74,27,12,39
74 a 75,16,20,36
dai 70 ai 75,176,216,392
75 anni compiuti a 76,25,24,49
76 a 77,22,17,39
77 a 78,15,12,27
78 a 79,18,12,30
79 a 80,13,9,22
dai 75 a 80,93,74,167
80 anni compiuti a 81,21,26,47
81 a 82,10,14,24
82 a 83,4,8,12
83 a 84,2,2,4
84 a 85,8,4,12
da 80 a 85 anni,45,54,99
85 anni compiuti a 86,4,6,10
86 a 87,2,2,4
87 a 88,2,1,3
88 a 89,3,0,3
89 a 90,2,1,3
da 85 a 90 anni,13,10,23
90 anni compiuti a 91,2,3,5
91 a 92,3,1,4
92 a 93,0,0,0
93 a 94,1,1,1
94 a 95,0,0,0
da 90 a 95,5,5,10
95 anni compiuti a 96,0,0,0
96 a 97,0,0,0
97 a 98,0,0,0
98 a 99,0,0,0
99 a 100,0,0,0
da 95 a 100,0,0,0
Centenari,0,0,0
ignota,11,20,31
Totale,9439,8987,18426
