Age_column,Male_column,Female_column,Total
Dalla nascita a 1 anno,267,248,515
1 anno compiuto a 2,149,140,289
2 anni compiuti a 3,197,175,372
3 a 4,180,191,371
4 a 5,189,177,366
dalla nascita a 5,715,683,1398
5 anni compiuti a 6,194,205,399
6  a 7,213,189,402
7 a 8,188,183,371
8 a 9,162,197,359
9  a 10,181,164,345
dai 5 ai 10,938,938,1876
10 anni compiuti a 11,168,184,352
11  a 12,161,171,332
12 a 13,188,171,359
13 a 14,174,160,334
14 a 15,168,142,310
dai 10  ai 15,859,828,1687
15 anni compiuti a 16,204,165,369
16 a 17,207,175,382
17 a 18,184,181,365
18 a 19,195,199,394
19 a 20,170,154,324
dai 15 ai 20,960,874,1834
20 anni compiuti a 21,170,162,332
21 a 22,253,177,430
22 a 23,259,155,414
23 a 24,196,191,387
24 a 25,160,175,335
dai 20 ai 25,1038,860,1898
25 anni compiuti a 26,185,154,339
26 a 27,156,158,314
27 a 28,143,126,269
30 anni compiuti a,149,149,298
29 a 30,116,118,234
dai 25 ai 30,749,705,1454
30 anni compiuti a 31,196,203,399
31 a 32,141,150,291
32 a 33,134,106,240
33 a 34,137,133,270
34 a 35,126,119,245
dai 30 ai 35,734,711,1445
Da 35 anni compiuti a 36,157,136,293
36 a 37,116,156,273
37 a 38,108,131,239
38 a 39,113,139,252
39 a 40,103,89,192
dai 35 ai 40,597,611,1248
40 anni compiuti a 41,214,219,433
41 a 42,141,135,276
42 a 43,95,115,210
43 a 44,97,100,197
44 a 45,109,107,216
dai 40 ai 45,616,676,1332
45 anni compiuti a 46,134,137,271
46 a 47,98,116,214
47 a 48,101,131,232
48 a 49,133,119,252
49 a 50,71,83,154
dai 45 ai 50,537,586,1123
50 anni compiuti a 51,180,212,392
51 a 52,90,99,189
52 a 53,90,87,177
53 a 54,96,87,183
54 a 55,92,102,194
dai 50 ai 55,548,587,1135
55 anni compiuti a 56,98,132,230
56 a 57,101,85,186
57 a 58,100,86,186
58 a 59,83,87,170
59 a 60,85,62,147
dai 55 ai 50,467,452,919
60 anni compiuti a 61,197,195,392
61 a 62,82,100,182
62 a 63,93,74,167
63 a 64,69,54,123
64 a 65,68,97,165
dai 60 ai 65,509,520,1029
65 anni compiuti a 66,62,72,134
66 a 67,44,47,91
67 a 68,49,51,100
68 a 69,65,38,103
69 a 70,38,36,74
dai 65 ai 70,238,244,502
70 anni compiuti a 71,91,124,315
71 a 72,50,40,90
72 a 73,33,30,63
73 a 74,23,26,49
74 a 75,25,29,54
dai 70 ai 75,228,249,477
75 anni compiuti a 76,36,35,71
76 a 77,23,22,45
77 a 78,24,20,44
78 a 79,23,19,42
79 a 80,13,16,29
dai 75 a 80,119,112,231
80 anni compiuti a 81,37,31,68
81 a 82,15,17,32
82 a 83,14,8,22
83 a 84,5,7,12
84 a 85,8,7,15
da 80 a 85 anni,79,70,149
85 anni compiuti a 86,7,11,18
86 a 87,5,6,11
87 a 88,1,3,4
88 a 89,3,3,6
89 a 90,1,1,2
da 85 a 90 anni,17,24,41
90 anni compiuti a 91,5,6,11
91 a 92,1,0,1
92 a 93,0,1,1
93 a 94,0,0,0
94 a 95,0,0,0
da 90 a 95,6,7,13
95 anni compiuti a 96,0,0,0
96 a 97,1,0,1
97 a 98,0,0,0
98 a 99,1,0,1
99 a 100,1,0,1
da 95 a 100,2,1,3
Centenari,0,0,0
ignota,0,0,0
Totale,10283,10026,20309
