Age_column,Male_column,Female_column,Total
Dalla nascita a 1 anno,0,0,0
1 anno compiuto a 2,0,247.0,225.0
2 anni compiuti a 3,0,148.0,140.0
3 a 4,0,168.0,150.0
4 a 5,0,169.0,151.0
dalla nascita a 5,0,150.0,150.0
5 anni compiuti a 6,635,600.0,1235.0
6  a 7,171,145.0,316.0
7 a 8,140,131.0,271.0
8 a 9,151,150.0,301.0
9  a 10,148,121.0,269.0
dai 5 ai 10,142,108.0,250.0
10 anni compiuti a 11,752,655.0,1407.0
11  a 12,154,132.0,286.0
12 a 13,136,135.0,271.0
13 a 14,139,106.0,245.0
14 a 15,150,97.0,247.0
dai 10  ai 15,138,128.0,266.0
15 anni compiuti a 16,717,598.0,1315.0
16 a 17,144,134.0,278.0
17 a 18,151,145.0,296.0
18 a 19,147,149.0,296.0
19 a 20,117,175.0,292.0
dai 15 ai 20,109,118.0,227.0
20 anni compiuti a 21,668,721.0,1389.0
21 a 22,138,137.0,275.0
22 a 23,207,148.0,355.0
23 a 24,232,139.0,371.0
24 a 25,156,135.0,291.0
dai 20 ai 25,142,143.0,285.0
25 anni compiuti a 26,875,702.0,1577.0
26 a 27,171,135.0,306.0
27 a 28,141,137.0,278.0
30 anni compiuti a,123,119.0,244.0
29 a 30,125,151.0,276.0
dai 25 ai 30,91,67.0,158.0
30 anni compiuti a 31,651,609.0,1260.0
31 a 32,169,195.0,364.0
32 a 33,140,105.0,245.0
33 a 34,99,95.0,194.0
34 a 35,101,97.0,198.0
dai 30 ai 35,106,104.0,210.0
Da 35 anni compiuti a 36,615,596.0,1211.0
36 a 37,52,64,116
37 a 38,26,25,51
38 a 39,7,14,21
39 a 40,8,8,16
dai 35 ai 40,11,10,21
40 anni compiuti a 41,104,121,225
41 a 42,13,15,28
42 a 43,10,19,29
43 a 44,13,4,17
44 a 45,4,2,6
dai 40 ai 45,4,6,10
45 anni compiuti a 46,44,46,90
46 a 47,13,18,30
47 a 48,10,6,16
48 a 49,3,1,4
49 a 50,2,1,3
dai 45 ai 50,1,1,2
50 anni compiuti a 51,28,27,55
51 a 52,7,1,8
52 a 53,3,1,4
53 a 54,3,1,4
54 a 55,0,3,3
dai 50 ai 55,0,0,0
55 anni compiuti a 56,15,6,19
56 a 57,2,3,5
57 a 58,2,2,2
58 a 59,1,1,1
59 a 60,0,0,0
dai 55 ai 50,0,1,1
60 anni compiuti a 61,2,7,9
61 a 62,0,0,0
62 a 63,0,0,0
63 a 64,0,0,0
64 a 65,0,0,0
dai 60 ai 65,0,0,0
65 anni compiuti a 66,0,0,0
66 a 67,0,0,0
67 a 68,0,0,0
68 a 69,7672,7152,14824
