Age_column,Male_column,Female_column,Total
Dalla nascita a 1 anno,902,890,1792
1 anno compiuto a 2,638,645,1283
2 anni compiuti a 3,855,881,1736
3 a 4,772,781,1553
4 a 5,662,704,1366
dalla nascita a 5,2927,3011,5938
5 anni compiuti a 6,730,685,1415
6  a 7,712,764,1476
7 a 8,741,668,1409
8 a 9,713,685,1398
9  a 10,682,625,1307
dai 5 ai 10,3578,3427,7005
10 anni compiuti a 11,746,700,1446
11  a 12,604,543,1147
12 a 13,768,685,1453
13 a 14,634,638,1272
14 a 15,644,575,1219
dai 10  ai 15,3396,3141,6537
15 anni compiuti a 16,666,651,1317
16 a 17,575,621,1196
17 a 18,610,566,1176
18 a 19,624,636,1260
19 a 20,481,434,915
dai 15 ai 20,2956,2968,5864
20 anni compiuti a 21,606,612,1218
21 a 22,822,484,1306
22 a 23,859,547,1406
23 a 24,530,473,1003
24 a 25,451,465,916
dai 20 ai 25,3268,2381,5849
25 anni compiuti a 26,498,525,1033
26 a 27,490,456,946
27 a 28,378,471,849
30 anni compiuti a,481,514,995
29 a 30,371,346,717
dai 25 ai 30,2218,2322,4540
30 anni compiuti a 31,649,829,1478
31 a 32,350,351,701
32 a 33,352,365,717
33 a 34,378,420,798
34 a 35,347,343,690
dai 30 ai 35,2076,2368,4384
Da 35 anni compiuti a 36,404,435,839
36 a 37,406,398,804
37 a 38,353,301,654
38 a 39,388,366,754
39 a 40,334,232,566
dai 35 ai 40,1885,1732,3617
40 anni compiuti a 41,805,836,1641
41 a 42,307,259,566
42 a 43,320,322,642
43 a 44,214,186,400
44 a 45,265,276,541
dai 40 ai 45,1911,1879,3790
45 anni compiuti a 46,366,363,729
46 a 47,233,241,474
47 a 48,336,201,437
48 a 49,203,224,427
49 a 50,143,159,302
dai 45 ai 50,1181,1158,2369
50 anni compiuti a 51,592,776,1368
51 a 52,193,200,393
52 a 53,204,186,388
53 a 54,183,149,332
54 a 55,195,188,383
dai 50 ai 55,1155,1499,2864
55 anni compiuti a 56,242,269,511
56 a 57,168,174,342
57 a 58,139,150,289
58 a 59,119,139,258
59 a 60,67,81,148
dai 55 ai 50,735,813,1548
60 anni compiuti a 61,461,578,1039
61 a 62,132,145,277
62 a 63,118,96,214
63 a 64,89,84,173
64 a 65,91,82,173
dai 60 ai 65,891,983,1876
65 anni compiuti a 66,147,138,285
66 a 67,74,82,156
67 a 68,66,67,133
68 a 69,66,77,143
69 a 70,50,47,97
dai 65 ai 70,403,411,814
70 anni compiuti a 71,216,309,525
71 a 72,29,58,56
72 a 73,33,51,61
73 a 74,14,32,33
74 a 75,23,41,43
dai 70 ai 75,398,502,900
75 anni compiuti a 76,55,64,119
76 a 77,18,32,35
77 a 78,8,25,19
78 a 79,14,27,25
79 a 80,9,19,13
dai 75 a 80,158,156,314
80 anni compiuti a 81,84,128,212
81 a 82,24,25,33
82 a 83,11,17,15
83 a 84,15,8,17
84 a 85,17,9,21
da 80 a 85 anni,143,214,357
85 anni compiuti a 86,9,20,29
86 a 87,5,9,10
87 a 88,1,2,3
88 a 89,2,3,5
89 a 90,2,5,7
da 85 a 90 anni,23,49,63
90 anni compiuti a 91,13,8,21
91 a 92,3,1,4
92 a 93,2,4,3
93 a 94,1,1,1
94 a 95,0,1,1
da 90 a 95,21,14,35
95 anni compiuti a 96,1,2,3
96 a 97,2,2,4
97 a 98,1,1,2
98 a 99,0,0,0
99 a 100,1,1,1
da 95 a 100,5,5,10
Centenari,2,0,2
ignota,87,20,107
Totale,30529,30046,60575
