Age_column,Male_column,Female_column,Total
Dalla nascita a 1 anno,275,274,549
1 anno compiuto a 2,153,187,340
2 anni compiuti a 3,252,285,537
3 a 4,241,267,508
4 a 5,246,252,498
dalla nascita a 5,892,991,1883
5 anni compiuti a 6,242,229,471
6  a 7,233,257,490
7 a 8,197,238,435
8 a 9,231,232,463
9  a 10,179,190,369
dai 5 ai 10,1082,1146,2228
10 anni compiuti a 11,233,229,462
11  a 12,193,195,384
12 a 13,243,272,515
13 a 14,202,211,413
14 a 15,203,233,442
dai 10  ai 15,1056,1130,2186
15 anni compiuti a 16,203,257,460
16 a 17,235,217,452
17 a 18,187,195,382
18 a 19,190,200,390
19 a 20,155,153,308
dai 15 ai 20,970,1022,1992
20 anni compiuti a 21,199,180,379
21 a 22,278,127,405
22 a 23,314,131,445
23 a 24,166,137,303
24 a 25,192,184,376
dai 20 ai 25,1149,759,1908
25 anni compiuti a 26,190,192,382
26 a 27,173,112,284
27 a 28,137,152,289
30 anni compiuti a,156,142,298
29 a 30,123,89,212
dai 25 ai 30,778,747,1525
30 anni compiuti a 31,230,286,516
31 a 32,115,88,203
32 a 33,120,93,213
33 a 34,122,123,245
34 a 35,121,126,247
dai 30 ai 35,708,716,1424
Da 35 anni compiuti a 36,131,156,290
36 a 37,144,109,253
37 a 38,107,98,205
38 a 39,136,97,233
39 a 40,90,54,144
dai 35 ai 40,611,514,1125
40 anni compiuti a 41,245,335,580
41 a 42,102,77,179
42 a 43,102,95,197
43 a 44,81,88,169
44 a 45,95,96,191
dai 40 ai 45,625,691,1316
45 anni compiuti a 46,126,106,232
46 a 47,90,80,170
47 a 48,74,85,159
48 a 49,76,75,151
49 a 50,54,40,94
dai 45 ai 50,420,386,806
50 anni compiuti a 51,389,296,565
51 a 52,67,62,129
52 a 53,57,49,106
53 a 54,61,48,109
54 a 55,54,41,95
dai 50 ai 55,508,496,1004
55 anni compiuti a 56,93,88,181
56 a 57,60,67,127
57 a 58,37,50,87
58 a 59,54,49,103
59 a 60,29,34,63
dai 55 ai 50,273,288,561
60 anni compiuti a 61,227,220,456
61 a 62,79,61,140
62 a 63,48,38,86
63 a 64,49,34,83
64 a 65,43,31,74
dai 60 ai 65,446,393,839
65 anni compiuti a 66,63,51,114
66 a 67,56,38,84
67 a 68,28,21,49
68 a 69,28,30,58
69 a 70,21,16,37
dai 65 ai 70,196,146,342
70 anni compiuti a 71,99,101,200
71 a 72,20,28,48
72 a 73,15,19,34
73 a 74,26,10,36
74 a 75,21,13,34
dai 70 ai 75,181,171,352
75 anni compiuti a 76,26,18,44
76 a 77,15,7,22
77 a 78,9,7,16
78 a 79,11,7,18
79 a 80,9,6,15
dai 75 a 80,70,45,115
80 anni compiuti a 81,37,35,72
81 a 82,6,13,0
82 a 83,7,3,10
83 a 84,2,1,3
84 a 85,3,5,0
da 80 a 85 anni,55,48,103
85 anni compiuti a 86,2,0,2
86 a 87,0,1,0
87 a 88,1,1,2
88 a 89,2,2,4
89 a 90,1,0,1
da 85 a 90 anni,7,3,10
90 anni compiuti a 91,2,4,6
91 a 92,1,1,2
92 a 93,1,0,1
93 a 94,0,0,0
94 a 95,0,0,0
da 90 a 95,4,5,9
95 anni compiuti a 96,0,1,1
96 a 97,0,1,1
97 a 98,0,0,0
98 a 99,0,0,0
99 a 100,0,0,0
da 95 a 100,2,2,2
Centenari,1,1,2
ignota,0,0,0
Totale,10307,9974,20281
