Age_column,Male_column,Female_column,Total
Dalla nascita a 1 anno,460,468,928
1 anno compiuto a 2,444,276,720
2 anni compiuti a 3,465,407,872
3 a 4,446,424,870
4 a 5,467,448,915
dalla nascita a 5,1822,1555,3377
5 anni compiuti a 6,491,446,937
6  a 7,461,425,886
7 a 8,443,452,895
8 a 9,465,433,898
9  a 10,369,390,759
dai 5 ai 10,2229,2146,4375
10 anni compiuti a 11,452,445,897
11  a 12,388,347,735
12 a 13,476,405,881
13 a 14,310,306,616
14 a 15,370,424,794
dai 10  ai 15,1996,1927,3923
15 anni compiuti a 16,351,374,725
16 a 17,330,362,692
17 a 18,329,351,680
18 a 19,323,389,712
19 a 20,286,363,649
dai 15 ai 20,1619,1739,3358
20 anni compiuti a 21,346,449,795
21 a 22,582,391,973
22 a 23,647,407,1054
23 a 24,355,306,661
24 a 25,317,321,638
dai 20 ai 25,2247,1871,4121
25 anni compiuti a 26,334,348,682
26 a 27,313,347,660
27 a 28,296,310,606
30 anni compiuti a,324,384,708
29 a 30,245,218,463
dai 25 ai 30,1512,1607,3119
30 anni compiuti a 31,487,579,1066
31 a 32,280,283,548
32 a 33,235,240,475
33 a 34,246,220,466
34 a 35,204,271,535
dai 30 ai 35,1512,1548,3060
Da 35 anni compiuti a 36,303,323,625
36 a 37,266,282,548
37 a 38,201,213,414
38 a 39,237,207,444
39 a 40,168,129,297
dai 35 ai 40,1175,1153,2328
40 anni compiuti a 41,526,541,1067
41 a 42,204,190,394
42 a 43,220,204,422
43 a 44,138,116,274
44 a 45,191,159,350
dai 40 ai 45,1299,1208,2507
45 anni compiuti a 46,224,222,446
46 a 47,149,172,321
47 a 48,115,123,238
48 a 49,139,141,280
49 a 50,107,91,198
dai 45 ai 50,734,749,1483
50 anni compiuti a 51,439,508,947
51 a 52,140,139,279
52 a 53,146,177,323
53 a 54,103,102,205
54 a 55,145,133,278
dai 50 ai 55,973,1059,2032
55 anni compiuti a 56,145,150,295
56 a 57,147,175,322
57 a 58,77,105,182
58 a 59,88,113,201
59 a 60,75,66,141
dai 55 ai 50,532,609,1141
60 anni compiuti a 61,366,453,819
61 a 62,122,150,272
62 a 63,124,95,220
63 a 64,62,61,123
64 a 65,71,78,149
dai 60 ai 65,745,583,1583
65 anni compiuti a 66,96,129,225
66 a 67,84,64,148
67 a 68,61,40,101
68 a 69,64,56,120
69 a 70,33,29,62
dai 65 ai 70,338,318,656
70 anni compiuti a 71,156,205,361
71 a 72,28,75,59
72 a 73,20,54,40
73 a 74,13,28,37
74 a 75,11,33,25
dai 70 ai 75,184,346,366
75 anni compiuti a 76,47,45,92
76 a 77,16,32,28
77 a 78,6,16,13
78 a 79,15,22,25
79 a 80,6,12,8
dai 75 a 80,75,129,119
80 anni compiuti a 81,55,90,145
81 a 82,30,27,37
82 a 83,6,16,11
83 a 84,0,8,0
84 a 85,5,14,8
da 80 a 85 anni,108,120,146
85 anni compiuti a 86,7,7,14
86 a 87,3,5,8
87 a 88,5,2,7
88 a 89,1,3,2
89 a 90,0,5,5
da 85 a 90 anni,15,18,21
90 anni compiuti a 91,9,8,17
91 a 92,2,4,6
92 a 93,0,1,1
93 a 94,0,0,0
94 a 95,0,3,0
da 90 a 95,12,15,13
95 anni compiuti a 96,0,1,1
96 a 97,0,1,1
97 a 98,1,2,3
98 a 99,1,1,2
99 a 100,0,0,0
da 95 a 100,2,5,7
Centenari,1,4,5
ignota,0,0,0
Totale,19824,19472,39296
