Age_column,Male_column,Female_column,Total
Dalla nascita a 1 anno,309,307,616
1 anno compiuto a 2,184,178,362
2 anni compiuti a 3,277,230,507
3 a 4,283,232,515
4 a 5,229,252,481
dalla nascita a 5,973,892,1865
5 anni compiuti a 6,243,223,466
6  a 7,208,261,469
7 a 8,268,259,490
8 a 9,231,233,464
9  a 10,228,208,436
dai 5 ai 10,1118,1177,2295
10 anni compiuti a 11,238,220,458
11  a 12,195,182,377
12 a 13,220,240,470
13 a 14,177,151,328
14 a 15,240,203,442
dai 10  ai 15,1080,995,2075
15 anni compiuti a 16,203,188,391
16 a 17,216,228,444
17 a 18,206,190,396
18 a 19,209,237,446
19 a 20,188,160,348
dai 15 ai 20,1022,1003,2025
20 anni compiuti a 21,255,266,521
21 a 22,289,153,442
22 a 23,372,189,561
23 a 24,251,131,382
24 a 25,234,235,439
dai 20 ai 25,1401,944,2345
25 anni compiuti a 26,223,207,430
26 a 27,229,184,413
27 a 28,182,138,320
30 anni compiuti a,205,198,403
29 a 30,166,95,261
dai 25 ai 30,1005,822,1827
30 anni compiuti a 31,288,324,612
31 a 32,155,129,284
32 a 33,174,143,317
33 a 34,155,169,324
34 a 35,162,134,296
dai 30 ai 35,934,899,1833
Da 35 anni compiuti a 36,174,154,328
36 a 37,21,161,135
37 a 38,17,112,90
38 a 39,16,158,126
39 a 40,9,81,60
dai 35 ai 40,686,565,1251
40 anni compiuti a 41,333,334,667
41 a 42,26,122,108
42 a 43,23,127,87
43 a 44,6,77,59
44 a 45,25,109,101
dai 40 ai 45,768,684,1452
45 anni compiuti a 46,100,105,205
46 a 47,24,88,83
47 a 48,10,68,53
48 a 49,18,80,71
49 a 50,12,48,41
dai 45 ai 50,384,353,737
50 anni compiuti a 51,181,313,494
51 a 52,24,68,62
52 a 53,17,62,66
53 a 54,15,42,45
54 a 55,22,67,65
dai 50 ai 55,420,551,971
55 anni compiuti a 56,65,64,129
56 a 57,33,59,70
57 a 58,12,42,33
58 a 59,13,48,31
59 a 60,10,23,21
dai 55 ai 50,237,219,456
60 anni compiuti a 61,142,283,425
61 a 62,36,63,72
62 a 63,27,45,47
63 a 64,17,31,27
64 a 65,28,27,52
dai 60 ai 65,308,481,789
65 anni compiuti a 66,42,51,93
66 a 67,22,24,37
67 a 68,4,16,9
68 a 69,15,32,26
69 a 70,5,20,9
dai 65 ai 70,124,132,256
70 anni compiuti a 71,64,113,176
71 a 72,19,31,50
72 a 73,11,15,26
73 a 74,13,9,22
74 a 75,15,9,24
dai 70 ai 75,122,176,298
75 anni compiuti a 76,9,26,35
76 a 77,12,10,22
77 a 78,6,10,16
78 a 79,8,3,11
79 a 80,3,4,7
dai 75 a 80,38,53,91
80 anni compiuti a 81,14,24,38
81 a 82,5,7,12
82 a 83,2,4,6
83 a 84,3,1,4
84 a 85,5,4,9
da 80 a 85 anni,29,40,69
85 anni compiuti a 86,3,5,0
86 a 87,2,4,4
87 a 88,1,3,4
88 a 89,0,0,0
89 a 90,0,0,0
da 85 a 90 anni,3,10,13
90 anni compiuti a 91,0,1,1
91 a 92,0,0,0
92 a 93,1,1,2
93 a 94,0,0,0
94 a 95,0,2,2
da 90 a 95,1,4,5
95 anni compiuti a 96,0,1,1
96 a 97,1,1,2
97 a 98,0,1,1
98 a 99,0,0,0
99 a 100,0,0,0
da 95 a 100,3,4,0
Centenari,1,1,0
ignota,0,0,0
Totale,10933,10311,21274
