Age_column,Male_column,Female_column,Total
Dalla nascita a 1 anno,287,226,513
1 anno compiuto a 2,273,257,530
2 anni compiuti a 3,300,322,622
3 a 4,315,290,605
4 a 5,303,268,571
dalla nascita a 5,1191,1137,2328
5 anni compiuti a 6,286,244,530
6  a 7,268,259,527
7 a 8,296,248,544
8 a 9,237,273,510
9  a 10,255,186,441
dai 5 ai 10,1322,1240,2562
10 anni compiuti a 11,227,223,450
11  a 12,230,191,421
12 a 13,257,212,469
13 a 14,209,217,426
14 a 15,242,184,426
dai 10  ai 15,1165,1027,2192
15 anni compiuti a 16,272,241,513
16 a 17,231,230,461
17 a 18,248,211,459
18 a 19,253,273,526
19 a 20,251,158,409
dai 15 ai 20,1255,1113,2368
20 anni compiuti a 21,214,244,458
21 a 22,284,244,528
22 a 23,293,209,502
23 a 24,188,199,387
24 a 25,238,198,436
dai 20 ai 25,1217,1094,2311
25 anni compiuti a 26,195,202,397
26 a 27,216,200,416
27 a 28,211,184,395
30 anni compiuti a,210,178,388
29 a 30,169,115,284
dai 25 ai 30,1001,879,1880
30 anni compiuti a 31,280,336,616
31 a 32,173,165,338
32 a 33,174,155,329
33 a 34,186,168,354
34 a 35,142,159,301
dai 30 ai 35,955,983,1938
Da 35 anni compiuti a 36,164,150,314
36 a 37,137,149,286
37 a 38,123,117,240
38 a 39,146,130,276
39 a 40,90,76,166
dai 35 ai 40,660,622,1282
40 anni compiuti a 41,303,268,571
41 a 42,139,99,238
42 a 43,118,111,229
43 a 44,104,73,177
44 a 45,157,151,308
dai 40 ai 45,821,702,1523
45 anni compiuti a 46,139,135,274
46 a 47,117,88,205
47 a 48,79,81,160
48 a 49,79,96,175
49 a 50,66,52,118
dai 45 ai 50,480,452,932
50 anni compiuti a 51,238,302,540
51 a 52,34,100,124
52 a 53,19,90,82
53 a 54,15,65,72
54 a 55,81,89,75
dai 50 ai 55,582,655,1237
55 anni compiuti a 56,77,73,150
56 a 57,97,113,78
57 a 58,10,64,57
58 a 59,9,74,42
59 a 60,10,44,33
dai 55 ai 50,372,283,655
60 anni compiuti a 61,167,246,413
61 a 62,43,87,91
62 a 63,24,50,57
63 a 64,13,44,35
64 a 65,12,52,41
dai 60 ai 65,409,470,870
65 anni compiuti a 66,46,56,102
66 a 67,22,41,51
67 a 68,9,36,21
68 a 69,9,22,25
69 a 70,7,18,11
dai 65 ai 70,163,164,327
70 anni compiuti a 71,67,91,158
71 a 72,28,43,71
72 a 73,25,18,43
73 a 74,25,10,35
74 a 75,25,17,42
dai 70 ai 75,170,179,349
75 anni compiuti a 76,20,20,40
76 a 77,25,13,38
77 a 78,18,10,28
78 a 79,18,10,28
79 a 80,3,6,9
dai 75 a 80,74,59,133
80 anni compiuti a 81,15,36,51
81 a 82,11,16,27
82 a 83,4,10,14
83 a 84,2,5,7
84 a 85,4,5,9
da 80 a 85 anni,36,72,108
85 anni compiuti a 86,3,2,5
86 a 87,1,3,4
87 a 88,1,2,3
88 a 89,2,2,4
89 a 90,0,2,2
da 85 a 90 anni,7,11,18
90 anni compiuti a 91,6,2,8
91 a 92,0,1,1
92 a 93,0,1,1
93 a 94,0,0,0
94 a 95,6,4,10
da 90 a 95,0,1,1
95 anni compiuti a 96,0,0,0
96 a 97,0,0,0
97 a 98,0,0,0
98 a 99,0,1,1
99 a 100,0,0,0
da 95 a 100,0,0,0
Centenari,12164,11343,23507
