Age_column,Male_column,Female_column,Total
Dalla nascita a 1 anno,551,491,1042
1 anno compiuto a 2,441,395,836
2 anni compiuti a 3,433,433,866
3 a 4,402,361,763
4 a 5,373,402,775
dalla nascita a 5,1649,1591,3240
5 anni compiuti a 6,373,398,769
6  a 7,362,418,780
7 a 8,419,417,836
8 a 9,399,409,808
9  a 10,311,318,629
dai 5 ai 10,1864,1952,3816
10 anni compiuti a 11,395,341,736
11  a 12,339,296,635
12 a 13,348,330,678
13 a 14,368,325,693
14 a 15,360,310,670
dai 10  ai 15,1810,1602,3412
15 anni compiuti a 16,438,367,805
16 a 17,376,367,743
17 a 18,390,378,768
18 a 19,394,421,815
19 a 20,328,328,654
dai 15 ai 20,1924,1861,3785
20 anni compiuti a 21,299,368,667
21 a 22,3,484,927
22 a 23,510,358,868
23 a 24,375,297,672
24 a 25,350,310,660
dai 20 ai 25,2018,1660,3678
25 anni compiuti a 26,370,290,660
26 a 27,315,302,617
27 a 28,340,361,701
30 anni compiuti a,293,254,547
29 a 30,256,212,468
dai 25 ai 30,1574,1319,2893
30 anni compiuti a 31,355,365,720
31 a 32,195,435,12
32 a 33,230,218,448
33 a 34,293,218,511
34 a 35,218,203,421
dai 30 ai 35,1356,1199,2555
Da 35 anni compiuti a 36,256,260,516
36 a 37,296,232,528
37 a 38,299,201,423
38 a 39,270,206,485
39 a 40,160,155,315
dai 35 ai 40,1243,1044,2337
40 anni compiuti a 41,383,463,845
41 a 42,254,199,453
42 a 43,206,182,388
43 a 44,187,163,340
44 a 45,194,167,361
dai 40 ai 45,1221,1073,2339
45 anni compiuti a 46,242,249,491
46 a 47,175,186,361
47 a 48,165,133,298
48 a 49,224,188,412
49 a 50,128,125,253
dai 45 ai 50,912,828,1810
50 anni compiuti a 51,322,344,767
51 a 52,221,192,573
52 a 53,181,107,288
53 a 54,111,80,191
54 a 55,129,119,248
dai 50 ai 55,965,902,1867
55 anni compiuti a 56,142,144,286
56 a 57,116,125,241
57 a 58,110,75,183
58 a 59,99,80,179
59 a 60,81,65,147
dai 55 ai 50,548,488,1036
60 anni compiuti a 61,297,309,546
61 a 62,93,85,178
62 a 63,68,56,124
63 a 64,59,47,106
64 a 65,51,39,90
dai 60 ai 65,508,516,1044
65 anni compiuti a 66,74,90,163
66 a 67,54,52,106
67 a 68,46,42,88
68 a 69,44,40,84
69 a 70,33,46,79
dai 65 ai 70,249,270,519
70 anni compiuti a 71,95,141,236
71 a 72,32,49,51
72 a 73,24,23,34
73 a 74,15,25,27
74 a 75,20,15,29
dai 70 ai 75,195,207,282
75 anni compiuti a 76,32,47,79
76 a 77,19,27,23
77 a 78,10,23,11
78 a 79,11,11,16
79 a 80,8,16,10
dai 75 a 80,81,109,107
80 anni compiuti a 81,42,67,109
81 a 82,28,24,35
82 a 83,5,11,7
83 a 84,6,4,7
84 a 85,6,7,10
da 80 a 85 anni,98,88,126
85 anni compiuti a 86,11,8,19
86 a 87,5,3,5
87 a 88,1,4,1
88 a 89,3,5,3
89 a 90,2,2,3
da 85 a 90 anni,18,25,20
90 anni compiuti a 91,3,6,9
91 a 92,1,1,2
92 a 93,2,2,2
93 a 94,1,1,2
94 a 95,1,0,1
da 90 a 95,10,6,10
95 anni compiuti a 96,1,1,2
96 a 97,1,1,1
97 a 98,0,0,0
98 a 99,0,0,0
99 a 100,1,0,1
da 95 a 100,1,2,2
Centenari,1,2,3
ignota,0,0,0
Totale,18802,17515,36317
