code,province,age_class,male,female,total
001,Torino,0,12937,12492,25429
001,Torino,1-4,46662,45796,92458
001,Torino,5-9,56111,55121,111232
001,Torino,10-14,57602,58751,116353
001,Torino,15-19,40089,41357,81447
001,Torino,20-24,44196,41685,85881
001,Torino,25-29,36379,43303,79682
001,Torino,30-34,33470,39181,72651
001,Torino,35-39,31857,36763,68620
001,Torino,40-44,30299,34701,65000
001,Torino,45-49,28583,31640,60223
001,Torino,50-54,25996,29448,55444
001,Torino,55-59,24597,26585,51182
001,Torino,60-64,20255,22715,42970
001,Torino,65-69,16074,16845,32919
001,Torino,70-74,11695,11923,23618
001,Torino,75-79,6773,6350,13123
001,Torino,80-84,2523,2521,5044
001,Torino,85+,749,764,1513
003,Novara,0,10081,9682,19763
003,Novara,1-4,34089,33277,67366
003,Novara,5-9,39614,39786,79400
003,Novara,10-14,39516,40019,79535
003,Novara,15-19,25410,27953,53363
003,Novara,20-24,25735,29832,55567
003,Novara,25-29,24265,28264,52529
003,Novara,30-34,22308,25998,48306
003,Novara,35-39,21241,24307,45548
003,Novara,40-44,19238,21661,40899
003,Novara,45-49,17215,19643,36858
003,Novara,50-54,16164,19143,35307
003,Novara,55-59,14670,16346,31016
003,Novara,60-64,12377,14131,26508
003,Novara,65-69,10269,10623,20892
003,Novara,70-74,6997,7377,14374
003,Novara,75-79,3898,4065,7963
003,Novara,80-84,1428,1580,3008
003,Novara,85+,453,478,931
004,Cuneo,0,9312,8892,18204
004,Cuneo,1-4,31699,31104,62803
004,Cuneo,5-9,35880,35648,71528
004,Cuneo,10-14,34250,34225,68475
004,Cuneo,15-19,21122,21562,42684
004,Cuneo,20-24,25311,22855,48167
004,Cuneo,25-29,20084,21445,41529
004,Cuneo,30-34,18767,20075,38842
004,Cuneo,35-39,17557,18085,35642
004,Cuneo,40-44,17056,17109,34165
004,Cuneo,45-49,16245,16018,32263
004,Cuneo,50-54,15360,15437,30797
004,Cuneo,55-59,14444,13329,27773
004,Cuneo,60-64,12510,11698,24208
004,Cuneo,65-69,9600,8213,17813
004,Cuneo,70-74,7080,5460,12540
004,Cuneo,75-79,3930,2760,6690
004,Cuneo,80-84,1338,956,2294
004,Cuneo,85+,371,283,654
006,Alessandria,0,12388,11837,24225
006,Alessandria,1-4,40867,40032,80899
006,Alessandria,5-9,45810,45624,91434
006,Alessandria,10-14,44271,44093,88364
006,Alessandria,15-19,30938,30511,61449
006,Alessandria,20-24,30603,29009,59612
006,Alessandria,25-29,26546,26329,52875
006,Alessandria,30-34,24490,24514,49004
006,Alessandria,35-39,23634,23324,46958
006,Alessandria,40-44,22797,22060,44857
006,Alessandria,45-49,20929,19965,40894
006,Alessandria,50-54,18120,18425,36545
006,Alessandria,55-59,17378,16561,33939
006,Alessandria,60-64,14318,13641,27959
006,Alessandria,65-69,11182,10163,21345
006,Alessandria,70-74,7771,6793,14564
006,Alessandria,75-79,4501,3739,8240
006,Alessandria,80-84,1557,1445,3002
006,Alessandria,85+,377,419,796
008,Porto Maurizio,0,1678,1644,3322
008,Porto Maurizio,1-4,5676,5327,11003
008,Porto Maurizio,5-9,6603,6745,13348
008,Porto Maurizio,10-14,6369,6527,12896
008,Porto Maurizio,15-19,10297,10675,20972
008,Porto Maurizio,20-24,9048,8206,17255
008,Porto Maurizio,25-29,4930,5075,10005
008,Porto Maurizio,30-34,4860,5062,9922
008,Porto Maurizio,35-39,4678,4531,9209
008,Porto Maurizio,40-44,4084,4190,8274
008,Porto Maurizio,45-49,3935,4009,7944
008,Porto Maurizio,50-54,3811,3892,7703
008,Porto Maurizio,55-59,3416,3494,6910
008,Porto Maurizio,60-64,2910,3057,5967
008,Porto Maurizio,65-69,2347,2312,4659
008,Porto Maurizio,70-74,1707,1625,3332
008,Porto Maurizio,75-79,1177,957,2134
008,Porto Maurizio,80-84,527,462,989
008,Porto Maurizio,85+,169,159,328
010,Genova,0,11909,11567,23476
010,Genova,1-4,41909,40713,82622
010,Genova,5-9,48138,47407,95545
010,Genova,10-14,46471,46607,93078
010,Genova,15-19,31852,33229,65081
010,Genova,20-24,44026,39936,83962
010,Genova,25-29,35458,35839,71297
010,Genova,30-34,33753,33702,67455
010,Genova,35-39,31109,29549,60658
010,Genova,40-44,26308,26406,52714
010,Genova,45-49,23117,23236,46353
010,Genova,50-54,20120,21131,41251
010,Genova,55-59,17611,18215,35826
010,Genova,60-64,14051,15505,29556
010,Genova,65-69,11317,12296,23613
010,Genova,70-74,8686,9223,17909
010,Genova,75-79,5563,5641,11204
010,Genova,80-84,2527,2618,5145
010,Genova,85+,855,1076,1931
013,Como,0,8732,8527,17259
013,Como,1-4,28513,27820,56333
013,Como,5-9,32642,31885,64527
013,Como,10-14,31312,32761,64073
013,Como,15-19,23902,25571,49473
013,Como,20-24,19415,22422,41838
013,Como,25-29,19541,20881,40422
013,Como,30-34,16935,18359,35294
013,Como,35-39,15184,16443,31627
013,Como,40-44,14454,15612,30066
013,Como,45-49,14005,14967,28972
013,Como,50-54,12521,14311,26832
013,Como,55-59,11829,12563,24392
013,Como,60-64,10145,10397,20542
013,Como,65-69,7359,7146,14505
013,Como,70-74,5172,4799,9971
013,Como,75-79,2716,2550,5266
013,Como,80-84,1031,919,1950
013,Como,85+,282,240,522
014,Sondrio,0,1718,1657,3375
014,Sondrio,1-4,5844,5706,11550
014,Sondrio,5-9,6580,6443,13023
014,Sondrio,10-14,6232,6163,12395
014,Sondrio,15-19,11577,10989,22566
014,Sondrio,20-24,10163,10462,20625
014,Sondrio,25-29,4094,4767,8861
014,Sondrio,30-34,3722,4568,8290
014,Sondrio,35-39,3191,4008,7199
014,Sondrio,40-44,2907,3576,6483
014,Sondrio,45-49,3103,3476,6579
014,Sondrio,50-54,2827,3373,6200
014,Sondrio,55-59,2688,3066,5754
014,Sondrio,60-64,2330,2538,4868
014,Sondrio,65-69,1827,1797,3624
014,Sondrio,70-74,1429,1201,2630
014,Sondrio,75-79,797,616,1413
014,Sondrio,80-84,291,234,525
014,Sondrio,85+,110,61,171
015,Milano,0,20862,19931,40793
015,Milano,1-4,70313,69304,139617
015,Milano,5-9,79219,77852,157071
015,Milano,10-14,76684,74777,151461
015,Milano,15-19,51828,50527,102355
015,Milano,20-24,57422,57241,114663
015,Milano,25-29,53001,52241,105242
015,Milano,30-34,47501,47707,95208
015,Milano,35-39,43914,42721,86635
015,Milano,40-44,40410,40011,80421
015,Milano,45-49,37078,35999,73077
015,Milano,50-54,32133,34240,66373
015,Milano,55-59,29586,29053,58639
015,Milano,60-64,23029,23244,46273
015,Milano,65-69,15990,15624,31614
015,Milano,70-74,9858,9805,19663
015,Milano,75-79,4656,4607,9263
015,Milano,80-84,1570,1819,3389
015,Milano,85+,403,494,897
016,Bergamo,0,8110,7672,15782
016,Bergamo,1-4,24413,24113,48526
016,Bergamo,5-9,26982,26240,53222
016,Bergamo,10-14,25744,25349,51093
016,Bergamo,15-19,27110,28602,55713
016,Bergamo,20-24,18295,20179,38474
016,Bergamo,25-29,15221,16465,31686
016,Bergamo,30-34,14031,14721,28752
016,Bergamo,35-39,12490,12946,25436
016,Bergamo,40-44,11882,12251,24133
016,Bergamo,45-49,11136,11122,22258
016,Bergamo,50-54,10381,10330,20711
016,Bergamo,55-59,9621,9349,18970
016,Bergamo,60-64,7777,7600,15377
016,Bergamo,65-69,5108,4852,9960
016,Bergamo,70-74,3288,2979,6267
016,Bergamo,75-79,1472,1405,2877
016,Bergamo,80-84,524,508,1032
016,Bergamo,85+,114,126,240
017,Brescia,0,7806,7431,15237
017,Brescia,1-4,26482,26448,52930
017,Brescia,5-9,29607,28846,58453
017,Brescia,10-14,27452,26940,54392
017,Brescia,15-19,18349,18361,36710
017,Brescia,20-24,19320,19695,39016
017,Brescia,25-29,18699,19383,38082
017,Brescia,30-34,17529,17843,35372
017,Brescia,35-39,16528,16381,32909
017,Brescia,40-44,15005,14851,29856
017,Brescia,45-49,14115,13674,27789
017,Brescia,50-54,13474,13109,26583
017,Brescia,55-59,12584,11693,24277
017,Brescia,60-64,10321,10220,20541
017,Brescia,65-69,7042,6554,13596
017,Brescia,70-74,4641,4273,8914
017,Brescia,75-79,2335,2246,4581
017,Brescia,80-84,697,814,1511
017,Brescia,85+,209,191,400
018,Pavia,0,7070,6797,13867
018,Pavia,1-4,24569,24294,48863
018,Pavia,5-9,28140,27117,55257
018,Pavia,10-14,26220,25907,52127
018,Pavia,15-19,26420,26690,53110
018,Pavia,20-24,19514,20555,40069
018,Pavia,25-29,15644,16487,32131
018,Pavia,30-34,14546,15762,30308
018,Pavia,35-39,14159,14438,28597
018,Pavia,40-44,13233,13575,26808
018,Pavia,45-49,12808,12708,25516
018,Pavia,50-54,11507,11789,23296
018,Pavia,55-59,11008,10828,21836
018,Pavia,60-64,9375,9212,18587
018,Pavia,65-69,7379,6681,14060
018,Pavia,70-74,5105,4320,9425
018,Pavia,75-79,2868,2310,5178
018,Pavia,80-84,1041,933,1974
018,Pavia,85+,222,253,475
019,Cremona,0,4792,4580,9372
019,Cremona,1-4,15936,15547,31483
019,Cremona,5-9,17806,17475,35281
019,Cremona,10-14,16369,15948,32317
019,Cremona,15-19,18972,19445,38417
019,Cremona,20-24,12551,12531,25082
019,Cremona,25-29,11159,11578,22737
019,Cremona,30-34,10884,11177,22061
019,Cremona,35-39,10243,10184,20427
019,Cremona,40-44,8848,8931,17779
019,Cremona,45-49,8488,8269,16757
019,Cremona,50-54,7969,8052,16021
019,Cremona,55-59,7841,7598,15439
019,Cremona,60-64,6842,6646,13488
019,Cremona,65-69,4979,4580,9559
019,Cremona,70-74,3140,2739,5879
019,Cremona,75-79,1522,1414,2936
019,Cremona,80-84,548,505,1053
019,Cremona,85+,124,147,271
020,Mantova,0,4428,4525,8953
020,Mantova,1-4,15674,14865,30539
020,Mantova,5-9,17303,16962,34265
020,Mantova,10-14,15789,15299,31088
020,Mantova,15-19,16793,17508,34301
020,Mantova,20-24,13605,13959,27564
020,Mantova,25-29,10615,10424,21039
020,Mantova,30-34,10402,10284,20686
020,Mantova,35-39,9855,9421,19276
020,Mantova,40-44,7934,7745,15679
020,Mantova,45-49,7384,7253,14637
020,Mantova,50-54,7467,7290,14757
020,Mantova,55-59,7244,6790,14034
020,Mantova,60-64,6604,6174,12778
020,Mantova,65-69,4837,4512,9349
020,Mantova,70-74,3283,3141,6424
020,Mantova,75-79,1967,1870,3837
020,Mantova,80-84,633,632,1265
020,Mantova,85+,190,204,394
023,Verona,0,5891,5731,11622
023,Verona,1-4,21408,20258,41666
023,Verona,5-9,23278,22600,45878
023,Verona,10-14,21635,21034,42669
023,Verona,15-19,15644,15926,31570
023,Verona,20-24,17652,16248,33901
023,Verona,25-29,14829,15410,30239
023,Verona,30-34,13988,14557,28545
023,Verona,35-39,12766,12904,25670
023,Verona,40-44,10666,10561,21227
023,Verona,45-49,9938,9952,19890
023,Verona,50-54,9191,9641,18832
023,Verona,55-59,9368,9443,18811
023,Verona,60-64,8095,8079,16174
023,Verona,65-69,5553,5421,10974
023,Verona,70-74,3818,3937,7755
023,Verona,75-79,2470,2450,4920
023,Verona,80-84,869,920,1789
023,Verona,85+,250,277,527
024,Vicenza,0,7027,6803,13830
024,Vicenza,1-4,24481,24105,48586
024,Vicenza,5-9,26471,26025,52496
024,Vicenza,10-14,23490,23805,47295
024,Vicenza,15-19,20285,22116,42401
024,Vicenza,20-24,16621,19075,35696
024,Vicenza,25-29,14896,16120,31016
024,Vicenza,30-34,13882,14684,28566
024,Vicenza,35-39,12212,12975,25187
024,Vicenza,40-44,10658,10992,21650
024,Vicenza,45-49,9946,9950,19896
024,Vicenza,50-54,9494,9672,19166
024,Vicenza,55-59,9558,8993,18551
024,Vicenza,60-64,8184,7841,16025
024,Vicenza,65-69,5661,5191,10852
024,Vicenza,70-74,4117,3857,7974
024,Vicenza,75-79,2753,2517,5270
024,Vicenza,80-84,1045,862,1907
024,Vicenza,85+,310,264,574
025,Belluno,0,3260,3248,6508
025,Belluno,1-4,11265,10940,22205
025,Belluno,5-9,12226,11898,24124
025,Belluno,10-14,10278,10527,20805
025,Belluno,15-19,9683,10254,19937
025,Belluno,20-24,7423,8675,16099
025,Belluno,25-29,5446,6814,12260
025,Belluno,30-34,5050,6366,11416
025,Belluno,35-39,4681,5900,10581
025,Belluno,40-44,4229,5123,9352
025,Belluno,45-49,3929,4794,8723
025,Belluno,50-54,3886,4607,8493
025,Belluno,55-59,3680,4409,8089
