Age_column,Total_column,Male_column,Female_column
0-1,23095,11722,11373
1-2,22053,10957,11096
2-3,22537,11263,11274
3-4,22405,11248,11157
4-5,21181,10598,10583
5-6,21681,10814,10867
6-7,21963,10998,10965
7-8,21660,10858,10802
8-9,22450,11229,11221
9-10,22018,11067,10951
10-11,23763,11847,11916
11-12,23243,11618,11625
12-13,23082,11576,11506
13-14,23455,11859,11596
14-15,24627,12441,12186
15-16,23729,11787,11942
16-17,23637,11540,12097
17-18,22782,11215,11567
18-19,22191,10930,11261
19-20,22152,10819,11333
20-21,24711,12952,11759
21-25,95026,49062,45964
25-30,94947,44890,50057
30-35,84478,39807,44671
35-40,75920,35558,40362
40-45,69541,32774,36767
45-50,65907,30966,34941
50-55,61268,28927,32341
55-60,53901,25747,28154
60-65,46554,21767,24787
65-70,37310,17829,19481
70-75,25874,12234,13640
75-80,14177,6808,7369
80-85,6292,2951,3341
85-90,1726,825,901
90-95,270,102,168
95-100,27,4,23
Oltre 100,,,
Ignota,2076,1019,1057
TOTALE,1213709,590608,623101
